OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Didymella_1	Didymella glomerata 
OTU_2	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	Alternaria tenuissima 
OTU_3	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Cladosporiaceae_1	Cladosporium_1	
OTU_4	Fungi_1						
OTU_5	Fungi_1						
OTU_6	Fungi_1	Basidiomycota_1	Exobasidiomycetes_1	Entylomatales_1	Entylomataceae_1	Tilletiopsis_1	Tilletiopsis washingtonensis 
OTU_7	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Mycosphaerellaceae_1		
OTU_8	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_9	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Hannaella_1	
OTU_10	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Neoascochyta_1	Neoascochyta desmazieri 
OTU_11	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Hannaella_1	Hannaella oryzae 
OTU_12	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_13	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Hannaella_1	Hannaella luteola 
OTU_14	Fungi_1						
OTU_15	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleraceae_1	Bullera_1	
OTU_16	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1		
OTU_17	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusarium_1	
OTU_18	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusarium_1	Fusarium equiseti 
OTU_19	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1	Symmetrosporaceae_1	Symmetrospora_1	Symmetrospora coprosmae 	
OTU_20	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Coniothyriaceae_1	Coniothyrium_1	
OTU_21	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Lentitheciaceae_1	Keissleriella_1	Keissleriella poagena 
OTU_22	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Mycosphaerellaceae_1	Zymoseptoria_1	
OTU_23	Fungi_1						
OTU_24	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Vishniacozyma_1	
OTU_25	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Septoriella_1	Septoriella phragmitis 
OTU_26	Fungi_1						
OTU_27	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Hannaella_1	Hannaella zeae 
OTU_28	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1			
OTU_29	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusarium_1	
OTU_30	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	Neosetophoma buxi 
OTU_31	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeria_1	
OTU_32	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Filobasidiales_1	Filobasidiaceae_1		
OTU_33	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Neoascochyta_1	Neoascochyta tardicrescens 
OTU_34	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Vishniacozyma_1	
OTU_35	Fungi_1	Ascomycota_1	Sordariomycetes_1	Glomerellales_1	Glomerellaceae_1	Colletotrichum_1	Colletotrichum graminicola 
OTU_36	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1		Tricellula_1	
OTU_37	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_38	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1		
OTU_39	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1			
OTU_40	Fungi_1	Ascomycota_1	Dothideomycetes_1				
OTU_41	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1		Sarocladium_1	
OTU_42	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Septoriella_1	
OTU_43	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_44	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Ophiosphaerella_1	Ophiosphaerella taiwanica 
OTU_45	Fungi_1	Ascomycota_1	Dothideomycetes_1	Dothideales_1	Saccotheciaceae_1	Aureobasidium_1	Aureobasidium pullulans 
OTU_46	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1		Symmetrosporaceae_1	Symmetrospora_1	Symmetrospora oryzicola 
OTU_47	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Paraophiobolus_1	Paraophiobolus arundinis 
OTU_48	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Leucosporidiales_1			
OTU_49	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Sporidiobolales_1	Sporidiobolaceae_1	Rhodotorula_1	Rhodotorula babjevae 
OTU_50	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Leptospora_1	
OTU_51	Fungi_1						
OTU_52	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Bipolaris_1	
OTU_53	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Epicoccum_1	Epicoccum pseudokeratinophilum 
OTU_54	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	Alternaria infectoria 
OTU_55	Fungi_1	Ascomycota_1	Sordariomycetes_1	Xylariales_1	Amphisphaeriaceae_1	Microdochium_1	
OTU_56	Fungi_1	Ascomycota_1					
OTU_57	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Leptospora_1	
OTU_58	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Vishniacozyma_1	
OTU_59	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Rhynchogastremataceae_1	Papiliotrema_1	Papiliotrema flavescens 
OTU_60	Fungi_1	Ascomycota_1	Leotiomycetes_1				
OTU_61	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Dioszegia_1	
OTU_62	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Dioszegia_1	Dioszegia zsoltii 
OTU_63	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Sporidiobolales_1	Sporidiobolaceae_1	Sporobolomyces_1	Sporobolomyces roseus 
OTU_64	Fungi_1						
OTU_65	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1		Symmetrosporaceae_1	Symmetrospora_1	Symmetrospora symmetrica 
OTU_66	Fungi_1	Ascomycota_1	Sordariomycetes_1	Glomerellales_1	Plectosphaerellaceae_1		
OTU_67	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1		
OTU_68	Fungi_1	Basidiomycota_1	Agaricostilbomycetes_1	Agaricostilbales_1	Kondoaceae_1	Kondoa_1	Kondoa gutianensis 
OTU_69	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Helotiaceae_1		
OTU_70	Fungi_1						
