#OTU ID	R3T2r2Cleaf	V2T4r6Bleaf	R3T1r5Cleaf	R6T1r2Bleaf	R6T2r1Bleaf	R3T2r1Bleaf	R3T1r6Cleaf	V2T4r6Aleaf	V2T1r1Cleaf	R3T2r6Cleaf	R3T4r1Cleaf	V2T2r6Bleaf	R3T4r6Cleaf	R6T2r6Bleaf	V2T4r2Cleaf	R3T4r1Aleaf	V2T4r5Bleaf	V2T1r5Cleaf	V2T1r6Bleaf	R3T1r1Cleaf	V2T4r5Aleaf	V2T1r2Cleaf	R3T4r5Aleaf	R3T1r2Bleaf	R3T1r5Aleaf	R3T4r6Bleaf	R3T4r2Aleaf	R3T2r2Bleaf	R3T2r5Cleaf	R6T2r2Bleaf	R3T2r2Aleaf	R6T2r5Cleaf	V2T2r5Bleaf	R3T1r1Aleaf	R3T2r6Bleaf	V2T4r2Bleaf	R3T1r5Bleaf	R3T2r5Aleaf	V2T1r5Bleaf	R3T2r5Bleaf	V2T1r6Aleaf	R6T1r6Cleaf	V2T4r2Aleaf	V2T2r6Cleaf	R6T2r6Aleaf	V2T1r2Aleaf	R6T2r2Aleaf	V2T1r1Aleaf	R6T4r1Aleaf	V2T2r2Bleaf	V2T2r2Aleaf	R6T2r5Bleaf	V2T2r1Aleaf	R3T4r2Cleaf	R6T2r2Cleaf	R3T4r2Bleaf	R3T1r2Cleaf	R3T1r1Bleaf	R3T4r6Aleaf	R6T2r5Aleaf	R6T1r1Bleaf	R3T2r1Cleaf	V2T1r5Aleaf	R3T1r2Aleaf	R6T2r1Cleaf	R6T4r5Bleaf	V2T4r1Cleaf	R6T1r2Aleaf	R3T4r5Bleaf	V2T4r5Cleaf	R3T4r5Cleaf	V2T1r1Bleaf	R6T1r5Bleaf	R6T4r5Cleaf	R3T2r1Aleaf	R6T2r1Aleaf	R6T1r6Bleaf	V2T2r5Aleaf	R6T1r6Aleaf	V2T1r6Cleaf	R6T1r5Cleaf	R3T1r6Bleaf	V2T4r6Cleaf	V2T1r2Bleaf	R3T2r6Aleaf	R6T2r6Cleaf	V2T2r1Bleaf	V2T4r1Bleaf	R6T1r1Aleaf	R6T1r2Cleaf	V2T4r1Aleaf	R6T1r1Cleaf	V2T2r1Cleaf	R3T1r6Aleaf	V2T2r2Cleaf	R6T1r5Aleaf	V2T2r5Cleaf	V2T2r6Aleaf	R3T4r1Bleaf	R6T4r6Aleaf	NC1leaf
OTU_4	997	1005	1265	631	932	12381	249	7566	1164	966	100	115	116	283	364	1357	86	59422	1334	324	152	344	1340	8943	1738	203	245	778	6586	6372	460	2059	599	1093	1556	735	841	128	304	307	3150	200	819	267	475	1418	112	8911	335	2497	276	1304	761	11043	6044	2994	5295	1019	585	438	4051	972	247	276	191	169	1839	686	716	6216	927	5217	573	2	4986	1119	494	2011	3222	646	3766	213	600	960	8333	402	387	6006	12180	562	3692	414	271	588	2635	680	673	720	358	3	3
OTU_248	21	217	40	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0
OTU_2	6422	5420	10773	6026	5673	5526	1891	10048	4562	4813	2252	2523	1217	2378	3419	5552	1957	7074	3755	4187	2951	4613	4581	10916	9200	2019	1839	5515	5189	4520	10082	8797	3825	13042	4251	8356	5812	2035	2073	1674	18877	2461	8667	3174	2817	4590	923	6113	4804	2243	2705	7556	5017	9772	5682	1729	12070	5999	1828	3139	3284	5600	3575	1351	2638	1575	7387	5306	3853	20696	4607	9602	3475	1	9402	4984	2506	6974	3846	5165	2729	4974	3341	8348	8790	2119	2557	13994	13677	3870	5878	3222	5729	4440	4642	4596	4715	2499	2113	19	3
OTU_11	21	0	3890	104	0	0	1026	0	0	0	140	624	50	13002	1091	2504	2659	0	5	1920	8203	0	0	0	1	2551	976	2272	0	1	0	0	71	131	0	0	3129	122	115	256	0	2	170	1115	1	364	118	1	4	0	83	3368	147	0	3	0	0	63	1	0	0	0	1926	13229	2484	330	13	761	17	0	31	0	306	0	0	0	0	16	0	6	0	3761	443	115	1	32	337	0	0	54	0	0	2725	5	0	7705	6354	0	25	0	0
OTU_1	24038	8856	718	224	12135	2293	147	944	4095	11918	1235	2983	92	1774	2003	768	191	10704	22624	2545	2811	24309	25137	6340	6491	161	135	520	3694	4545	12181	688	13073	3330	23195	851	2020	467	497	191	545	3813	9578	558	18407	14403	199	33855	3446	8573	18	7391	316	1153	759	3916	3063	3036	16620	25840	776	18148	2109	255	412	1791	6674	18951	4397	4009	389	833	402	3	2636	327	7593	17701	1271	12519	6011	1308	6143	321	1978	67	7109	1512	8079	14254	4846	8965	1470	4579	619	367	501	3104	6718	108	3
OTU_10	233	107	380	32	194	6379	5	823	0	1112	80	1	0	97	34	308	0	18724	956	97	2	237	25	442	1773	0	0	201	4773	2814	2432	23	339	761	165	116	140	0	17	5	338	877	859	2	0	115	0	3178	8	528	5	1253	718	2708	1873	2104	478	13	26	18	268	4526	1	0	0	0	561	2364	1227	4746	233	329	0	0	1702	17	0	126	171	95	4784	14	505	40	683	0	71	2842	4233	22	539	1	0	0	398	0	536	39	16	0	0
OTU_351	0	0	0	0	0	4	22	0	0	0	0	26	15	0	0	0	0	0	0	5	0	0	0	0	0	18	5	116	0	0	0	0	0	48	0	0	0	21	15	0	3	0	0	23	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	8	0	0	19	0	11	0	0	0	0	0	0	0	8	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_117	0	10	0	0	0	40	0	60	4	0	18	11	122	0	0	0	31	176	6	9	0	0	0	13	0	0	28	0	59	19	0	35	5	45	0	0	0	0	45	9	27	0	40	39	8	0	17	65	6	118	51	0	0	8	21	12	20	23	0	4	16	0	28	0	0	0	0	0	4	41	0	86	28	0	17	116	0	12	16	40	33	3	29	100	4	0	32	38	149	0	0	0	4	21	18	0	0	0	0	0	0
OTU_19	18	0	217	969	23	0	2283	8	0	10	2634	12737	6213	432	0	1034	352	1	5	880	425	31	2	0	0	155	633	1	0	1	236	71	13	0	0	148	33	749	3705	2109	0	0	437	944	19	15	328	1	1213	0	1224	2558	630	0	0	0	0	81	0	12	0	0	393	5647	426	5597	2	421	88	0	24	0	3362	0	0	718	0	0	4	0	0	1433	97	310	1	982	133	0	1	54	0	0	870	124	12	803	17	0	1	14	0
OTU_15	664	184	48	594	174	113	1263	28	7	220	589	729	5694	752	606	418	2111	55	21	1343	1171	375	36	202	70	699	1581	198	7	175	383	678	103	675	20	693	341	465	2528	2014	62	82	695	1218	364	210	305	44	7459	17	1598	241	635	37	15	9	25	324	217	24	33	37	1892	304	222	2883	93	626	84	232	155	59	2411	0	57	299	0	40	7	30	14	706	348	718	59	585	155	54	82	602	111	16	1882	341	34	401	304	395	138	6	0
