#OTU ID	R3T2r1Csoil	R3T1r1Bsoil	R3T4r2Bsoil	V2T4r2Csoil	R6T1r1Bsoil	V2T2r1Asoil	R6T1r6Asoil	R3T2r1Asoil	R6T2r5Csoil	V2T4r1Csoil	V2T4r6Csoil	R3T1r5Asoil	R6T2r5Asoil	V2T2r5Asoil	R3T1r5Csoil	R6T1r2Asoil	R3T2r6Bsoil	R6T2r2Csoil	R3T1r6Asoil	V2T4r1Bsoil	R3T4r5Csoil	R3T4r5Asoil	R3T1r1Csoil	R6T2r6Bsoil	V2T1r6Bsoil	V2T4r2Asoil	R3T1r6Bsoil	V2T4r5Bsoil	R6T2r5Bsoil	R6T2r2Bsoil	R6T1r2Csoil	R6T1r5Bsoil	R3T2r2Csoil	V2T1r2Bsoil	V2T1r2Csoil	R3T1r2Csoil	V2T1r6Csoil	R3T4r1Bsoil	R6T1r1Csoil	R3T4r6Bsoil	R3T1r2Bsoil	R3T4r2Asoil	V2T2r2Bsoil	V2T4r5Csoil	R3T4r1Csoil	V2T1r2Asoil	R3T2r5Asoil	R6T2r6Asoil	R6T2r2Asoil	R6T2r1Asoil	R3T4r1Asoil	V2T2r6Asoil	R6T1r5Asoil	R3T1r1Asoil	R3T1r5Bsoil	V2T4r6Bsoil	V2T2r1Bsoil	V2T4r2Bsoil	V2T4r6Asoil	R3T4r6Csoil	R3T2r2Bsoil	V2T1r5Bsoil	V2T1r6Asoil	V2T2r6Bsoil	R3T4r6Asoil	V2T1r1Bsoil	R3T2r1Bsoil	R6T1r1Asoil	V2T2r5Bsoil	R6T1r6Csoil	R6T1r5Csoil	R6T1r6Bsoil	R3T4r5Bsoil	V2T4r5Asoil	V2T2r1Csoil	R3T4r2Csoil	R6T2r1Bsoil	R3T1r6Csoil	R6T1r2Bsoil	V2T2r2Asoil	V2T1r5Asoil	V2T4r1Asoil	V2T1r1Asoil	R3T1r2Asoil	V2T2r5Csoil	V2T1r1Csoil	R3T2r5Csoil	R6T2r1Csoil	R3T2r5Bsoil	V2T2r6Csoil	V2T1r5Csoil	R3T2r2Asoil	V2T2r2Csoil	R3T2r6Csoil	R6T4r5Bsoil	R6T2r6Csoil	R3T2r6Asoil	NC1soil	R6T4r5Csoil	R6T4r1Asoil
OTU_2	153611	1115	629	118	0	0	2	1070	0	1	1	45	9825	0	0	1	445	0	4929	0	1	772	0	4336	25	17	298	0	1206	3425	398	1	1113	0	1792	1	0	48	0	2374	664	0	681	257	1450	24861	113	373	1	0	5	90	2748	0	101	0	1	0	0	0	0	0	0	2178	4644	0	184	0	1	787	22	3185	593	0	300	0	95	0	0	2	54	0	708	152	0	69	150	400	0	0	248	0	2	4	1	0	1	1	0	0
OTU_72	207	15642	0	647	0	0	0	0	0	687	0	0	1000	94	0	0	264	0	1010	0	0	235	0	0	630	0	0	0	0	0	598	0	513	0	563	0	0	997	805	0	0	0	0	0	0	0	0	344	0	0	0	124	0	0	0	342	483	0	0	0	0	0	1	0	74	0	0	0	0	0	0	779	0	0	0	0	247	1	0	0	0	0	0	33	0	612	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	848	382	1521	364	2892	2914	0	1892	500	227	1047	478	135	321	1560	0	1702	7286	31	2109	308	238	531	0	1921	56	215	1	79	780	254	0	1039	0	1	806	502	0	825	486	1987	0	348	1837	411	462	16	319	0	92	363	591	648	84	1014	2232	1	178	6876	1	62	1	860	1555	214	650	838	2996	599	63	7396	509	556	0	539	2070	6	294	2	18	0	2656	136	166	1	1261	2141	89	0	160	181	396	254	30	0	0	14	1	0	0
OTU_71	26	168	1	4606	0	0	0	0	0	0	0	1	11	0	0	0	838	0	11	0	0	47	6	0	7	0	0	0	0	0	17	0	181	0	24	0	14	0	52	3	21	0	1	5	2	0	0	11	0	1	0	716	0	30	6	0	6	0	1	0	0	0	0	0	6546	0	0	0	1	0	15	59	0	19	0	0	97	0	0	0	3	1	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_196	0	0	0	66	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	1195	0	0	0	16	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	48	0	0	0	0	53	0	0	0	0	0	0	0	0	167	0	33	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0
OTU_1	1041	2665	2220	4354	8090	2156	4430	2294	7049	15478	7570	6470	7535	3657	5667	3328	8469	6485	6083	5849	3148	4981	2732	2815	5510	5149	1006	1538	3160	6376	5651	10062	13961	2931	7224	5941	8423	10030	5047	4759	760	5487	4789	1700	4154	1416	1824	4103	2425	9972	5436	5212	2023	4489	10315	1312	2048	6065	4936	6721	2760	1572	1750	2284	7934	18491	598	1626	2984	1997	1391	921	3672	726	1786	1238	6175	963	3313	884	1349	516	464	7590	4166	7462	1102	1031	1492	1988	2493	824	205	124	1	0	47	0	1	0
OTU_32	15	178	31	815	242	0	93	188	87	13770	1574	930	398	151	339	0	124	0	831	56	12	311	49	230	178	0	118	405	395	349	1246	400	351	3166	0	0	186	482	70	90	82	869	79	14	795	95	17	596	93	59	173	274	510	352	0	31	254	26	204	0	508	96	195	0	84	0	23	0	43	254	23	75	0	0	0	36	227	363	0	0	0	0	0	486	0	1650	0	0	180	45	51	0	21	1	0	1	0	0	0	0
OTU_329	0	0	0	13	40	0	0	474	0	0	0	0	45	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	70	0	30	0	0	0	0	31	0	0	0	0	40	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_81	7	24	41	20	143	0	31	335	1953	433	0	230	45	0	153	102	43	94	0	132	0	50	0	0	503	66	42	0	0	25	1	0	0	0	0	594	32	0	87	0	159	0	25	21	0	0	0	68	0	32	64	0	0	31	81	106	0	0	486	0	0	0	0	25	0	240	724	455	0	106	1564	75	0	0	0	211	0	47	1	0	105	2103	0	0	0	328	70	0	0	6	0	42	0	0	0	0	0	0	0	0
OTU_3	842	1725	2679	1262	0	0	0	4043	0	12491	6283	2688	2344	1874	0	1920	4786	0	8747	0	0	3105	5412	2167	1113	1074	1767	192	785	10276	5464	1	12537	0	974	0	4640	2395	1998	4577	2403	0	3874	1978	4838	1482	2131	2253	0	1	0	3291	823	1	3074	3660	3395	0	0	1	2	0	0	4657	3914	0	0	166	1527	1082	59	686	308	1545	4658	1	2600	0	1	1	4721	916	733	1	0	5159	1803	339	0	0	710	191	0	11	2	0	1	0	0	0
