OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_1	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1			Ascomycota_1	Dothideomycetes_1			Dothideomycetes_1	Capnodiales_1			Capnodiales_1	Cladosporiaceae_1			Cladosporiaceae_1	Cladosporium_1			Cladosporium_1				
OTU_2	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1			Ascomycota_1	Dothideomycetes_1			Dothideomycetes_1	Pleosporales_1			Pleosporales_1	Didymellaceae_1			Didymellaceae_1	Didymella_1			Didymella_1	Didymella glomerata 			Didymella glomerata 
OTU_3	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1		Basidiomycota_1	Tremellomycetes_1	Tremellomycetes_1		Tremellomycetes_1	Tremellales_1	Tremellales_1		Tremellales_1	Rhynchogastremataceae_1	Rhynchogastremataceae_1		Rhynchogastremataceae_1	Papiliotrema_1	Papiliotrema_1		Papiliotrema_1	Papiliotrema flavescens 			Papiliotrema flavescens 
OTU_4	Fungi_1	Fungi_1	Fungi_1	Fungi_1		Basidiomycota_1		Basidiomycota_1		Tremellomycetes_1		Tremellomycetes_1		Tremellales_1		Tremellales_1		Bulleribasidiaceae_1		Bulleribasidiaceae_1		Hannaella_1		Hannaella_1				
OTU_5	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Tremellomycetes_1	Tremellomycetes_1	Tremellomycetes_1	Tremellomycetes_1	Tremellales_1	Tremellales_1	Tremellales_1	Tremellales_1	Bulleribasidiaceae_1	Bulleribasidiaceae_1	Bulleribasidiaceae_1	Bulleribasidiaceae_1	Hannaella_1	Hannaella_1	Hannaella_1	Hannaella_1	Hannaella oryzae 			Hannaella oryzae 
OTU_6	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Tremellomycetes_1	Tremellomycetes_1	Tremellomycetes_1	Tremellomycetes_1	Tremellales_1	Tremellales_1	Tremellales_1	Tremellales_1	Bulleribasidiaceae_1	Bulleribasidiaceae_1	Bulleribasidiaceae_1	Bulleribasidiaceae_1	Hannaella_1	Hannaella_1	Hannaella_1	Hannaella_1	Hannaella luteola 			Hannaella luteola 
OTU_7	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1			Ascomycota_1	Dothideomycetes_1			Dothideomycetes_1	Pleosporales_1			Pleosporales_1	Pleosporaceae_1			Pleosporaceae_1	Alternaria_1			Alternaria_1	Alternaria tenuissima 			Alternaria tenuissima 
OTU_8	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
OTU_9	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1		Sordariomycetes_1	Hypocreales_1	Hypocreales_1		Hypocreales_1	Nectriaceae_1	Nectriaceae_1		Nectriaceae_1		Fusarium_1		Fusarium_1				
OTU_10	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1		Ascomycota_1	Ascomycota_1	Sordariomycetes_1			Sordariomycetes_1	Glomerellales_1			Glomerellales_1	Plectosphaerellaceae_1			Plectosphaerellaceae_1	Plectosphaerella_1			Plectosphaerella_1	Plectosphaerella cucumerina 			Plectosphaerella cucumerina 
OTU_11	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Microbotryomycetes_1	Microbotryomycetes_1	Microbotryomycetes_1	Microbotryomycetes_1	Leucosporidiales_1			Leucosporidiales_1												
OTU_12	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Mycosphaerellales_1	Mycosphaerellales_1	Mycosphaerellales_1	Mycosphaerellales_1	Mycosphaerellaceae_1	Mycosphaerellaceae_1	Mycosphaerellaceae_1	Mycosphaerellaceae_1								
OTU_13	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes_1	Sordariales_1	Sordariales_1	Sordariales_1	Sordariales_1												
OTU_14	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
OTU_15	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1		Leotiomycetes_1		Leotiomycetes_1		Helotiales_1		Helotiales_1												
OTU_16	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1		Phaeosphaeriaceae_1								
OTU_17	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Cystobasidiomycetes_1	Tremellomycetes_1	Cystobasidiomycetes_1	Cystobasidiomycetes_1	Incertae_sedis	Tremellales_1	Cystobasidiomycetes_ord_incertae_sedis_1		Symmetrosporaceae_1	Bulleribasidiaceae_1	Symmetrosporaceae_1	Symmetrosporaceae_1	Symmetrospora_1	Hannaella_1	Symmetrospora_1	Symmetrospora_1	Symmetrospora coprosmae 			Symmetrospora coprosmae 
OTU_18	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Helotiales_1	Helotiales_1	Helotiales_1	Helotiales_1												
OTU_19	Fungi_1	Fungi_1	Fungi_1	Fungi_1		Basidiomycota_1		Basidiomycota_1		Tremellomycetes_1		Tremellomycetes_1		Tremellales_1		Tremellales_1		Bulleribasidiaceae_1		Bulleribasidiaceae_1		Vishniacozyma_1		Vishniacozyma_1				
OTU_20	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1		Phaeosphaeriaceae_1		Phaeosphaeriaceae_1		Neosetophoma_1		Neosetophoma_1				
OTU_21	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
OTU_22	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota_1	Tremellomycetes_1	Tremellomycetes_1	Tremellomycetes_1	Tremellomycetes_1	Tremellales_1	Tremellales_1	Tremellales_1	Tremellales_1		Bulleraceae_1		Bulleraceae_1		Bullera_1		Bullera_1				
OTU_23	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Phaeosphaeriaceae_1	Neosetophoma_1	Neosetophoma_1	Neosetophoma_1	Neosetophoma_1				
OTU_24	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes_1	Helotiales_1	Helotiales_1	Helotiales_1	Helotiales_1	Helotiaceae_1		Helotiaceae_1	Helotiaceae_1								
OTU_25	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1		Leotiomycetes_1		Leotiomycetes_1																
OTU_26	Fungi_1	Fungi_1	Fungi_1	Fungi_1																								
OTU_27	Fungi_1	Fungi_1	Fungi_1	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Pleosporales_1	Didymellaceae_1	Didymellaceae_1	Didymellaceae_1	Didymellaceae_1	Neoascochyta_1	Neoascochyta_1	Neoascochyta_1	Neoascochyta_1	Neoascochyta desmazieri 			Neoascochyta desmazieri 
