#OTU ID	R3T1r5Bstem	R6T2r2Astem	R6T2r2Cstem	V2T2r5Cstem	V2T4r6Cstem	R6T4r5Cstem	R3T4r1Cstem	V2T2r1Cstem	R6T2r5Cstem	R3T1r6Astem	V2T1r2Astem	R6T4r1Astem	R3T1r6Bstem	R3T1r2Astem	R6T1r2Astem	R6T2r1Cstem	V2T1r5Bstem	R6T1r5Bstem	R6T1r6Astem	R6T1r1Cstem	R3T4r2Bstem	R3T1r1Astem	R3T4r5Cstem	V2T1r5Astem	R6T2r6Bstem	V2T1r1Cstem	R6T1r2Cstem	R3T4r5Astem	R3T4r6Cstem	V2T4r5Bstem	R3T2r5Bstem	V2T4r6Astem	R6T1r5Astem	V2T4r2Bstem	R6T2r5Astem	R3T2r2Cstem	V2T2r6Cstem	R3T4r1Astem	R6T2r5Bstem	R3T2r5Astem	R3T1r1Cstem	V2T2r6Bstem	V2T2r2Astem	R3T4r2Cstem	R3T2r1Cstem	R3T4r5Bstem	R3T1r5Cstem	R6T1r6Cstem	R3T2r1Bstem	R3T4r2Astem	R3T2r6Cstem	V2T1r6Cstem	V2T1r2Bstem	R3T2r6Bstem	R6T1r1Astem	R6T1r1Bstem	V2T4r1Bstem	R3T2r1Astem	R3T2r5Cstem	R3T4r6Bstem	R3T1r6Cstem	R6T2r2Bstem	R3T2r2Bstem	V2T1r1Astem	V2T2r5Bstem	R3T1r2Bstem	R6T1r5Cstem	R6T1r2Bstem	R3T4r6Astem	R3T1r1Bstem	V2T2r6Astem	V2T4r5Astem	R6T2r6Cstem	R6T2r1Astem	R6T4r5Bstem	V2T2r1Astem	R3T1r5Astem	V2T4r5Cstem	V2T4r2Cstem	V2T1r1Bstem	R3T2r6Astem	V2T4r6Bstem	R3T4r1Bstem	NC1stem	R3T2r2Astem	R3T1r2Cstem	V2T1r6Bstem	V2T2r5Astem	V2T4r1Astem	V2T1r2Cstem	V2T2r2Cstem	V2T4r2Astem	R6T2r1Bstem	V2T4r1Cstem	R6T2r6Astem	V2T2r2Bstem	V2T2r1Bstem	R6T1r6Bstem	V2T1r5Cstem	V2T1r6Astem	R6T4r6Astem
OTU_234	29	0	37	0	0	0	0	0	0	192	0	2	0	0	0	0	0	0	8	0	48	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU_19	0	1831	0	802	1179	0	22	1	0	0	0	226	111	90	463	7319	11	463	0	0	562	0	0	80	42	2396	605	294	231	99	145	0	33	251	0	0	104	0	283	72	25	27	85	129	588	0	0	0	628	61	0	6643	0	0	11	0	0	1	0	181	116	0	207	0	0	43	0	272	0	0	0	142	0	0	1	186	0	117	1	0	0	143	1	0	135	1	0	72	87	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21	55	56	252	3	336	0	1158	319	190	276	158	284	134	47	0	81	102	58	556	19	1479	0	0	100	58	244	4	950	202	88	22	43	0	730	169	399	122	1420	185	141	35	73	280	941	425	0	298	1	390	222	0	0	519	2	0	221	80	677	338	1838	33	50	0	83	133	154	688	597	0	0	161	868	486	613	61	17	1	184	176	186	47	0	0	0	0	104	34	116	0	0	85	55	1	1	0	78	197	62	2	1	0
OTU_5	595	1216	0	20723	1	0	1062	285	1206	0	694	62	20197	684	33727	4563	202	47	4	0	2	0	0	462	2605	0	294	0	142	3361	62	0	1853	0	0	0	125	339	9515	151	953	2816	83	89	3176	0	1406	0	2	274	0	2	18	1	1	0	0	0	0	1686	1658	0	157	0	0	0	2	2	1	470	0	2309	0	0	0	146	0	4	0	3	0	0	2383	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0
OTU_2	265	133	194	163	2520	1	5320	8835	8519	612	11969	16138	517	213	35	4386	8	2319	43	15071	2729	20	137	4059	5221	36015	20981	8982	646	10	199	0	555	591	4802	679	664	2	11945	2481	3633	7028	761	1602	16643	999	0	890	369	59	119	141	611	4418	3	24	3	472	224	3865	234	247	0	126	1396	203	1293	0	100	0	144	3692	419	0	1201	1	157	329	1	1	0	539	340	36	308	29	1194	2078	141	421	1	579	863	230	503	193	65	51	126	3	6
OTU_8	0	0	198	656	0	42671	247	28	35	156	0	6	0	5	0	17	0	35	1208	1597	286	0	1	22	455	1030	0	3782	15	9	0	63	0	302	0	248	37	1	0	0	58	23	0	0	787	0	645	0	234	132	0	0	28	1290	0	0	518	45	0	23	0	67	230	2	0	235	111	0	0	1	0	8	33	436	2	143	0	43	0	0	0	326	0	0	0	221	1328	117	1	0	0	0	57	0	285	3	0	79	2	8	17
OTU_4	0	779	2	1509	1	1	10669	34	0	47786	2	741	379	744	0	176	49	36	1	0	0	1	24567	6451	101	63	0	1	6135	10580	452	1	52	1	197	3612	54	0	1	6195	138	523	1091	73	143	5741	263	1	0	1348	0	1	191	323	1	0	0	1	1	316	70	0	0	2	1	0	0	1	0	1155	37	281	0	0	0	3128	0	0	1577	0	2	0	0	0	0	0	0	0	0	0	1	1	0	4	0	2	0	0	0	1	1
OTU_3	0	1392	243	595	205	0	2792	71	24913	0	46354	33	199	998	2	995	0	165	4232	674	33880	2904	1	267	96	3199	1	1	257	163	1	75	0	0	0	0	73	0	0	481	72	132	12	1805	133	2803	1	2	960	2842	236	3	64	0	2322	0	1	244	234	25	99	554	1	16	0	2069	0	554	10836	1	0	14	240	0	1	0	1	793	0	6	269	3	2	0	0	304	2	211	154	224	774	0	306	0	0	77	1	0	89	0	1
OTU_10	0	939	9	17	1	0	294	25	0	0	201	496	467	3930	0	43	57	62	1	30	36	0	0	425	16	444	4313	311	6083	32	373	0	1	0	0	0	289	0	0	277	495	15500	3472	0	0	0	0	0	0	1013	0	0	0	1	1	0	0	1	0	635	1299	0	0	0	0	0	0	23	0	0	0	2707	514	0	153	0	15	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	358	2	0	0	0	0	0
OTU_17	0	152	1	0	326	0	56	49	891	35	553	234	499	7974	159	7	5611	682	26	0	73	0	971	36	451	0	1	0	718	94	7246	30	0	0	0	0	380	1	2055	402	208	4498	97	0	1	0	0	1	1	285	0	0	232	0	0	0	1	0	0	155	1457	0	0	0	0	0	0	0	0	0	0	136	0	0	151	153	1	0	0	0	0	0	1	0	0	0	0	68	0	0	0	0	0	0	0	0	0	1	0	1	3
