"","Sample0918","Sample0921","Sample0916","Sample0849","Sample0832","Sample0868","Sample0903","Sample0934","Sample0835","Sample0891","Sample0864","Sample0926","Sample0904","Sample0875","Sample0915","Sample0923","Sample0874","Sample0836","Sample0865","Sample0843","Sample0910","Sample0900","Sample0908","Sample0893","Sample0897","Sample0906","Sample0831","Sample0860","Sample0857","Sample0884","Sample0895","Sample0907","Sample0919","Sample0882","Sample0852","Sample0892","Sample0889","Sample0867","Sample0920","Sample0883","Sample0878","Sample0851","Sample0894","Sample0844","Sample0896","Sample0873","Sample0879","Sample0840","Sample0887","Sample0833","Sample0841","Sample0901","Sample0902","Sample0854","Sample0877","Sample0899","Sample0876","Sample0917","Sample0881","Sample0848","Sample0869","Sample0909","Sample0905","Sample0866","Sample0898","Sample0859","Sample0913","Sample0925","Sample0933","Sample0858","Sample0886","Sample0863","Sample0890","Sample0880","Sample0870","Sample0839","Sample0847","Sample0834","Sample0416","Sample0405","Sample0394","Sample0429","Sample0444","Sample0391","Sample0409","Sample0435","Sample0401","Sample0384","Sample0402","Sample0449","Sample0462","Sample0392","Sample0437","Sample0434","Sample0432","Sample0387","Sample0397","Sample0396"
"ORIGIN","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem","stem"
"GROWTH_STAGE","R6","R6","R6","V2","V2","R3","R6","R6","V2","R3","V2","R6","R6","R3","R6","R6","R3","V2","R3","V2","R6","R3","R6","R3","R3","R6","V2","V2","V2","R3","R3","R6","R6","R3","V2","R3","R3","R3","R6","R3","R3","V2","R3","V2","R3","R3","R3","V2","R3","V2","V2","R6","R6","V2","R3","R3","R3","R6","R3","V2","R3","R6","R6","R3","R3","V2","R6","R6","R6","V2","R3","V2","R3","R3","R3","V2","V2","V2","R2","R2","R2","R6","R6","R2","R2","R6","R2","R2","R2","R6","R6","R2","R6","R6","R6","R2","R2","R2"
"MANAGEMENT","No-Till","No-Till","No-Till","No-Till","Conventional","Conventional","Conventional","Organic","Conventional","Organic","Organic","Organic","Conventional","Conventional","No-Till","No-Till","Conventional","Conventional","Conventional","No-Till","Conventional","Organic","Conventional","Organic","Organic","Conventional","Conventional","Organic","Organic","No-Till","Organic","Conventional","No-Till","No-Till","No-Till","Organic","Organic","Conventional","No-Till","No-Till","No-Till","No-Till","Organic","No-Till","Organic","Conventional","No-Till","Conventional","No-Till","Conventional","No-Till","Conventional","Conventional","Organic","No-Till","Organic","Conventional","No-Till","No-Till","No-Till","Conventional","Conventional","Conventional","Conventional","Organic","Organic","No-Till","No-Till","Organic","Organic","No-Till","Organic","Organic","No-Till","Conventional","Conventional","No-Till","Conventional","Organic","No-Till","No-Till","Conventional","No-Till","Conventional","Organic","Conventional","No-Till","Conventional","No-Till","No-Till","Organic","Conventional","Conventional","Conventional","Conventional","Conventional","No-Till","No-Till"
"SAMPLE_OR_CONTROL","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"OLD_NAME","R6T2r2Cstem","R6T2r5Cstem","R6T2r2Astem","V2T2r5Cstem","V2T1r2Astem","R3T1r2Astem","R6T1r1Cstem","R6T4r5Cstem","V2T1r5Astem","R3T4r1Cstem","V2T4r6Cstem","R6T4r1Astem","R6T1r2Astem","R3T1r6Bstem","R6T2r1Cstem","R6T2r6Bstem","R3T1r6Astem","V2T1r5Bstem","R3T1r1Astem","V2T2r1Cstem","R6T1r6Astem","R3T4r6Cstem","R6T1r5Bstem","R3T4r2Bstem","R3T4r5Cstem","R6T1r2Cstem","V2T1r1Cstem","V2T4r5Bstem","V2T4r2Bstem","R3T2r5Bstem","R3T4r5Astem","R6T1r5Astem","R6T2r5Astem","R3T2r2Cstem","V2T2r6Cstem","R3T4r2Astem","R3T4r1Astem","R3T1r1Cstem","R6T2r5Bstem","R3T2r5Astem","R3T2r1Bstem","V2T2r6Bstem","R3T4r2Cstem","V2T2r2Astem","R3T4r5Bstem","R3T1r5Cstem","R3T2r1Cstem","V2T1r6Cstem","R3T2r6Bstem","V2T1r2Bstem","V2T2r1Astem","R6T1r1Astem","R6T1r1Bstem","V2T4r1Bstem","R3T2r1Astem","R3T4r6Bstem","R3T1r6Cstem","R6T2r2Bstem","R3T2r2Bstem","V2T2r5Bstem","R3T1r2Bstem","R6T1r5Cstem","R6T1r2Bstem","R3T1r1Bstem","R3T4r6Astem","V2T4r5Astem","R6T2r1Astem","R6T2r6Cstem","R6T4r5Bstem","V2T4r2Cstem","R3T2r6Astem","V2T4r6Bstem","R3T4r1Bstem","R3T2r2Astem","R3T1r2Cstem","V2T1r6Bstem","V2T2r5Astem","V2T1r2Cstem","T4R6BR2ST","T2R6CR2ST","T2R1AR2ST","T1R2AR6ST","T2R5AR6ST","T1R6AR2ST","T4R2AR2ST","T1R6AR6ST","T2R5BR2ST","T1R1CR2ST","T2R5CR2ST","T2R6BR6ST","T4R5CR6ST","T1R6BR2ST","T1R6CR6ST","T1R5CR6ST","T1R5AR6ST","T1R2CR2ST","T2R2AR2ST","T2R1CR2ST"
"COLLECTION_YEAR","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"BAR_LABEL","2021 R6 No-Till","2021 R6 No-Till","2021 R6 No-Till","2021 V2 No-Till","2021 V2 Conventional","2021 R3 Conventional","2021 R6 Conventional","2021 R6 Organic","2021 V2 Conventional","2021 R3 Organic","2021 V2 Organic","2021 R6 Organic","2021 R6 Conventional","2021 R3 Conventional","2021 R6 No-Till","2021 R6 No-Till","2021 R3 Conventional","2021 V2 Conventional","2021 R3 Conventional","2021 V2 No-Till","2021 R6 Conventional","2021 R3 Organic","2021 R6 Conventional","2021 R3 Organic","2021 R3 Organic","2021 R6 Conventional","2021 V2 Conventional","2021 V2 Organic","2021 V2 Organic","2021 R3 No-Till","2021 R3 Organic","2021 R6 Conventional","2021 R6 No-Till","2021 R3 No-Till","2021 V2 No-Till","2021 R3 Organic","2021 R3 Organic","2021 R3 Conventional","2021 R6 No-Till","2021 R3 No-Till","2021 R3 No-Till","2021 V2 No-Till","2021 R3 Organic","2021 V2 No-Till","2021 R3 Organic","2021 R3 Conventional","2021 R3 No-Till","2021 V2 Conventional","2021 R3 No-Till","2021 V2 Conventional","2021 V2 No-Till","2021 R6 Conventional","2021 R6 Conventional","2021 V2 Organic","2021 R3 No-Till","2021 R3 Organic","2021 R3 Conventional","2021 R6 No-Till","2021 R3 No-Till","2021 V2 No-Till","2021 R3 Conventional","2021 R6 Conventional","2021 R6 Conventional","2021 R3 Conventional","2021 R3 Organic","2021 V2 Organic","2021 R6 No-Till","2021 R6 No-Till","2021 R6 Organic","2021 V2 Organic","2021 R3 No-Till","2021 V2 Organic","2021 R3 Organic","2021 R3 No-Till","2021 R3 Conventional","2021 V2 Conventional","2021 V2 No-Till","2021 V2 Conventional","2018 R2 Organic","2018 R2 No-Till","2018 R2 No-Till","2018 R6 Conventional","2018 R6 No-Till","2018 R2 Conventional","2018 R2 Organic","2018 R6 Conventional","2018 R2 No-Till","2018 R2 Conventional","2018 R2 No-Till","2018 R6 No-Till","2018 R6 Organic","2018 R2 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R2 Conventional","2018 R2 No-Till","2018 R2 No-Till"
"is.neg","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"readNO","  8572"," 78415"," 37528"," 70860","135354"," 29134"," 31718","113076"," 27542"," 91956","  9653"," 38747"," 39734"," 38613"," 51353"," 21140"," 58796"," 32045","  8472"," 19778"," 35184"," 72955"," 21587","110006"," 35699"," 38170","105992"," 24580"," 36058"," 32296"," 40164","  6138"," 55530","  8551"," 24046"," 43480","  2957"," 27332"," 74883"," 28577"," 25063"," 40454"," 23625"," 38485"," 11866","  7735"," 36017","  7277"," 13987"," 16784","  9133","  6888","  6447"," 14356"," 12276"," 63268"," 28415"," 10888","  7767","  2797"," 12725","  5145","  9346","  3400"," 16518"," 30024"," 13111"," 41535","  7141","  3054","  6827","  7377","  4014","  5041"," 11663","  6008","  6962","  3964","  1813"," 11815","  9113","  8220"," 11048","  7630"," 11292"," 11767"," 25909","  3988","  9750","  5914","  4270","  3696","  5023","  5624","  8092","  4307","  4812","  1093"
"Observed"," 55"," 87","228"," 93","117","145"," 96"," 16","162","295"," 49","214"," 26","194","200","151"," 67","182"," 38","129"," 91","328","173","111"," 47"," 85","148"," 98"," 78","210"," 82"," 19"," 48"," 41","224","227"," 29","188"," 82","156"," 67","150"," 70","309"," 28"," 49"," 63"," 15"," 50","127"," 52"," 34"," 34"," 76"," 71","213","154"," 53"," 39"," 21","101"," 39"," 67"," 20"," 28","173"," 56"," 87"," 49"," 26"," 44"," 31"," 23"," 30"," 45"," 34"," 39"," 31","102","224","177","178","195","151","134","179","205","170","107","188","169","101","163","190","200","191","134","106"
