ID#	ORIGIN	GROWTH_STAGE	MANAGEMENT	SAMPLE_OR_CONTROL	OLD_NAME	COLLECTION_YEAR	BAR_LABEL
Sample0001	root	V2	Conventional	Sample	T1R1AV2R	2018	2018 V2 Conventional
Sample0002	root	V2	Conventional	Sample	T2R1BV2R	2018	2018 V2 Conventional
Sample0003	root	V2	Conventional	Sample	T1R1CV2R	2018	2018 V2 Conventional
Sample0004	root	V2	Conventional	Sample	T1R2AV2R	2018	2018 V2 Conventional
Sample0005	root	V2	Conventional	Sample	T1R2BV2R	2018	2018 V2 Conventional
Sample0006	root	V2	Conventional	Sample	T1R2CV2R	2018	2018 V2 Conventional
Sample0007	root	V2	Conventional	Sample	T1R5AV2R	2018	2018 V2 Conventional
Sample0008	root	V2	Conventional	Sample	T1R5BV2R	2018	2018 V2 Conventional
Sample0009	neg	neg	neg	Control	NEG1R	2018	negative
Sample0010	root	V2	Conventional	Sample	T1R5CV2R	2018	2018 V2 Conventional
Sample0011	root	V2	Conventional	Sample	T1R6AV2R	2018	2018 V2 Conventional
Sample0012	root	V2	Conventional	Sample	T1R6BV2R	2018	2018 V2 Conventional
Sample0013	root	V2	Conventional	Sample	T1R6CV2R	2018	2018 V2 Conventional
Sample0014	root	V2	No-Till	Sample	T2R1AV2R	2018	2018 V2 No-Till
Sample0015	root	V2	No-Till	Sample	T1R1BV2R	2018	2018 V2 No-Till
Sample0016	root	V2	No-Till	Sample	T2R1CV2R	2018	2018 V2 No-Till
Sample0017	root	V2	No-Till	Sample	T2R2AV2R	2018	2018 V2 No-Till
Sample0018	root	V2	No-Till	Sample	T2R2BV2R	2018	2018 V2 No-Till
Sample0019	root	V2	No-Till	Sample	T2R2CV2R	2018	2018 V2 No-Till
Sample0020	root	V2	No-Till	Sample	T2R5AV2R	2018	2018 V2 No-Till
Sample0021	root	V2	No-Till	Sample	T2R5BV2R	2018	2018 V2 No-Till
Sample0022	root	V2	No-Till	Sample	T2R5CV2R	2018	2018 V2 No-Till
Sample0023	root	V2	No-Till	Sample	T2R6AV2R	2018	2018 V2 No-Till
Sample0024	root	V2	No-Till	Sample	T2R6BV2R	2018	2018 V2 No-Till
Sample0025	root	V2	No-Till	Sample	T2R6CV2R	2018	2018 V2 No-Till
Sample0026	root	V2	Organic	Sample	T4R1AV2R	2018	2018 V2 Organic
Sample0027	root	V2	Organic	Sample	T4R1BV2R	2018	2018 V2 Organic
Sample0028	root	V2	Organic	Sample	T4R1CV2R	2018	2018 V2 Organic
Sample0029	neg	neg	neg	Control	NEG2R	2018	negative
Sample0030	root	V2	Organic	Sample	T4R2AV2R	2018	2018 V2 Organic
Sample0031	root	V2	Organic	Sample	T4R2BV2R	2018	2018 V2 Organic
Sample0032	root	V2	Organic	Sample	T4R2CV2R	2018	2018 V2 Organic
Sample0033	root	V2	Organic	Sample	T4R5AV2R	2018	2018 V2 Organic
Sample0034	root	V2	Organic	Sample	T4R5BV2R	2018	2018 V2 Organic
Sample0035	root	V2	Organic	Sample	T4R5CV2R	2018	2018 V2 Organic
Sample0036	root	V2	Organic	Sample	T4R6AV2R	2018	2018 V2 Organic
Sample0037	root	V2	Organic	Sample	T4R6BV2R	2018	2018 V2 Organic
Sample0038	root	V2	Organic	Sample	T4R6CV2R	2018	2018 V2 Organic
Sample0039	neg	neg	neg	Control	NEG3R	2018	negative
Sample0040	root	R2	Conventional	Sample	T1R1AR2R	2018	2018 R2 Conventional
Sample0041	root	R2	Conventional	Sample	T1R1BR2R	2018	2018 R2 Conventional
Sample0042	root	R2	Conventional	Sample	T1R1CR2R	2018	2018 R2 Conventional
Sample0043	root	R2	Conventional	Sample	T1R2AR2R	2018	2018 R2 Conventional
Sample0044	root	R2	Conventional	Sample	T1R2BR2R	2018	2018 R2 Conventional
Sample0045	root	R2	Conventional	Sample	T1R2CR2R	2018	2018 R2 Conventional
Sample0046	root	R2	Conventional	Sample	T1R5AR2R	2018	2018 R2 Conventional
Sample0047	root	R2	Conventional	Sample	T1R5BR2R	2018	2018 R2 Conventional
Sample0048	root	R2	Conventional	Sample	T1R5CR2R	2018	2018 R2 Conventional
Sample0049	root	R2	Conventional	Sample	T1R6AR2R	2018	2018 R2 Conventional
Sample0050	root	R2	Conventional	Sample	T1R6BR2R	2018	2018 R2 Conventional
Sample0051	root	R2	Conventional	Sample	T1R6CR2R	2018	2018 R2 Conventional
Sample0052	root	R2	No-Till	Sample	T2R1AR2R	2018	2018 R2 No-Till
Sample0053	root	R2	No-Till	Sample	T2R1BR2R	2018	2018 R2 No-Till
Sample0054	root	R2	No-Till	Sample	T2R1CR2R	2018	2018 R2 No-Till
Sample0055	root	R2	No-Till	Sample	T2R2AR2R	2018	2018 R2 No-Till
Sample0056	root	R2	No-Till	Sample	T2R2BR2R	2018	2018 R2 No-Till
Sample0057	root	R2	No-Till	Sample	T2R2CR2R	2018	2018 R2 No-Till
Sample0058	root	R2	No-Till	Sample	T2R5AR2R	2018	2018 R2 No-Till
Sample0059	root	R2	No-Till	Sample	T2R5BR2R	2018	2018 R2 No-Till
Sample0060	root	R2	No-Till	Sample	T2R5CR2R	2018	2018 R2 No-Till
Sample0061	root	R2	No-Till	Sample	T2R6AR2R	2018	2018 R2 No-Till
Sample0062	root	R2	No-Till	Sample	T2R6BR2R	2018	2018 R2 No-Till
