,Sample0696,Sample0697,Sample0636,Sample0682,Sample0653,Sample0698,Sample0660,Sample0621,Sample0614,Sample0637,Sample0673,Sample0670,Sample0647,Sample0709,Sample0623,Sample0630,Sample0632,Sample0640,Sample0622,Sample0701,Sample0678,Sample0671,Sample0612,Sample0676,Sample0710,Sample0690,Sample0654,Sample0685,Sample0659,Sample0668,Sample0619,Sample0658,Sample0674,Sample0650,Sample0613,Sample0606,Sample0692,Sample0655,Sample0663,Sample0611,Sample0620,Sample0687,Sample0681,Sample0652,Sample0677,Sample0608,Sample0641,Sample0683,Sample0669,Sample0665,Sample0695,Sample0645,Sample0643,Sample0672,Sample0661,Sample0649,Sample0615,Sample0680,Sample0642,Sample0628,Sample0684,Sample0679,Sample0639,Sample0666,Sample0616,Sample0629,Sample0638,Sample0626,Sample0617,Sample0657,Sample0633,Sample0686,Sample0607,Sample0694,Sample0693,Sample0689,Sample0635,Sample0702,Sample0675,Sample0625,Sample0627,Sample0648,Sample0656,Sample0605,Sample0644,Sample0691,Sample0624,Sample0631,Sample0651,Sample0667,Sample0610,Sample0634,Sample0664,Sample0688,Sample0699,Sample0618,Sample0609,Sample0662,Sample0646,Sample0711,Sample0036,Sample0087,Sample0107,Sample0038,Sample0075,Sample0122,Sample0123,Sample0027,Sample0023,Sample0083,Sample0014,Sample0100,Sample0052,Sample0025,Sample0050,Sample0056,Sample0120,Sample0012,Sample0046,Sample0070,Sample0018,Sample0016,Sample0022,Sample0042,Sample0063,Sample0049,Sample0026,Sample0105,Sample0121,Sample0007,Sample0003,Sample0116,Sample0091,Sample0028,Sample0047,Sample0045,Sample0034,Sample0006,Sample0033,Sample0040,Sample0086,Sample0111,Sample0060,Sample0094,Sample0015,Sample0062,Sample0113,Sample0017,Sample0053,Sample0117,Sample0024,Sample0035,Sample0059,Sample0011,Sample0057,Sample0103,Sample0097,Sample0005,Sample0069,Sample0037,Sample0118,Sample0115,Sample0073,Sample0044,Sample0019,Sample0066,Sample0088,Sample0092,Sample0030,Sample0099,Sample0089,Sample0108,Sample0068,Sample0020,Sample0067,Sample0032,Sample0114,Sample0054,Sample0098,Sample0071,Sample0090,Sample0021,Sample0008,Sample0102,Sample0002,Sample0001,Sample0048,Sample0013,Sample0101,Sample0093,Sample0065,Sample0104,Sample0106,Sample0055,Sample0010,Sample0041,Sample0085,Sample0031,Sample0061,Sample0119,Sample0072,Sample0058,Sample0064,Sample0004,Sample0084,Sample0074,Sample0043,Sample0051
OTU_9,163,3,0,2,324,0,0,196,69,16,12,211,44,4,10,252,0,0,63,11,0,27,11,15,52449,0,136,3,10,0,2,6,0,0,3,0,1,1,9,0,9,0,3,4,0,0,11,2,290,3,11,55,8,2,47,35,5,0,0,0,1,0,79,1,7,0,325,0,0,40,19,0,0,29,0,27,0,15,0,0,0,2,0,3,0,0,41,0,0,6,0,0,18,0,0,0,6,133,4,31,11,1,0,0,0,19,1,0,0,2,3,7,0,0,0,0,0,24,0,0,0,20,0,0,0,0,3,0,2,0,31,24,10,0,0,0,295,4,0,0,10,0,0,5,3,0,0,0,0,55,0,0,14,40,0,1,0,7,0,0,5,2,0,14,0,0,10,13,0,10,0,16,0,0,0,0,0,0,26,1,3,0,0,12,40,17,31,18,44,14,0,0,22,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0
OTU_22,0,144,23,736,1201,419,477,18,0,14,2,49,1185,275,3697,16,0,1829,12,2,267,1233,0,545,0,211,60,1,3336,569,1176,7082,503,54,1784,75,117,11317,2877,41577,1,293,56,119,0,1151,1,1,0,289,4927,0,0,9,7,0,1508,12,546,8,196,159,403,1246,0,2245,57,907,15,43,0,0,225,31,0,159,197,65,140,14,450,0,1,72,0,1,0,1171,1,659,1651,18,7,0,0,313,1,0,15,16,630,37,11,151,511,3,148,329,0,12,108,1279,7,0,0,194,348,43,558,834,38,507,31,1288,79,0,522,92,154,31,307,561,9,113,326,6,135,40,404,126,1252,267,368,7,64,6,43,63,0,45,10,2151,17,1738,409,145,48,123,688,1852,10,562,944,48,0,232,20,486,108,58,127,1,105,78,8,929,215,0,62,208,5,25,0,63,375,1205,80,141,133,52,207,15,26,0,1321,1,6,0,0,28,0,0,4,1,5,0,0,0
OTU_72,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,26,35,0,0,0,121,12,0,0,2,0,0,2,3,0,0,0,0,10,0,0,21,2,0,0,0,0,0,0,5,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,2,7,8,10,7,5,3,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_13,0,0,0,0,0,0,2,0,0,0,3,0,0,51,0,0,0,0,0,3,0,0,37,8,0,0,0,0,88,11,0,33,0,0,0,0,13,0,0,3,45,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,51,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,13,2,0,95,41,0,0,0,0,110,0,0,0,8,0,0,4,2,0,0,11,0,27,0,0,44,1,0,8,8,4,0,0,24,0,1,0,0,0,0,3,1,1,0,10,0,1,0,0,0,0,1,0,8,0,99,6,111,86,0,74,20,0,0,0,9,0,21,0,5,0,0,0,0,0,0,0,1,0,0,0
OTU_4,4202,444,1,180,2310,320,464,1605,543,124,4068,576,627,29,1335,247,53,0,5215,384,35,1895,201,97,7201,189,62,238,40,23,14,3502,217,1062,33,204,1499,4992,3254,6,131,386,626,117,5,17,495,16,568,1440,273,132,0,151,193,347,274,16,275,92,119,36,1603,276,38,197,1553,151,203,326,1132,34,376,63,153,1993,1,3,0,394,11,529,35,44,162,26,63,1352,0,12,43,0,55,0,2,181,261,191,126,7,188,4,15,113,7,35,23,0,0,45,48,29,0,0,1,15,3,54,45,8,0,73,8,270,78,68,201,16,39,52,548,101,82,0,125,0,4053,75,0,11,44,16,14,64,103,64,50,8,7,269,11,21,54,60,0,0,7,107,0,2076,97,6,254,949,0,0,33,61,1,21,7,105,65,0,5,0,5,0,96,43,6,1,40,61,317,127,48,359,204,221,1,11,236,0,1010,263,86,0,0,1,0,28,18,42,2,0,0,0
OTU_12,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,3,2,0,0,2,10,14,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,15,108,232,3,1,16,1,212,13,10,0,10,0,0,2,4,1,0,0,1,24,0,7,0,2,0,0,3,2,0,0,10,0,1,33,0,0,0,26,0,2,0,12,0,0,0,0,1,0,11,14,4,0,31,2,108,16,16,41,23,27,0,1,13,0,74,22,8,0,0,0,0,1,12,0,0,0,0,0
OTU_6544,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,18,0,17,9,0,0,0,0,0,1,2,0,0,0,0,7,0,1,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,0,28,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_5,2125,22,1,1208,25,674,5,315,11,1139,9,47,817,657,1563,44,51,564,0,20,0,3167,40,35,2091,1048,31,71,118,8,544,11600,1537,561,218,19,322,7030,5047,31,11,498,0,4,54,595,36,63,85,145,57,207,4,0,43,122,605,388,72,1,6,105,3314,259,2370,2544,0,505,12,118,5,0,159,0,90,29,10,25,0,95,63,380,9,12,58,47,251,294,72,88,132,201,0,0,20,1358,5,45,0,0,154,20,20,1496,268,46,206,41,0,26,30,24,20,0,0,0,21,0,7,37,0,4,0,41,20,22,148,130,236,34,80,123,64,33,79,7,92,87,26,0,40,39,1,86,24,0,265,0,14,140,2,89,22,88,0,0,38,41,135,69,39,383,2564,42,0,0,0,107,22,30,46,81,675,4,241,33,13,0,70,62,134,6,13,39,63,55,58,85,157,110,131,5,122,0,92,48,19,0,0,0,16,3,0,0,1,0,0,0
OTU_21,0,2,0,0,0,0,0,0,2,0,0,32,0,5,0,0,0,0,0,2,0,1,0,0,75,0,0,0,6,0,3,0,16,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,1,0,0,12,2,0,0,12,31,11,2,0,0,3,0,1,24,0,0,59,0,26,0,0,1,3,0,0,63,167,35,0,28,0,577,23,0,0,7,0,0,5,28,9,0,0,0,78,0,0,0,32,0,0,0,28,0,0,45,2,0,1,0,0,0,1,0,8,0,8,0,0,0,7,0,0,15,0,7,0,22,27,148,77,22,186,43,34,0,0,79,0,26,0,34,0,0,0,0,73,0,0,0,0,1,0
