,Sample0759,Sample0735,Sample0720,Sample0760,Sample0761,Sample0751,Sample0747,Sample0800,Sample0793,Sample0743,Sample0748,Sample0766,Sample0718,Sample0737,Sample0768,Sample0758,Sample0805,Sample0807,Sample0770,Sample0810,Sample0746,Sample0736,Sample0774,Sample0753,Sample0782,Sample0796,Sample0732,Sample0750,Sample0769,Sample0727,Sample0795,Sample0764,Sample0777,Sample0717,Sample0744,Sample0778,Sample0787,Sample0767,Sample0726,Sample0752,Sample0755,Sample0754,Sample0785,Sample0783,Sample0729,Sample0803,Sample0780,Sample0792,Sample0745,Sample0749,Sample0786,Sample0721,Sample0788,Sample0757,Sample0809,Sample0779,Sample0808,Sample0728,Sample0784,Sample0742,Sample0789,Sample0791,Sample0734,Sample0806,Sample0797,Sample0741,Sample0762,Sample0804,Sample0790,Sample0756,Sample0719,Sample0763,Sample0776,Sample0794,Sample0738,Sample0723,Sample0725,Sample0765,Sample0799,Sample0798,Sample0730,Sample0781,Sample0801,Sample0731,Sample0740,Sample0716,Sample0722,Sample0772,Sample0802,Sample0771,Sample0739,Sample0724,Sample0733,Sample0775,Sample0773,Sample0823,Sample0822,Sample0815,Sample0814,Sample0824,Sample0264,Sample0245,Sample0229,Sample0199,Sample0203,Sample0265,Sample0262,Sample0171,Sample0212,Sample0164,Sample0163,Sample0253,Sample0263,Sample0204,Sample0244,Sample0260,Sample0142,Sample0148,Sample0235,Sample0261,Sample0175,Sample0157,Sample0178,Sample0205,Sample0202,Sample0241,Sample0233,Sample0231,Sample0208,Sample0143,Sample0206,Sample0240,Sample0242,Sample0250,Sample0257,Sample0239,Sample0154,Sample0243,Sample0197,Sample0247,Sample0258,Sample0246,Sample0158,Sample0172,Sample0149,Sample0190,Sample0194,Sample0146,Sample0230,Sample0209,Sample0179,Sample0152,Sample0200,Sample0188,Sample0145,Sample0166,Sample0186,Sample0159,Sample0196,Sample0210,Sample0161,Sample0232,Sample0193,Sample0165,Sample0237,Sample0207,Sample0168,Sample0192,Sample0191,Sample0173,Sample0181,Sample0177,Sample0153,Sample0169,Sample0216,Sample0167,Sample0213,Sample0227,Sample0182,Sample0184,Sample0185,Sample0249,Sample0174,Sample0195,Sample0183,Sample0147,Sample0150,Sample0198,Sample0155,Sample0176,Sample0234,Sample0156,Sample0228,Sample0160,Sample0162,Sample0144,Sample0187,Sample0211,Sample0215,Sample0259,Sample0256,Sample0236,Sample0214,Sample0225,Sample0226,Sample0189,Sample0201
OTU_9,40,0,0,71,0,0,0,20,0,36,11,4,151,0,0,126,54,0,0,0,0,0,27,17,27,814,14,57,0,20,0,164,0,138,0,0,0,22,290,18,0,0,0,0,0,0,22,1,12,255,0,0,218,325,36,0,1043,0,0,235,68,47,0,26,15,68,22,15,49,91,0,27,31,0,17,0,0,384,61,34,0,110,0,0,1145,0,56,44,0,0,3,0,0,0,0,19561,0,0,18,9,0,0,0,20,0,0,4,0,18,0,1,0,0,40,9,9,29,33,0,2,2,2,0,0,137,2,0,13,0,3,7,8,1,0,0,9,52,1,5,0,0,4,0,3,17,2,1,3,0,16,4,42,19,3,18,0,3,0,3,937,0,0,25,6,0,25,4,2,7,0,8,3,12,0,0,10,0,0,0,0,6,1,0,0,6,3,2,6,5,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0
OTU_22,73,0,0,0,888,0,165,2128,405,0,21,150,676,643,101,10338,0,0,25,0,41,0,525,145,512,0,0,101,1312,0,0,141,345,0,0,60,42,0,383,0,23,0,1124,0,182,0,0,0,88,0,79,556,0,0,164,223,0,0,79,1822,0,0,519,178,0,0,0,0,172,0,7,0,0,0,180,0,0,10,0,0,0,36,229,0,0,0,257,8,0,0,0,3,0,0,0,0,1155,164,14,1,367,970,60,132,0,796,1074,207,403,5,28,240,608,1,94,2459,47,45,0,1793,364,0,247,314,0,168,0,188,726,24,486,440,53,44,809,351,2,113,0,125,42,512,8,120,23,3,5,1,211,1125,2099,3,19,7,1,21,11,63,6,274,19,54,0,3,40,951,314,0,0,173,0,181,3,601,468,237,0,0,7,47,20,12,272,4,167,4,52,71,11,47,0,105,0,4,11,43,8,0,107,0,0,0,0,0,0,0,0
OTU_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,96,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,469,0,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
OTU_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,29,0,0,2,0,0,4,0,0,0,0,0,87,0,0,8,224,0,15,0,64,0,10,1,1,0,3,2,0,0,0,0,0,28,0,0,0,8,0,0,0,0,0,2,0,5,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,6,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_4,555,64,1,38,395,838,127,95,774,0,1565,1446,4585,1287,0,1580,745,297,371,608,81,931,1040,366,2135,5916,539,918,476,711,130,2225,858,633,713,110,34,100,3282,234,1,103,1377,0,69,13,182,130,530,3163,589,532,1528,1275,351,0,616,189,292,1779,1270,1392,289,2194,145,998,33,1017,1057,820,149,81,274,470,381,174,648,262,223,10148,127,1099,308,16,658,81,0,272,18,0,123,205,58,28,0,2688,45,186,20,2,93,5,12,302,442,40,51,65,74,31,8,0,179,3073,28,196,177,57,131,104,107,20,150,1117,71,101,863,129,0,868,219,633,103,44,106,1513,55,68,29,373,57,65,610,161,373,75,230,42,37,29,113,139,324,43,139,128,55,8,84,0,34,7,312,123,24,661,42,101,46,35,97,190,48,39,33,85,320,0,17,13,298,18,78,267,59,138,43,36,1,5,0,37,0,52,28,63,165,0,0,0,0,0,0,0,0,0,0
OTU_12,0,0,0,0,47,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,12,2,5,0,90,2,7,0,5,0,0,0,3,0,0,6,0,0,0,12,0,2,0,3,0,0,0,15,0,0,0,20,2,1,13,52,0,9,0,17,0,0,0,0,1,0,0,0,0,7,0,0,38,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,18,0,0,0,168,0,0,0,0
OTU_6544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,12,0,0,0,0,0,0,0,0,0,1,36,0,73,0,0,0,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,10,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_5,585,291,0,444,1918,1841,34,0,4886,1,556,282,3100,2118,0,731,1,333,750,791,156,0,2376,1899,18898,858,770,778,2240,1719,1,198,1654,12,72,711,0,47,1794,14,37,1014,1294,610,2403,0,38,240,968,228,523,5019,236,0,2625,0,16,0,0,3355,269,81,1133,3013,51,91,320,214,1411,973,482,0,58,746,1568,5,0,0,155,1110,293,27,2763,2,58,192,579,123,205,0,29,87,0,7,2,918,1666,383,26,1,1527,70,510,51,0,1346,791,1005,846,28,30,796,1549,32,96,2285,219,382,537,1373,814,18,753,3410,0,176,0,748,998,52,1419,36,128,72,1391,111,1358,142,110,50,325,54,76,736,591,467,13,176,150,1627,896,1304,76,461,252,30,159,31,38,0,21,495,0,33,10,2001,1359,977,717,892,768,851,1638,1019,2239,799,0,0,410,393,1580,81,546,34,378,445,576,29,30,109,0,474,0,6,8,473,353,1,0,53,0,0,0,0,0,0,0
OTU_21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,0,0,2,0,0,1,0,0,1,0,4,1,0,28,0,22,0,2,0,1,0,13,0,3,0,5,0,0,0,0,0,0,0,10,5,0,12,29,0,2,0,11,0,5,0,0,1,1,0,0,58,0,0,0,19,0,1,3,0,0,4,845,0,0,4,0,0,10,0,4,6,0,4,0,0,0,0,0,0,0,4,0,2,6,0,3,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
