Origin	Management	Primary_guild_unique	Primary_guild_counts	Primary_guild_percent	Secondary_guild_unqiue	Secondary_guilds_counts	Secondary_guilds_percent	
leaf	Conventional	N/A	1066	38	N/A	1875	66	
leaf	Conventional	soil_saprotroph	132	5	animal_decomposer	24	1	
leaf	Conventional	animal_parasite	38	1	litter_saprotroph	359	13	
leaf	Conventional	plant_pathogen	543	19	epiphyte	11	0	
leaf	Conventional	unspecified_saprotroph	129	5	fungal_decomposer	34	1	
leaf	Conventional	mycoparasite	51	2	plant_pathogen	61	2	
leaf	Conventional	epiphyte	29	1	foliar_endophyte	290	10	
leaf	Conventional	litter_saprotroph	483	17	wood_saprotroph	84	3	
leaf	Conventional	wood_saprotroph	263	9	unsepcified_saprotroph	5	0	
leaf	Conventional	sooty_mold	2	0	root-associated	40	1	
leaf	Conventional	unspecified	3	0	animal_parasite	20	1	
leaf	Conventional	lichen_parasite	2	0	algal_parasite	4	0	
leaf	Conventional	dung_saprotroph	33	1	soil_saprotroph	9	0	
leaf	Conventional	foliar_endophyte	19	1	rock-inhabiting	12	0	
leaf	Conventional	ectomycorrhizal	11	0	root_endophyte	2	0	
leaf	Conventional	root_endophyte	4	0	nematophagous	1	0	
leaf	Conventional	arbuscular_mycorrhizal	22	1	dung_saprotroph	4	0	
leaf	Conventional	lichenized	3	0	coral-associated	1	0	
leaf	Conventional	nectar/tap_saprotroph	6	0	root_endophyte_dark_septate	8	0	
leaf	Conventional	unspecified_pathotroph	2	0	NA	NA	NA	
leaf	Conventional	pollen_saprotroph	2	0	NA	NA	NA	
leaf	Conventional	algal_parasite	1	0	NA	NA	NA	
leaf	No-Till	N/A	1090	37	N/A	1916	66	
leaf	No-Till	soil_saprotroph	135	5	animal_decomposer	28	1	
leaf	No-Till	animal_parasite	42	1	litter_saprotroph	358	12	
leaf	No-Till	plant_pathogen	569	20	epiphyte	18	1	
leaf	No-Till	unspecified_saprotroph	145	5	fungal_decomposer	40	1	
leaf	No-Till	mycoparasite	53	2	plant_pathogen	57	2	
leaf	No-Till	epiphyte	29	1	foliar_endophyte	282	10	
leaf	No-Till	litter_saprotroph	484	17	wood_saprotroph	90	3	
leaf	No-Till	wood_saprotroph	265	9	unsepcified_saprotroph	7	0	
leaf	No-Till	sooty_mold	2	0	root-associated	45	2	
leaf	No-Till	lichen_parasite	5	0	animal_parasite	21	1	
leaf	No-Till	dung_saprotroph	25	1	dung_saprotroph	9	0	
leaf	No-Till	foliar_endophyte	18	1	algal_parasite	4	0	
leaf	No-Till	ectomycorrhizal	7	0	soil_saprotroph	10	0	
leaf	No-Till	root_endophyte	5	0	rock-inhabiting	13	0	
leaf	No-Till	arbuscular_mycorrhizal	24	1	root_endophyte	3	0	
leaf	No-Till	lichenized	4	0	nematophagous	1	0	
leaf	No-Till	unspecified	2	0	coral-associated	1	0	
leaf	No-Till	pollen_saprotroph	3	0	root_endophyte_dark_septate	9	0	
leaf	No-Till	nectar/tap_saprotroph	7	0	sooty_mold	1	0	
leaf	No-Till	unspecified_pathotroph	1	0	ericoid_mycorrhizal	1	0	
