"","Sample0696","Sample0697","Sample0653","Sample0698","Sample0660","Sample0621","Sample0623","Sample0622","Sample0701","Sample0690","Sample0654","Sample0659","Sample0619","Sample0658","Sample0692","Sample0655","Sample0663","Sample0620","Sample0695","Sample0661","Sample0628","Sample0626","Sample0617","Sample0657","Sample0694","Sample0693","Sample0689","Sample0625","Sample0627","Sample0656","Sample0691","Sample0624","Sample0664","Sample0699","Sample0618","Sample0662","Sample0107","Sample0023","Sample0014","Sample0100","Sample0052","Sample0025","Sample0056","Sample0018","Sample0016","Sample0022","Sample0063","Sample0105","Sample0060","Sample0015","Sample0062","Sample0017","Sample0053","Sample0024","Sample0059","Sample0057","Sample0103","Sample0097","Sample0019","Sample0099","Sample0108","Sample0020","Sample0054","Sample0098","Sample0021","Sample0102","Sample0101","Sample0104","Sample0106","Sample0055","Sample0061","Sample0058"
"OTU_9",163,3,324,0,0,196,10,63,11,0,136,10,2,6,1,1,9,9,11,47,0,0,0,40,29,0,27,0,0,0,0,41,18,0,0,133,0,0,3,7,0,0,0,0,20,0,0,0,0,3,0,0,0,0,14,0,1,0,0,10,16,0,0,26,0,12,44,0,22,0,0,0
"OTU_22",0,144,1201,419,477,18,3697,12,2,211,60,3336,1176,7082,117,11317,2877,1,4927,7,8,907,15,43,31,0,159,14,450,1,1,0,7,0,313,0,11,0,108,1279,7,0,194,38,507,31,79,92,368,64,6,63,0,10,17,409,145,48,0,58,1,78,0,62,25,63,133,15,26,0,0,0
"OTU_72",0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,16,0,2,5,0,0,0,0,0
"OTU_13",0,0,0,0,2,0,0,0,3,0,0,88,0,33,13,0,0,45,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,1,0,0,13,0,2,0,11,0,0,44,0,8,8,0,1,10,1,0,1,0,6,20,0,9,0,0,0
"OTU_4",4202,444,2310,320,464,1605,1335,5215,384,189,62,40,14,3502,1499,4992,3254,131,273,193,92,151,203,326,63,153,1993,394,11,35,26,63,55,2,181,191,15,0,48,29,0,0,15,0,73,8,78,16,14,103,64,8,7,11,54,0,0,7,0,21,105,0,0,96,1,61,204,11,236,0,0,28
"OTU_12",0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,10,14,1,0,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,3,0,2,12,0,0,11,0,2,23,1,13,0,0,1
"OTU_6544",0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,28,0,0,0,0,0
"OTU_1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTU_5",2125,22,25,674,5,315,1563,0,20,1048,31,118,544,11600,322,7030,5047,11,57,43,1,505,12,118,0,90,29,95,63,9,47,251,0,20,1358,45,20,0,30,24,20,0,0,0,4,0,20,130,1,24,0,0,14,2,22,0,0,38,0,30,81,4,0,70,6,39,157,5,122,0,0,3
"OTU_21",0,2,0,0,0,0,0,0,2,0,0,6,3,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,31,11,2,0,3,0,59,0,0,3,0,28,9,0,0,0,0,0,0,0,0,8,8,0,0,15,0,27,43,0,79,0,0,73
"OTU_17",0,0,0,0,1,0,38,0,0,0,0,2,91,30,0,46,4,0,0,0,1,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,2,0,14,0,0,2,0,0,117,0,0,2,1,2,0,0,0,0,0,0,0,14,0,0,57,0,0,1,0,16,44,0,0,15,0,4
"OTU_23",0,76,0,0,0,0,8,12,23,0,43,17,7,4,3,0,0,25,0,94,16,0,0,15,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0
"OTU_36",344,0,0,0,2,1240,10,0,0,0,0,11,0,29,0,0,0,5,0,0,0,17,0,26,35,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0
"OTU_32",0,0,0,0,5,0,0,0,11,0,0,5,7,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,5,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,2,0,4,1,0,0,53,0,15,23,2,14,0,0,2
"OTU_10",2,106,1294,226,0,128,53,140,0,0,64,0,18,62,118,1146,39,0,30,550,1,0,0,226,0,85,3,0,0,32,4,7,0,0,0,102,3,0,37,22,0,0,2,0,41,0,0,5,0,33,0,0,0,0,162,0,0,2,0,19,0,0,0,27,0,26,83,3,107,0,1,0
"OTU_20",12,0,0,0,0,0,5,16,0,0,0,34,23,78,22,589,0,22,0,0,0,0,27,0,0,0,0,0,2,1,0,0,53,0,0,0,1,0,22,1,0,0,1,0,32,0,74,0,0,5,0,0,4,10,135,0,0,0,0,3,52,0,0,9,0,8,31,0,9,0,0,0
"OTU_2",1748,576,201,3492,397,70,2271,1484,883,166,649,431,148,2115,1299,3261,3406,775,78,395,369,418,511,2554,80,7,627,501,59,10,55,80,0,10,127,496,70,0,61,105,9,30,13,0,52,32,187,49,57,92,31,22,29,5,236,0,120,192,8,45,83,0,3,59,21,105,268,71,297,10,88,40
"OTU_85",0,3,8,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0
"OTU_18",674,383,319,145,247,267,615,1235,647,157,412,273,112,1368,4776,104,290,147,21,11,388,96,1671,2614,12,134,587,251,56,153,13,113,31,0,22,30,25,0,51,54,40,69,79,0,107,74,534,79,13,16,26,69,163,2,17,114,0,127,0,45,70,0,0,96,28,48,252,10,259,21,0,10
"OTU_2407",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,0,0,1,0,0,0,0,1,0,7,0,0,0,0,43,0,1,0,0,1,3,0,0,1,0,5,6,0,14,0,2,0
"OTU_133",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,35,0,0,0
"OTU_95",3,0,0,0,132,0,0,0,4,0,0,0,0,1,420,0,0,15,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,10,0,0,20,0,0,0,0,1,0,15,0,0,0,0,2,0,0,1,43,0,0,15,0,3,9,3,2,0,0,1
"OTU_65",22,0,0,0,4,0,0,0,0,0,35,0,3,0,0,0,0,7,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1348,0,0,1,0,0,0,0,56,0,0,4,0,0,1,0,0,6,0,4,5,0,0,0,0,0
"OTU_4096",0,2,0,0,0,0,0,0,69,0,0,0,0,436,0,0,0,0,0,0,0,0,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,1
"OTU_15",69,0,0,0,0,0,0,0,8,0,10,143,44,0,6,0,0,0,0,0,0,0,0,12,0,0,0,43,2,0,30,0,0,0,0,0,0,0,4,10,0,0,0,0,2,0,1,0,0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,12,48,1,51,0,0,0
"OTU_45",82,101,0,0,38,0,0,0,56,0,0,0,35,1,14,0,0,0,0,0,2,0,153,52,4,14,131,55,0,0,0,0,0,0,0,0,2,0,6,5,0,0,0,0,0,0,0,13,0,8,0,0,8,0,0,0,0,2,0,0,0,0,0,9,0,3,3,0,28,0,0,0
"OTU_48",0,0,8,0,0,0,2,0,3,0,1,0,0,0,0,4,0,1,0,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,14,19,9,0,0,0,0,0,0,0,0,0,4,1,0,0,6,0,3,21,0,25,0,0,3
"OTU_3259",0,0,14,0,38,0,0,0,1,0,0,0,0,0,0,169,0,8,0,0,6,0,13,177,0,0,0,0,0,0,0,0,0,0,53,34,21,0,14,53,0,0,8,0,5,0,1,12,0,45,0,0,0,0,937,0,39,9,0,12,51,0,0,42,0,26,151,2,108,0,56,24
"OTU_176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_59",0,0,226,655,60,0,1543,56,103,17,0,109,46,8730,1258,2791,1186,82,7,5,256,3,21,0,4,0,43,54,14,0,0,0,0,0,5,0,4,0,12,3,0,0,0,0,0,6,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,44,21,27,0,0,0
