"","Sample0636","Sample0637","Sample0673","Sample0670","Sample0709","Sample0630","Sample0632","Sample0640","Sample0671","Sample0676","Sample0710","Sample0668","Sample0674","Sample0669","Sample0665","Sample0672","Sample0639","Sample0666","Sample0629","Sample0638","Sample0633","Sample0635","Sample0702","Sample0675","Sample0631","Sample0667","Sample0634","Sample0711","Sample0036","Sample0038","Sample0075","Sample0122","Sample0123","Sample0027","Sample0120","Sample0070","Sample0026","Sample0121","Sample0116","Sample0028","Sample0034","Sample0033","Sample0111","Sample0113","Sample0117","Sample0035","Sample0069","Sample0037","Sample0118","Sample0115","Sample0073","Sample0066","Sample0030","Sample0068","Sample0067","Sample0032","Sample0114","Sample0071","Sample0065","Sample0031","Sample0119","Sample0072","Sample0064","Sample0074"
"OTU_9",0,16,12,211,4,252,0,0,27,15,52449,0,0,290,3,2,79,1,0,325,19,0,15,0,0,6,0,31,11,0,0,19,1,0,0,0,3,2,24,0,295,0,0,0,55,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_22",23,14,2,49,275,16,0,1829,1233,545,0,569,503,0,289,9,403,1246,2245,57,0,197,65,140,1171,659,18,16,630,151,511,3,148,329,348,834,522,154,561,113,135,404,267,43,45,2151,688,1852,10,562,944,232,108,105,8,929,215,208,207,0,28,0,4,0
"OTU_72",0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,26,0,121,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_13",0,0,3,0,51,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,15,0,0,22,0,19,0,0,1,0,0,51,0,0,0,0,0,2,41,0,110,0,0,0,27,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_4",1,124,4068,576,29,247,53,0,1895,97,7201,23,217,568,1440,151,1603,276,197,1553,1132,1,3,0,1352,12,0,7,188,113,7,35,23,0,3,8,201,39,101,0,4053,0,16,50,269,21,0,2076,97,6,254,0,1,65,5,0,5,43,1,0,1,0,18,0
"OTU_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,2,0,0,0,0,1,232,1,212,10,0,0,24,7,0,0,10,0,1,0,0,0,0,0,1,14,0,0,0,0,12,0
"OTU_6544",0,0,5,42,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5",1,1139,9,47,657,44,51,564,3167,35,2091,8,1537,85,145,0,3314,259,2544,0,5,10,25,0,294,88,201,0,154,1496,268,46,206,41,21,37,148,236,123,33,92,26,39,265,140,89,135,69,39,383,2564,0,22,675,241,33,13,62,131,0,0,16,0,0
"OTU_21",0,0,0,32,5,0,0,0,1,0,75,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,12,2,0,0,0,1,0,167,0,577,0,0,0,78,0,0,0,45,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"OTU_291",0,0,0,0,0,13,0,0,0,0,31,0,0,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_17",0,0,0,0,21,0,0,0,0,7,0,0,0,0,13,0,8,0,0,0,0,2,0,0,0,5,0,0,34,1,0,14,0,0,0,0,0,1,2,0,241,20,0,0,48,37,0,0,50,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0
"OTU_23",1,0,14,34,0,58,0,0,0,0,0,9,0,32,26,14,0,0,0,49,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_36",0,0,42,0,0,78,0,0,0,0,174,0,0,246,37,28,0,0,3,0,0,0,0,0,0,71,39,0,17,0,0,2,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
"OTU_32",1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,1,38,0,1073,1,0,10,35,0,0,1,32,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
"OTU_10",0,0,4,356,1,0,0,0,739,10,3302,0,0,114,145,0,1022,0,5,358,7,0,73,58,0,1,0,3,70,1,0,31,3,0,0,0,3,2,12,0,825,28,0,2,89,1,0,0,29,1,0,0,0,0,14,8,3,1,0,0,0,0,0,0
"OTU_20",0,0,64,0,0,31,0,0,0,0,0,2,0,20,39,0,7,0,0,17,7,0,0,0,0,13,0,0,1,0,0,40,0,0,1,0,0,0,4,0,57,0,0,6,68,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_2",35,2,1538,1676,212,1865,168,52,2705,267,4944,213,283,1057,1874,134,1594,46,80,1591,1317,17,37,137,1134,309,123,6,84,41,23,47,41,0,21,0,36,28,227,1,3103,295,66,50,356,60,12,1132,118,35,8,222,10,13,5,2,8,190,1,2,1,13,23,0
"OTU_85",0,0,0,15,0,36,0,0,0,0,105,0,0,32,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"OTU_18",14,0,7975,739,81,314,15,338,1468,782,77,114,210,283,4954,193,183,8,517,377,1772,4,13,0,22,88,113,2,83,0,0,79,43,0,14,0,39,52,5,0,190,11,7,54,267,0,0,32,93,44,25,0,0,108,23,17,2,1,0,8,0,35,0,0
"OTU_2407",0,0,0,5,0,0,0,0,5,0,46,0,0,0,0,0,10,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,5,0,109,0,0,2,26,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
"OTU_133",0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_95",2,0,11,0,0,0,0,0,0,0,0,26,142,0,13,0,0,18,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,24,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_65",0,0,1,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,102,0,0,0,9,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_4096",0,0,0,0,0,149,0,0,14,24,77,0,0,0,24,0,12,0,0,25,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_15",1,0,1,0,4,0,0,0,0,0,48,1,11,0,0,0,0,0,0,29,0,1,0,16,0,180,0,0,8,0,14,5,2,0,0,0,7,0,117,0,397,0,0,0,61,0,0,0,9,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"OTU_45",3,0,15,12,0,12,0,0,0,0,0,25,11,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,31,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_48",0,0,0,0,0,0,0,0,7,2,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,38,0,0,3,22,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,9,0
"OTU_3259",1,0,41,268,1,0,0,0,125,5,1068,0,0,0,13,0,385,0,0,10,25,0,0,0,0,26,0,0,88,0,0,27,3,0,0,0,0,13,14,31,1250,0,0,23,170,1,0,0,53,3,0,0,0,0,4,0,2,0,0,0,0,15,0,0
"OTU_176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_59",0,0,2,29,43,0,39,0,40,120,0,75,863,14,5,0,122,156,9,0,23,0,94,0,92,0,5,0,17,131,53,4,52,0,70,25,198,30,217,6,0,133,3,0,3,185,60,0,8,14,24,0,39,561,15,8,11,0,0,0,0,0,0,0
"OTU_4607",0,0,2,0,0,0,0,0,97,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,105,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_6277",0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_104",0,0,6,15,0,24,0,0,0,0,96,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_89",0,0,2,0,0,12,0,0,0,0,151,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,26,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,88,0,134,1,0,5,0,0,0,0,3,0,0,0,5,0,9,0,1,0,6,0,0,0,1,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0
"OTU_55",0,0,0,17,0,3,0,0,0,0,24,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_389",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,28,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,35,0,134,23,5,20,1,100,0,25,11,0,133,0,70,67,27,0,59,0,24,60,41,67,9,154,54,0,11,78,0,0,0,0,0,0
"OTU_54",0,0,0,0,11,0,0,0,0,0,32,0,29,44,15,0,0,0,0,0,0,0,0,0,0,18,16,0,0,16,0,0,0,0,1,0,37,10,0,0,13,0,0,26,19,0,0,30,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_401",0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_164",0,0,0,7,0,8,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_120",0,0,13,8,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_673",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,86,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_130",0,0,0,0,0,0,7,0,0,0,46,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,8,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_464",0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_174",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_75",0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,114,0,0,0,24,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11",18450,5,1539,110,92,21,393,25,5093,102,68,48,1114,570,4103,6432,774,79,92,3,2337,18,16,0,231,326,118,3,130,216,211,19,77,42,78,208,415,62,457,0,72,374,17,146,91,194,132,42,24,64,1146,78,93,672,49,19,8,44,175,0,0,0,0,0
"OTU_377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,116,0,0,0,0,0,0,0,5,0,20,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1",18660,3467,59647,40297,39931,57546,7620,42893,108272,49707,5,10407,16470,54116,83998,39011,10435,22862,32388,35028,27626,1829,3304,4085,7980,3981,3687,245,21560,7372,12851,186,8597,2719,3368,8233,16335,4317,5220,510,1054,15480,3835,333,1134,12480,9456,2554,155,6737,20195,4107,1463,12250,2230,1245,2430,3436,1657,43,87,0,27,0
"OTU_189",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_199",0,0,0,22,0,196,0,0,0,0,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_19",0,0,1,1,0,2,0,0,5,22,694,0,0,2,2,0,5,0,11,31,0,0,0,0,8,0,0,0,30,0,0,17,2,0,0,0,0,0,6,0,76,0,0,0,22,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_239",0,0,0,6,0,32,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_203",0,0,0,28,0,5,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
