OTU,Genus,PRIMARY TROPHIC GUILD
OTU_9,#N/A,#N/A
OTU_72,Vishniacozyma,soil_saprotroph
OTU_13,Hannaella,animal_parasite
OTU_4,Alternaria,plant_pathogen
OTU_12,Tilletiopsis,plant_pathogen
OTU_6544,Hannaella,animal_parasite
OTU_1060,#N/A,#N/A
OTU_5,Didymella,plant_pathogen
OTU_21,Bullera,unspecified_saprotroph
OTU_291,Vishniacozyma,soil_saprotroph
OTU_17,Hannaella,animal_parasite
OTU_23,Papiliotrema,mycoparasite
OTU_36,Neoascochyta,plant_pathogen
OTU_32,Symmetrospora,epiphyte
OTU_10,#N/A,#N/A
OTU_20,Hannaella,animal_parasite
OTU_2,Cladosporium,litter_saprotroph
OTU_85,#N/A,#N/A
OTU_18,#N/A,#N/A
OTU_2407,#N/A,#N/A
OTU_133,Dioszegia,litter_saprotroph
OTU_95,Ophiosphaerella,plant_pathogen
OTU_65,Hannaella,animal_parasite
OTU_4096,Neosetophoma,litter_saprotroph
OTU_15,#N/A,#N/A
OTU_45,Keissleriella,wood_saprotroph
OTU_48,Coniothyrium,plant_pathogen
OTU_3259,#N/A,#N/A
OTU_176,Vishniacozyma,soil_saprotroph
OTU_59,#N/A,#N/A
OTU_4607,Coniothyrium,plant_pathogen
OTU_6277,#N/A,#N/A
OTU_104,Septoriella,litter_saprotroph
OTU_89,#N/A,#N/A
OTU_223,Epicoccum,plant_pathogen
OTU_4383,#N/A,#N/A
OTU_55,Vishniacozyma,soil_saprotroph
OTU_389,Papiliotrema,mycoparasite
OTU_419,Edenia,plant_pathogen
OTU_35,#N/A,#N/A
OTU_54,#N/A,#N/A
OTU_401,Vishniacozyma,soil_saprotroph
OTU_164,Symmetrospora,epiphyte
OTU_120,Neoascochyta,plant_pathogen
OTU_673,Tilletiopsis,plant_pathogen
OTU_510,Rhodotorula,unspecified_saprotroph
OTU_130,Symmetrospora,epiphyte
OTU_464,Stemphylium,plant_pathogen
OTU_174,Vishniacozyma,soil_saprotroph
OTU_75,Dioszegia,litter_saprotroph
OTU_11,Fusarium,plant_pathogen
OTU_377,Kiflimonium,soil_saprotroph
OTU_1,Fusarium,plant_pathogen
OTU_189,Saitozyma,soil_saprotroph
OTU_199,Cystofilobasidium,litter_saprotroph
OTU_19,Neosetophoma,litter_saprotroph
OTU_239,Vishniacozyma,soil_saprotroph
OTU_203,Vishniacozyma,soil_saprotroph
OTU_924,Cystobasidium,mycoparasite
OTU_115,Ophiosphaerella,plant_pathogen
OTU_258,Vishniacozyma,soil_saprotroph
OTU_454,Paraphoma,plant_pathogen
OTU_128,Leptospora,litter_saprotroph
OTU_82,Tricellula,litter_saprotroph
OTU_52,#N/A,#N/A
OTU_482,Dioszegia,litter_saprotroph
OTU_1659,#N/A,#N/A
OTU_7,#N/A,#N/A
OTU_169,Sporobolomyces,mycoparasite
OTU_826,Hansfordia,unspecified_saprotroph
OTU_403,Dioszegia,litter_saprotroph
OTU_14,#N/A,#N/A
OTU_256,Vishniacozyma,soil_saprotroph
OTU_173,Microdochium,plant_pathogen
OTU_131,Leptospora,litter_saprotroph
OTU_373,Setophoma,plant_pathogen
OTU_5156,Phaeosphaeria,litter_saprotroph
OTU_195,#N/A,#N/A
OTU_262,Phaeosphaeriopsis,plant_pathogen
OTU_497,#N/A,#N/A
OTU_7036,#N/A,#N/A
OTU_49,Paraphoma,plant_pathogen
OTU_387,Stagonosporopsis,plant_pathogen
OTU_411,Oomyces,litter_saprotroph
OTU_669,#N/A,#N/A
OTU_4175,#N/A,#N/A
OTU_592,#N/A,#N/A
OTU_995,Exidia,wood_saprotroph
OTU_142,Bulleribasidium,unspecified_saprotroph
OTU_34,Fusarium,plant_pathogen
OTU_78,Zymoseptoria,plant_pathogen
OTU_437,Taphrina,plant_pathogen
OTU_467,Leptospora,litter_saprotroph
OTU_516,Curvularia,plant_pathogen
OTU_1048,Filobasidium,unspecified_saprotroph
OTU_182,Rhodotorula,unspecified_saprotroph
OTU_117,Paraphoma,plant_pathogen
OTU_300,#N/A,#N/A
OTU_250,Neodevriesia,plant_pathogen
OTU_28,Neosetophoma,litter_saprotroph
OTU_147,Papiliotrema,mycoparasite
OTU_46,Herpotrichia,plant_pathogen
OTU_67,#N/A,#N/A
OTU_379,Filobasidium,unspecified_saprotroph
OTU_360,Dioszegia,litter_saprotroph
OTU_119,Paraophiobolus,litter_saprotroph
OTU_200,Sporobolomyces,mycoparasite
OTU_910,Exidia,wood_saprotroph
OTU_98,Phaeosphaeria,litter_saprotroph
OTU_66,#N/A,#N/A
OTU_5034,#N/A,#N/A
OTU_589,Papiliotrema,mycoparasite
OTU_6205,Paraphoma,plant_pathogen
OTU_926,Phaeodactylium,plant_pathogen
OTU_1621,Taphrina,plant_pathogen
OTU_323,Piniphoma,wood_saprotroph
OTU_570,Wojnowiciella,litter_saprotroph
OTU_1587,#N/A,#N/A
OTU_399,Cladosporium,litter_saprotroph
OTU_69,Neosetophoma,litter_saprotroph
OTU_7408,#N/A,#N/A
OTU_367,#N/A,#N/A
OTU_125,Aureobasidium,sooty_mold
OTU_505,#N/A,#N/A
OTU_152,Tausonia,soil_saprotroph
OTU_6865,#N/A,#N/A
OTU_325,Zymoseptoria,plant_pathogen
OTU_51,#N/A,#N/A
OTU_63,Sarocladium,plant_pathogen
OTU_7152,#N/A,#N/A
OTU_224,Filobasidium,unspecified_saprotroph
OTU_7605,Bulleribasidium,unspecified_saprotroph
OTU_70,Striaticonidium,soil_saprotroph
OTU_783,#N/A,#N/A
OTU_764,#N/A,#N/A
OTU_4727,Neosetophoma,litter_saprotroph
OTU_791,Angustimassarina,mycoparasite
OTU_3073,Xenoramularia,plant_pathogen
OTU_257,Filobasidium,unspecified_saprotroph
OTU_335,Dioszegia,litter_saprotroph
OTU_140,Sporobolomyces,mycoparasite
OTU_649,Leucosporidium,soil_saprotroph
OTU_762,Pyricularia,plant_pathogen
OTU_935,Paraphoma,plant_pathogen
OTU_25,Plectosphaerella,plant_pathogen
OTU_1534,#N/A,#N/A
OTU_88,#N/A,#N/A
OTU_2151,Tilletiopsis,plant_pathogen
OTU_269,#N/A,#N/A
OTU_743,Paraphaeosphaeria,wood_saprotroph
OTU_611,Dioszegia,litter_saprotroph
OTU_1021,#N/A,#N/A
OTU_1227,#N/A,#N/A
OTU_211,Mortierella,soil_saprotroph
OTU_101,Sistotrema,litter_saprotroph
OTU_5821,#N/A,#N/A
OTU_175,Septoriella,litter_saprotroph
OTU_940,Zymoseptoria,plant_pathogen
OTU_1745,Tilletiopsis,plant_pathogen
OTU_6818,Stagonosporopsis,plant_pathogen
OTU_307,#N/A,#N/A
OTU_364,Microdochium,plant_pathogen
OTU_4010,Teunia,soil_saprotroph
OTU_406,#N/A,#N/A
OTU_251,Paradevriesia,0
OTU_734,Papiliotrema,mycoparasite
OTU_4458,#N/A,#N/A
OTU_4112,#N/A,#N/A
OTU_96,Bipolaris,plant_pathogen
OTU_219,#N/A,#N/A
OTU_661,#N/A,#N/A
OTU_38,#N/A,#N/A
OTU_1010,Fusarium,plant_pathogen
OTU_1863,Ramularia,plant_pathogen
OTU_186,Occultifur,mycoparasite
OTU_1163,Cladosporium,litter_saprotroph
OTU_501,Phaeosphaeria,litter_saprotroph
OTU_2009,Xenosonderhenia,litter_saprotroph
OTU_47,#N/A,#N/A
OTU_2016,#N/A,#N/A
OTU_1564,Nigrospora,litter_saprotroph
OTU_885,#N/A,#N/A
OTU_166,#N/A,#N/A
OTU_3346,Yunzhangia,unspecified
OTU_3930,Monochaetia,plant_pathogen
OTU_178,#N/A,#N/A
OTU_138,Paraphoma,plant_pathogen
OTU_6,#N/A,#N/A
OTU_535,Arizonaphlyctis,soil_saprotroph
OTU_474,#N/A,#N/A
OTU_368,Leptospora,litter_saprotroph
OTU_383,Alternaria,plant_pathogen
OTU_435,Pyrenophora,plant_pathogen
OTU_3487,#N/A,#N/A
OTU_37,#N/A,#N/A
OTU_126,#N/A,#N/A
OTU_1040,Hannaella,animal_parasite
OTU_985,Galiicola,litter_saprotroph
OTU_5630,Tilletiopsis,plant_pathogen
OTU_5078,#N/A,#N/A
OTU_945,Neosetophoma,litter_saprotroph
OTU_496,Tilletia,plant_pathogen
OTU_493,#N/A,#N/A
OTU_912,#N/A,#N/A
OTU_132,Colletotrichum,plant_pathogen
OTU_1499,Blumeria,plant_pathogen
OTU_108,Minimedusa,lichen_parasite
