"","Sample0538","Sample0541","Sample0570","Sample0530","Sample0571","Sample0532","Sample0496","Sample0504","Sample0499","Sample0502","Sample0536","Sample0534","Sample0575","Sample0537","Sample0501","Sample0503","Sample0577","Sample0533","Sample0497","Sample0494","Sample0566","Sample0500","Sample0535","Sample0531","Sample0567","Sample0569","Sample0495","Sample0573","Sample0576","Sample0505","Sample0498","Sample0540","Sample0574","Sample0568","Sample0539","Sample0572","Sample0133","Sample0136","Sample0135","Sample0141","Sample0132","Sample0139","Sample0131","Sample0140","Sample0130","Sample0138","Sample0137","Sample0134","Sample0278","Sample0307","Sample0310","Sample0266","Sample0273","Sample0268","Sample0270","Sample0269","Sample0313","Sample0316","Sample0308","Sample0309","Sample0305","Sample0271","Sample0277","Sample0315","Sample0274","Sample0272","Sample0280","Sample0312","Sample0306","Sample0276","Sample0314","Sample0311"
"OTU_9",1268,254,631,1094,563,324,1168,1342,345,59659,1744,8977,3233,842,305,3166,201,278,1421,8945,12225,248,5311,1026,4065,689,5237,576,495,648,966,215,3784,417,590,683,259,499,113,118,134,173,218,196,63,239,91,154,1818,267,524,915,1000,932,1110,866,452,506,869,377,791,1448,2056,338,643,819,859,374,0,1635,205,0
"OTU_72",189,173,235,1059,25,17,137,37,0,97,16,41,376,113,285,66,0,10,243,389,179,26,176,18,109,477,160,721,22,30,809,10,167,0,17,1,29,192,136,77,0,103,0,15,0,103,9,66,45,12,0,53,0,0,113,580,0,155,43,9,182,151,168,3289,0,72,982,0,0,17,10,0
"OTU_13",6738,420,205,326,6,684,1,4,16,0,18,94,0,388,761,1,17,589,27,0,0,7850,0,2081,0,907,0,3759,0,0,514,853,0,0,1860,830,3990,6706,1084,2979,228,1382,907,173,576,193,5134,786,0,30,1554,0,0,0,0,26,223,1352,91,99,0,0,16,57,0,0,71,29,0,0,265,0
"OTU_4",10799,1900,6036,13086,3879,4195,4572,3764,4625,7086,9225,10940,3857,5828,2077,18946,2468,1351,4601,6125,13717,3587,12105,6015,3296,5322,9633,3483,2514,5174,8371,4989,2737,3232,4451,4611,4718,19649,5800,4737,4740,5776,4671,6503,2370,18611,20624,2805,923,1485,3053,2887,788,1710,1380,2608,923,1676,1650,1424,1890,3123,832,1961,1663,1280,2726,1664,0,948,2421,0
"OTU_12",2045,13571,1879,2411,1639,8525,46,26,2057,6,109,2,2,1346,14827,0,380,12163,1317,15,1,7303,1,6010,0,1468,2,21150,45,771,1793,4144,0,33,4143,6722,3554,6427,5475,9224,3131,4813,1623,8254,991,1741,4123,4124,203,426,1043,144,139,238,86,68,929,1310,443,397,1027,114,145,403,113,155,157,540,0,282,315,0
"OTU_6544",0,10,19,20,0,488,0,0,0,0,0,0,0,75,41,0,0,9,3,0,2,0,0,0,12,404,0,1,0,19,173,56,0,0,0,11,77,36,355,17,20,3071,38,115,0,1,5,156,0,39,30,0,0,13,312,0,19,0,24,100,0,0,260,168,14,0,2,0,0,24,71,0
"OTU_1060",0,22,0,48,0,5,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,8,0,2,0,0,0,0,0,0,11,22,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,0,0,0,42,0,0,0,0,0
"OTU_5",719,147,225,3332,14300,2555,4109,22696,24404,10738,6506,6360,1277,2029,497,545,3827,256,14458,33949,8106,2124,3073,3040,777,19006,836,402,7610,12557,321,1309,6026,9006,4595,368,79,513,357,696,728,659,251,231,418,502,124,19,1351,342,128,2005,406,1773,587,362,268,141,386,620,275,766,300,453,759,222,0,139,0,2102,608,0
"OTU_21",48,1287,605,686,619,1367,7,21,379,55,74,207,7,349,2572,63,82,310,210,45,85,1926,25,333,33,642,59,2456,0,31,735,727,14,17,349,408,814,5100,1241,4855,1832,2039,1125,710,221,4149,2709,516,250,174,399,254,178,155,1062,80,431,493,1069,403,368,230,954,447,210,1489,272,481,0,192,472,0
"OTU_291",0,0,0,45,0,9,4,5,0,176,0,13,16,0,45,27,0,0,0,65,149,28,20,23,16,0,86,28,0,40,100,3,33,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,28,16,0
