"","Sample0759","Sample0720","Sample0760","Sample0761","Sample0793","Sample0718","Sample0758","Sample0753","Sample0796","Sample0727","Sample0795","Sample0717","Sample0726","Sample0752","Sample0755","Sample0754","Sample0792","Sample0721","Sample0788","Sample0757","Sample0789","Sample0791","Sample0797","Sample0762","Sample0790","Sample0756","Sample0719","Sample0763","Sample0794","Sample0723","Sample0725","Sample0799","Sample0798","Sample0716","Sample0722","Sample0724","Sample0229","Sample0142","Sample0148","Sample0235","Sample0233","Sample0231","Sample0154","Sample0149","Sample0190","Sample0146","Sample0230","Sample0152","Sample0188","Sample0145","Sample0186","Sample0232","Sample0192","Sample0191","Sample0181","Sample0153","Sample0227","Sample0182","Sample0184","Sample0185","Sample0183","Sample0147","Sample0150","Sample0234","Sample0156","Sample0228","Sample0144","Sample0187","Sample0236","Sample0225","Sample0226","Sample0189"
"OTU_9",40,0,71,0,0,151,126,17,814,20,0,138,290,18,0,0,1,0,218,325,68,47,15,22,49,91,0,27,0,0,0,61,34,0,56,0,0,29,33,0,0,13,52,17,2,3,0,42,3,18,3,0,2,7,8,12,0,0,0,6,6,3,2,0,0,0,0,0,0,0,0,0
"OTU_22",73,0,0,888,405,676,10338,145,0,0,0,0,383,0,23,0,0,556,0,0,0,0,0,0,172,0,7,0,0,0,0,0,0,0,257,3,60,47,45,0,0,188,2,23,3,1,211,3,7,1,11,54,0,0,0,3,0,7,47,20,167,4,52,0,105,0,43,8,0,0,0,0
"OTU_72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,1,0,0
"OTU_13",0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,5,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_4",555,1,38,395,774,4585,1580,366,5916,711,130,633,3282,234,1,103,130,532,1528,1275,1270,1392,145,33,1057,820,149,81,470,174,648,223,10148,81,0,205,12,177,57,131,863,129,55,373,75,42,37,139,43,139,55,7,101,46,97,48,0,17,13,298,59,138,43,0,37,0,63,165,0,0,0,0
"OTU_12",0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_6544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,0,0,0,0,0,2,2,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_5",585,0,444,1918,4886,3100,731,1899,858,1719,1,12,1794,14,37,1014,240,5019,236,0,269,81,51,320,1411,973,482,0,746,5,0,155,1110,192,579,87,510,219,382,537,0,748,1358,591,467,176,150,1304,461,252,159,495,977,717,768,1638,0,410,393,1580,378,445,576,0,474,0,473,353,0,0,0,0
"OTU_21",0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,58,0,0,1,0,0,4,6,4,0,0,4,0,2,2,0,2,0,0,0,0,0,0,0,0,0
"OTU_291",0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_17",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,95,0,0,0,0,0,0,0,37,0,0,0,0,189,0,0,0,0,0,0,0,31,0,0,258,0,104,0,0,3,0,0,1,0,2,0,16,0,7,0,0,0,0,0,2,0,3,3,0,0,0,0,6,0,0,0,0
"OTU_23",0,0,0,0,0,0,0,0,33,0,0,20,0,0,0,0,0,0,63,0,13,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,4,0,1,0,0,0,0,0,0,26,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_36",0,0,0,0,0,0,0,0,360,0,0,0,0,22,0,619,0,0,88,0,22,0,0,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"OTU_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,0,0,1,0,0,0,1,0,0,0,0,0
"OTU_10",522,0,803,13,0,642,263,116,3391,134,0,308,868,35,67,274,0,0,1443,303,1449,0,0,14,0,880,224,164,316,0,287,28,227,38,0,88,0,2,20,0,0,0,16,3,1,1,0,13,3,28,33,0,13,9,4,1,0,11,11,46,0,20,0,0,0,0,6,21,0,0,0,0
"OTU_20",0,0,0,0,0,0,0,0,12,0,0,35,0,0,0,0,0,0,0,83,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,79,17,5,30,0,0,4,11,187,5,2,0,0,0,0,0,22,0,0,0,0
"OTU_2",262,387,1771,542,920,2401,356,533,4736,270,649,1502,2426,926,8744,1598,187,366,651,1596,2740,843,260,336,391,2706,141,433,459,536,789,283,1026,115,401,160,143,178,222,677,948,259,680,380,56,195,529,173,24,451,153,261,138,31,97,145,0,45,56,688,27,318,124,0,232,0,71,221,98,1,2,0
"OTU_85",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0
"OTU_18",284,0,898,0,0,265,166,51,757,86,1,49,24,134,52,0,0,0,162,274,649,143,171,70,45,350,23,65,0,39,12,32,1,0,0,52,0,26,371,29,0,151,179,50,9,60,0,40,23,76,68,82,125,39,208,22,0,27,58,153,14,84,82,0,103,0,50,43,0,0,0,0
"OTU_2407",0,0,0,0,8,0,0,5,17,5,0,2,5,0,1,0,0,0,3,2,2,0,0,3,10,10,0,0,0,0,9,0,1,1,0,0,0,0,1,11,0,2,0,0,6,0,0,0,2,0,3,0,2,1,0,0,0,1,1,13,0,1,0,0,0,0,0,17,0,5,0,0
"OTU_133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,70,0,0,0,0,0,0,2,4,0,0,40,0,1,0,0,0,0,0,1,685,9,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
