"","Sample0735","Sample0800","Sample0766","Sample0737","Sample0768","Sample0805","Sample0807","Sample0770","Sample0810","Sample0736","Sample0774","Sample0732","Sample0769","Sample0764","Sample0767","Sample0729","Sample0803","Sample0809","Sample0808","Sample0728","Sample0734","Sample0806","Sample0804","Sample0738","Sample0765","Sample0730","Sample0801","Sample0731","Sample0772","Sample0802","Sample0771","Sample0739","Sample0733","Sample0775","Sample0773","Sample0814","Sample0245","Sample0199","Sample0203","Sample0164","Sample0163","Sample0204","Sample0244","Sample0157","Sample0202","Sample0241","Sample0143","Sample0240","Sample0242","Sample0250","Sample0239","Sample0243","Sample0197","Sample0247","Sample0246","Sample0158","Sample0194","Sample0200","Sample0166","Sample0159","Sample0196","Sample0161","Sample0193","Sample0165","Sample0237","Sample0249","Sample0195","Sample0198","Sample0155","Sample0160","Sample0162","Sample0201"
"OTU_9",0,20,4,0,0,54,0,0,0,0,27,14,0,164,22,0,0,36,1043,0,0,26,15,17,384,0,0,0,44,0,0,3,0,0,0,18,0,20,0,0,1,40,9,2,137,2,3,8,1,0,9,1,5,0,4,0,1,19,0,0,3,0,25,6,0,1,0,6,5,1,35,0
"OTU_22",0,2128,150,643,101,0,0,25,0,0,525,0,1312,141,0,182,0,164,0,0,519,178,0,180,10,0,229,0,8,0,0,0,0,0,0,14,970,132,0,5,28,1,94,0,0,168,24,440,53,44,351,113,0,125,512,8,5,19,21,63,6,19,0,3,40,12,4,71,11,4,11,0
"OTU_72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"OTU_13",0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,30,0,0,0,4,0,87,0,0,224,15,0,64,10,1,2,28,0,0,0,0,2,0,5,13,0,0,0,0,0,0
"OTU_4",64,95,1446,1287,0,745,297,371,608,931,1040,539,476,2225,100,69,13,351,616,189,289,2194,1017,381,262,127,308,16,272,18,0,123,58,28,0,20,5,302,442,31,8,3073,28,20,71,101,868,633,103,44,1513,68,29,373,65,610,230,324,128,8,84,34,312,123,24,18,267,36,1,52,28,0
"OTU_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,7,0,0,0,8,0,0,0,8,2,0,90,0,0,0,0,2,0,0,0,20,2,1,52,9,0,17,0,0,0,38,0,0,0,0,1,0,0,6,0,0,1,0,3,0
"OTU_6544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,1,0,0,3,0,12,0,0,0,0,0,36,8,0,0,0,0,40,0,0,59,0,0,0,0,0,0
"OTU_5",291,0,282,2118,0,1,333,750,791,0,2376,770,2240,198,47,2403,0,2625,16,0,1133,3013,214,1568,0,293,2763,2,123,205,0,29,0,7,2,26,70,51,0,28,30,32,96,18,0,176,52,36,128,72,111,142,110,50,54,76,13,76,30,31,38,21,0,33,10,81,34,29,30,6,8,0
"OTU_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,22,0,3,0,0,0,10,5,0,29,2,0,11,5,0,0,19,3,0,4,0,4,0,0,6,3,0,0,0,2,0
"OTU_291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
