"","Sample0751","Sample0747","Sample0743","Sample0748","Sample0746","Sample0782","Sample0750","Sample0777","Sample0744","Sample0778","Sample0787","Sample0785","Sample0783","Sample0780","Sample0745","Sample0749","Sample0786","Sample0779","Sample0784","Sample0742","Sample0741","Sample0776","Sample0781","Sample0740","Sample0823","Sample0822","Sample0815","Sample0824","Sample0264","Sample0265","Sample0262","Sample0171","Sample0212","Sample0253","Sample0263","Sample0260","Sample0261","Sample0175","Sample0178","Sample0205","Sample0208","Sample0206","Sample0257","Sample0258","Sample0172","Sample0209","Sample0179","Sample0210","Sample0207","Sample0168","Sample0173","Sample0177","Sample0169","Sample0216","Sample0167","Sample0213","Sample0174","Sample0176","Sample0211","Sample0215","Sample0259","Sample0256","Sample0214"
"OTU_9",0,0,36,11,0,27,57,0,0,0,0,0,0,22,12,255,0,0,0,235,68,31,110,1145,19561,0,0,9,0,0,4,0,18,0,0,9,2,2,0,0,0,7,0,0,3,16,4,937,25,4,0,3,0,0,10,0,0,0,0,0,0,0,0
"OTU_22",0,165,0,21,41,512,101,345,0,60,42,1124,0,0,88,0,79,223,79,1822,0,0,36,0,0,1155,164,1,367,796,1074,207,403,240,608,2459,1793,364,247,314,726,486,809,42,120,1125,2099,274,951,314,173,181,601,468,237,0,272,47,0,107,0,0,0
"OTU_72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,469,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"OTU_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,29,0,2,0,0,0,8,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_4",838,127,0,1565,81,2135,918,858,713,110,34,1377,0,182,530,3163,589,0,292,1779,998,274,1099,658,2688,45,186,2,93,40,51,65,74,0,179,196,104,107,150,1117,0,219,106,57,161,29,113,0,661,42,35,190,39,33,85,320,78,5,0,0,0,0,0
"OTU_12",0,20,0,0,13,0,0,0,0,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,7,0,5,0,3,6,12,0,0,3,0,0,13,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,168
"OTU_6544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"OTU_1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5",1841,34,1,556,156,18898,778,1654,72,711,0,1294,610,38,968,228,523,0,0,3355,91,58,27,58,918,1666,383,1,1527,1346,791,1005,846,796,1549,2285,1373,814,753,3410,998,1419,1391,325,736,1627,896,0,2001,1359,892,851,1019,2239,799,0,546,109,1,0,53,0,0
"OTU_21",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,44,10,0,0,2,0,1,0,4,28,0,2,13,0,0,5,0,0,12,0,0,0,0,845,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_17",0,48,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_23",0,0,0,22,0,0,0,0,0,45,0,0,0,28,0,116,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_36",0,0,0,70,0,172,0,0,0,0,0,0,0,0,23,26,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,11,0,0,1,11,0,0,0,0,0,19,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_10",553,0,27,893,0,117,1181,0,88,213,1,124,125,511,189,3198,158,0,154,126,842,183,953,1220,1340,97,0,0,7,0,4,12,25,0,9,136,24,16,15,36,42,0,38,0,5,31,5,215,1,13,16,9,4,0,7,0,11,0,0,0,0,0,0
"OTU_20",0,0,0,120,0,0,0,0,0,0,0,0,0,0,45,151,27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,57,7,1,10,0,0,0,2,0,0,0,8,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0
"OTU_2",329,425,251,1080,338,455,243,0,471,416,484,276,152,388,1490,4830,442,289,413,4301,2449,178,1153,814,1851,100,131,2,171,108,214,192,272,227,129,797,205,167,92,490,528,104,706,0,121,70,123,1,913,114,49,180,14,72,51,0,44,7,0,0,0,0,0
"OTU_85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_18",0,96,0,562,31,38,0,0,439,120,200,0,192,32,154,621,230,81,232,0,75,36,26,101,31,5,0,0,30,17,27,7,7,0,2,27,21,58,64,1130,0,98,13,6,27,15,9,0,21,15,10,35,9,14,10,0,21,1,1,0,0,0,0
"OTU_2407",0,0,0,5,0,0,0,0,0,0,0,0,17,17,0,15,5,0,0,0,15,0,2,7,20,1,0,0,2,0,0,0,1,1,0,5,0,1,0,4,0,0,1,0,1,1,8,0,1,0,3,3,0,0,1,0,0,0,0,0,0,1,0
"OTU_133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,3,0,0,0,0,0,0,662,0,0,0,0,0,0,0
"OTU_95",0,18,0,0,0,0,0,0,12,0,0,0,0,0,0,12,9,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,180,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"OTU_4096",0,0,0,6628,0,0,0,0,0,0,0,0,0,0,6,19,95,0,0,0,0,0,8,0,16,0,6,0,0,0,0,0,0,0,0,0,0,5,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_15",0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,706,62,0,0,0,33,0,0,0,28,0,15,0,14,10,80,1,40,0,5,28,129,2,0,0,0,0,23,10,1,0,0,0,0,5,6,0,1,0,0,0,1,1,0,188,0,0,0
"OTU_45",210,38,0,0,0,0,0,0,12,140,4,0,242,0,0,26,33,0,0,0,33,66,103,5,0,0,0,0,0,8,0,0,0,0,0,5,0,1,9,0,0,3,0,0,0,12,9,0,4,1,0,0,0,2,0,0,5,0,0,0,0,0,0
"OTU_48",0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,58,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,4,12,9,1,11,0,0,0,1,0,0,0,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0
