Origin,Management,primary_unique,primary_count,primary_percent,secondary_unique,secondary_count,secondary_percent
soil,Organic,#N/A,1490,50.8,#N/A,2059,70.2
soil,Organic,plant_pathogen,269,9.2,litter_saprotroph,211,7.2
soil,Organic,soil_saprotroph,186,6.3,animal_decomposer,25,0.9
soil,Organic,animal_parasite,47,1.6,epiphyte,5,0.2
soil,Organic,unspecified_saprotroph,115,3.9,fungal_decomposer,21,0.7
soil,Organic,mycoparasite,45,1.5,plant_pathogen,29,1
soil,Organic,epiphyte,6,0.2,foliar_endophyte,165,5.6
soil,Organic,litter_saprotroph,218,7.4,wood_saprotroph,53,1.8
soil,Organic,wood_saprotroph,194,6.6,unsepcified_saprotroph,3,0.1
soil,Organic,sooty_mold,2,0.1,root-associated,280,9.5
soil,Organic,dung_saprotroph,61,2.1,animal_parasite,13,0.4
soil,Organic,lichen_parasite,5,0.2,dung_saprotroph,18,0.6
soil,Organic,foliar_endophyte,10,0.3,algal_parasite,5,0.2
soil,Organic,ectomycorrhizal,13,0.4,soil_saprotroph,21,0.7
soil,Organic,root_endophyte,10,0.3,rock-inhabiting,5,0.2
soil,Organic,arbuscular_mycorrhizal,210,7.2,root_endophyte,3,0.1
soil,Organic,lichenized,9,0.3,root_endophyte_dark_septate,11,0.4
soil,Organic,pollen_saprotroph,30,1,insect-associated,1,0
soil,Organic,unspecified_pathotroph,4,0.1,unspecified_symbiotroph,2,0.1
soil,Organic,nectar/tap_saprotroph,4,0.1,vertebrate-associated,1,0
soil,Organic,algal_parasite,3,0.1,bryophilous,1,0
soil,Organic,unspecified,1,0,NA,NA,NA
