"","Sample0918","Sample0921","Sample0916","Sample0849","Sample0915","Sample0923","Sample0843","Sample0884","Sample0919","Sample0882","Sample0852","Sample0920","Sample0883","Sample0878","Sample0851","Sample0844","Sample0879","Sample0888","Sample0887","Sample0841","Sample0885","Sample0877","Sample0917","Sample0881","Sample0848","Sample0850","Sample0913","Sample0925","Sample0886","Sample0880","Sample0847","Sample0846","Sample0914","Sample0922","Sample0845","Sample0842","Sample0405","Sample0394","Sample0446","Sample0444","Sample0401","Sample0438","Sample0399","Sample0357","Sample0400","Sample0360","Sample0398","Sample0439","Sample0402","Sample0449","Sample0440","Sample0364","Sample0441","Sample0445","Sample0397","Sample0395","Sample0359","Sample0358","Sample0447","Sample0356","Sample0450","Sample0442","Sample0362","Sample0443","Sample0361","Sample0396","Sample0363","Sample0404","Sample0365","Sample0367","Sample0366","Sample0403"
"OTU_9",1359,794,193,653,534,16,183,82,1007,159,153,783,121,1956,51,226,739,86,25,0,117,630,1237,35,41,0,531,120,443,0,185,821,0,115,5,82,138,125,0,7,40,1,13,36,3,26,7,4,7,19,9,42,3,38,16,21,84,55,9,14,22,23,17,8,3,13,30,13,4,19,6,5
"OTU_72",960,1331,205,386,10,10,7,155,0,0,201,230,29,449,13,408,101,0,0,26,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,13,5,1,1,23,0,2,2,17,1,0,0,7,0,5,0,0,4,2,0,4,7,2,6,12,1,0,3,3,1,2,1,4,3,1,0
"OTU_13",2,0,788,1540,180,103,34,463,198,3671,54,1,6317,0,534,1111,145,0,329,3195,1,1,0,0,1,37,1,0,2,0,0,1,0,0,2,0,6,3,34,78,18,18,4,0,1,0,0,190,89,9,43,0,4,20,28,15,0,1,308,0,15,10,0,5,0,0,0,0,2,0,1,0
"OTU_4",9,4115,2095,2570,2803,257,323,276,440,11,764,5460,1666,78,247,1046,1697,181,963,29,64,917,324,658,28,91,96,669,315,426,100,254,18,1,23,78,1780,495,55,113,1669,139,49,106,38,48,3,152,1293,80,130,101,74,255,249,459,90,139,402,21,122,268,127,36,4,29,217,104,8,43,21,22
"OTU_12",0,182,160,0,283,16,3,154,0,0,70,68,222,0,41,194,0,9,0,0,0,0,0,0,0,0,46,19,0,0,29,0,0,0,0,0,6,7,33,14,15,30,1,1,1,0,0,13,8,10,29,1,18,7,9,18,4,4,22,0,47,25,3,6,0,2,1,2,0,0,5,1
"OTU_6544",0,0,2,349,0,38,79,9,0,1,60,2,0,260,8,2,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,9,8,1,0,0,0,2,0,0,16,9,3,1,0,11,49,4,6,6,0,0,12,13,0,2,0,0,0,0,6,0,0,0
"OTU_1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,4,0,0,0,0,0,0,1,3,0,1,0,1,1,4,2,0,0,0,0,0,0,0,2,1,1,0,0,0
"OTU_5",194,8544,133,163,4382,5236,8862,199,4817,684,665,11987,2486,370,7045,760,16693,119,4433,1,224,472,247,0,1403,144,0,423,0,309,2085,1,865,505,193,65,27,6,17,4,53,5,10,0,1,3,4,20,1,3,19,8,9,13,41,2,4,2,69,0,18,12,11,4,0,0,9,3,0,21,2,2
"OTU_21",1,331,360,4613,46,0,15,122,0,0,76,286,6,1723,56,87,613,0,0,144,0,31,322,0,0,74,30,0,269,0,510,0,436,0,0,17,27,25,26,21,65,17,2,0,4,0,3,8,4,18,14,5,16,10,4,3,12,4,8,4,41,20,3,14,0,6,1,6,11,15,10,0
"OTU_291",0,165,35,0,5,0,0,2,0,0,0,1,0,744,10,8,0,0,262,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
