jrk_template	Phylum	Class	Order	Family	GENUS	primary_lifestyle	Secondary_lifestyle	Genus	
jrk11009	Ascomycota	Dothideomycetes	Asterinales	Asterinaceae	Pycnocarpon	epiphyte	litter_saprotroph	#N/A	#N/A
jrk11010	Ascomycota	Dothideomycetes	Asterinales	Neobueliellaceae	Neobueliella	lichen_parasite		Vishniacozyma	soil_saprotroph
jrk11028	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Neocochlearomyces	plant_pathogen		Hannaella	animal_parasite
	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Anthodidymella	wood_saprotroph		Alternaria	plant_pathogen
	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Aquimassariosphaeria	wood_saprotroph		Tilletiopsis	plant_pathogen
jrk11044	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Neolindgomyces	litter_saprotroph		Hannaella	animal_parasite
jrk11061	Ascomycota	Dothideomycetes	Pleosporales	Longiostiolaceae	Crassiperidium	wood_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Aquihelicascus	wood_saprotroph		Didymella	plant_pathogen
jrk11049	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	Paratrimmatostroma	litter_saprotroph		Bullera	unspecified_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Arezzomyces	wood_saprotroph		Vishniacozyma	soil_saprotroph
	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dlhawksworthia	wood_saprotroph		Hannaella	animal_parasite
jrk11053	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeomyces	wood_saprotroph		Papiliotrema	mycoparasite
jrk11057	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Piniphoma	wood_saprotroph		Neoascochyta	plant_pathogen
jrk11059	Ascomycota	Dothideomycetes	Pleosporales	Pleomonodictydaceae	Pleohelicoon	litter_saprotroph		Symmetrospora	epiphyte
jrk11060	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Typhicola	litter_saprotroph		#N/A	#N/A
jrk11063	Ascomycota	Dothideomycetes	Pleosporales	Shiraiaceae	Rubroshiraia	plant_pathogen		Hannaella	animal_parasite
	Ascomycota	Dothideomycetes	Pleosporales	Sulcatisporaceae	Anthosulcatispora	wood_saprotroph		Cladosporium	litter_saprotroph
jrk11067	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Liua	wood_saprotroph		#N/A	#N/A
jrk11069	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Discotubeufia	litter_saprotroph		#N/A	#N/A
	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Acantharia	litter_saprotroph		#N/A	#N/A
	Ascomycota	Leotiomycetes	Leotiomycetes order incertae sedis	Leotiomycetes family incertae sedis	Clavidisculum	litter_saprotroph		Dioszegia	litter_saprotroph
jrk11121	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Heterotruncatella	plant_pathogen		Ophiosphaerella	plant_pathogen
jrk11128	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriales family incertae sedis	Neoleptosporella	wood_saprotroph		Hannaella	animal_parasite
jrk11133	Ascomycota	Sordariomycetes	Delonicicolales	Delonicicolaceae	Furfurella	wood_saprotroph		Neosetophoma	litter_saprotroph
jrk11134	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Capillaureum	plant_pathogen	wood_saprotroph	#N/A	#N/A
jrk11135	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysomorbus	plant_pathogen	wood_saprotroph	Keissleriella	wood_saprotroph
	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Eriocamporesia	plant_pathogen	wood_saprotroph	Coniothyrium	plant_pathogen
jrk11140	Ascomycota	Sordariomycetes	Diaporthales	Neomelanconiellaceae	Neomelanconiella	plant_pathogen	litter_saprotroph	#N/A	#N/A
jrk11177	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Neomyrmecridium	litter_saprotroph		Vishniacozyma	soil_saprotroph
jrk11178	Ascomycota	Sordariomycetes	Myrmecridiales	Xenodactylariaceae	Xenodactylaria	litter_saprotroph		#N/A	#N/A
jrk11185	Ascomycota	Sordariomycetes	Xenospadicoidales	Xenospadicoidaceae	Pseudodiplococcium	litter_saprotroph		Coniothyrium	plant_pathogen
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Adustochaete	wood_saprotroph		#N/A	#N/A
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Metulochaete	wood_saprotroph		Septoriella	litter_saprotroph
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Proterochaete	wood_saprotroph		#N/A	#N/A
	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Psilochaete	wood_saprotroph		Epicoccum	plant_pathogen
	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales family incertae sedis	Pekloderma	wood_saprotroph	ericoid_mycorrhizal	#N/A	#N/A
jrk11219	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Geesterania	wood_saprotroph		Vishniacozyma	soil_saprotroph
jrk11000	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Staurospora	lichenized		Papiliotrema	mycoparasite
jrk11001	Ascomycota	Arthoniomycetes	Arthoniales	Chrysotrichaceae	Galbinothrix	lichenized		#N/A	#N/A
jrk11002	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Amylogalla	lichen_parasite	fungal_decomposer	#N/A	#N/A
jrk11003	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Craspedodidymella	wood_saprotroph		Vishniacozyma	soil_saprotroph
jrk11004	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Crousobrauniella	plant_pathogen		Symmetrospora	epiphyte
