"","Sample0934","Sample0891","Sample0864","Sample0926","Sample0900","Sample0893","Sample0897","Sample0860","Sample0857","Sample0895","Sample0862","Sample0892","Sample0889","Sample0894","Sample0896","Sample0854","Sample0899","Sample0898","Sample0859","Sample0933","Sample0861","Sample0858","Sample0863","Sample0890","Sample0853","Sample0856","Sample0855","Sample0935","Sample0416","Sample0409","Sample0456","Sample0461","Sample0414","Sample0411","Sample0462","Sample0415","Sample0369","Sample0413","Sample0406","Sample0463","Sample0464","Sample0374","Sample0453","Sample0408","Sample0376","Sample0373","Sample0379","Sample0460","Sample0407","Sample0459","Sample0458","Sample0377","Sample0412","Sample0380","Sample0465","Sample0372","Sample0455","Sample0410","Sample0368","Sample0378","Sample0375","Sample0370","Sample0417"
"OTU_9",0,168,176,43,541,1418,310,25,426,879,1,152,32,1243,237,1335,486,318,95,178,766,54,0,0,82,0,206,0,183,76,3,1,52,153,38,228,10,58,25,4,24,36,1,14,38,153,54,77,74,22,55,2,13,34,8,12,1,32,39,79,5,20,0
"OTU_72",0,30,0,516,314,0,0,6,1997,288,0,36,0,9,0,0,19,0,28,0,0,0,0,0,0,0,0,1,18,0,0,2,1,3,4,17,0,1,0,2,4,1,0,0,9,0,0,1,10,1,2,0,0,0,3,7,0,2,0,0,0,0,0
"OTU_13",1,10859,1,758,6234,0,24973,10776,1,1,1,1368,0,73,5828,0,320,0,286,0,0,1604,0,0,0,1,4,1,0,0,34,16,0,202,11,3,3,0,0,32,8,2,22,0,0,2,0,6,0,6,19,0,0,0,13,0,31,0,0,2,0,1,0
"OTU_4",0,5146,263,1763,912,3175,178,271,2463,1550,33,1205,79,1088,26,254,1172,0,636,46,863,265,925,0,414,0,51,1,249,4087,135,48,313,278,516,585,74,148,45,287,175,22,21,140,128,151,39,203,279,154,334,15,32,9,66,70,233,43,138,64,19,4,0
"OTU_12",0,387,0,91,40,0,79,632,0,0,0,173,23,0,0,0,73,0,19,399,0,0,0,0,0,0,0,0,177,60,29,20,42,38,51,169,37,25,6,8,74,12,7,19,15,79,7,18,87,93,72,1,20,1,29,17,20,11,1,77,1,2,0
"OTU_6544",0,12,0,39,119,134,1,0,986,0,0,0,0,343,0,0,0,0,38,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0
"OTU_1060",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5",1,5321,2526,16188,648,2734,136,10,592,9000,0,59,2,1577,1001,3,3874,99,3705,1207,329,1,539,341,142,581,230,6,74,837,25,17,13,966,129,122,152,31,131,39,104,1,4,5,3,4,41,239,22,41,193,11,0,2,22,90,40,105,25,149,1,19,6
"OTU_21",0,137,795,767,119,747,0,192,1627,0,0,84,30,255,0,0,66,0,138,0,152,0,0,0,0,0,0,0,50,126,29,26,10,116,34,255,11,14,13,24,39,13,24,20,11,19,26,7,65,35,67,2,12,15,33,12,20,4,1,23,0,2,0
"OTU_291",0,8,0,11,6,293,0,0,0,0,0,0,0,432,146,0,0,0,12,0,0,26,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_17",0,1087,1,63,145,2,0,3422,0,0,0,279,341,91,0,0,1712,1,2350,0,4,0,0,2422,1,0,2,0,1,0,48,16,1,39,6,3,1,0,0,59,8,0,34,0,3,1,0,10,0,6,8,0,0,0,24,0,68,0,0,0,0,0,0
"OTU_23",0,2969,220,35,272,36171,1,174,0,1,79,3028,0,1925,2998,1,25,11611,16,1,870,0,3,2,157,0,0,1,0,0,0,0,0,4,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,1,0,0
"OTU_36",0,104,296,0,2249,2015,0,0,433,105,0,86,0,2615,0,0,0,0,44,0,244,44,0,0,92,27,0,0,0,0,0,0,1,0,127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,2,1,0,0,0
"OTU_32",0,56,329,238,730,73,987,94,0,0,30,289,1,0,0,1,157,0,138,153,0,0,0,1,0,0,0,3,9,241,20,18,0,17,16,19,184,4,2,1,105,0,5,5,0,3,0,2,5,6,72,0,2,0,29,8,11,0,0,3,1,0,0
"OTU_10",0,1156,336,284,202,1485,0,88,736,953,43,224,1424,944,0,80,1845,0,871,62,183,176,0,0,0,55,2,0,17,229,16,22,12,39,50,89,2,11,2,23,12,13,10,6,56,36,9,9,25,6,5,0,8,20,11,3,25,1,64,11,0,0,0
"OTU_20",0,117,0,545,719,71,273,1,8848,0,0,57,1,1,414,0,541,0,2370,215,1,0,0,0,1,0,2,1,0,0,21,9,0,2,1,0,0,0,6,4,3,7,12,1,0,0,167,19,0,1,0,0,0,0,11,8,13,0,3,0,1,0,0
"OTU_2",0,25222,421,6025,8137,3890,275,3595,4448,4530,110,10016,214,1745,157,1069,5703,1805,4731,2678,647,306,2591,509,401,104,534,17,481,2270,73,43,360,436,582,940,197,378,242,96,348,105,34,220,147,286,126,496,528,270,656,17,124,132,84,200,142,185,195,260,34,47,4
"OTU_85",0,0,0,190,101,5366,0,28,0,0,0,0,1,0,53,0,6,0,0,0,536,0,0,0,0,0,0,1,1,2,0,0,1,20,0,3,0,4,1,0,0,7,0,1,2,0,3,0,1,3,3,0,1,0,4,14,0,3,0,0,0,0,0
"OTU_18",0,5957,72,163,6546,1934,394,220,711,832,224,2543,193,326,242,76,12369,0,782,167,139,238,45,12,88,177,13,9,14,115,12,29,0,98,106,37,18,7,35,22,33,18,18,3,25,3,0,37,158,26,57,1,0,7,26,17,31,1,5,17,2,2,0
"OTU_2407",0,19,0,5,5,0,0,3,4,0,0,2,0,11,0,1,14,2,3,0,3,1,2,0,1,0,22,0,1,4,4,1,2,7,1,2,0,0,0,3,0,2,3,1,1,2,0,2,4,3,3,0,0,0,2,1,4,1,0,1,0,0,0
"OTU_133",0,0,0,86,0,0,155,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,4,3,1,2,0,0,0,0,2,1,2,1,4,20,0,0,0,0,2,0,0,0,0,0,0,3,0,4,0,0,0
"OTU_95",0,49,0,315,162,0,0,50,0,0,0,354,0,0,0,0,15,0,102,0,0,0,0,0,0,0,0,0,5,4,0,1,2,5,1,3,0,3,3,0,2,0,0,3,1,2,0,1,10,5,2,0,1,0,1,0,0,0,0,0,0,0,0
"OTU_65",0,40,256,213,107,37,216,0,332,0,0,28,0,122,250,0,95,0,477,0,0,0,0,0,94,493,0,1,0,0,2,2,0,20,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4096",0,581,0,102,1804,0,0,77,160,6,0,706,0,42,0,22,1711,0,203,55,0,0,0,0,0,0,0,0,3,3,3,1,3,0,21,1,56,0,0,3,2,0,4,2,0,0,0,5,29,19,58,0,0,0,4,0,0,1,1,2,0,0,0
"OTU_15",0,12326,0,138,762,0,0,767,0,0,0,490,1,0,0,0,1013,0,278,95,67,0,0,0,0,0,0,1,11,5,11,5,6,388,16,29,3,5,1,28,73,0,7,3,3,0,1,10,5,28,50,0,121,1,8,22,11,0,0,0,0,0,3
"OTU_45",0,314,153,6,131,173,133,0,122,0,0,14,0,0,12,0,324,0,14,0,519,0,0,0,108,0,0,1,0,0,2,0,3,0,0,6,0,0,0,10,6,0,1,0,0,1,0,0,5,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"OTU_48",0,64,0,64,189,0,1,68,60,1,1,340,0,0,0,0,57,0,60,12,0,0,0,1,0,0,0,1,5,0,22,17,4,4,13,48,0,0,0,54,10,3,3,2,4,0,0,7,107,30,280,0,2,0,9,7,98,0,6,1,0,0,0
"OTU_3259",0,486,13,116,114,5,0,92,47,6,13,42,13,334,1,2,397,68,46,7,88,16,7,0,48,6,113,0,20,108,35,28,80,116,42,38,6,5,7,43,22,26,9,18,12,19,7,10,81,30,73,0,10,6,30,21,34,3,8,27,4,0,0
"OTU_176",0,62,0,568,60,0,70,80,0,0,0,135,0,0,0,0,11,0,7,41,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_59",0,0,0,42,4,93,0,0,0,1395,0,0,0,0,0,0,56,0,31,0,0,0,236,0,0,0,0,0,0,992,0,4,0,883,0,2,0,2,2,0,2,0,0,0,0,3,0,0,3,9,5,0,0,0,5,2,1,1,2,0,0,0,0
"OTU_4607",0,21,0,37,57,0,0,0,0,0,0,60,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,1,5,0,1,4,1,0,2,4,8,0,0,10,2,0,0,1,0,0,0,13,13,10,32,0,1,0,13,2,6,0,0,1,0,0,0
"OTU_6277",0,3,0,11,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",0,9,0,9,31,234,0,0,98,263,0,15,0,701,0,0,1,0,19,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_89",0,8,0,0,136,0,0,1,0,0,0,14,0,0,0,0,196,0,12,0,0,0,0,0,2,0,0,0,2,0,0,0,1,22,1,4,4,0,0,6,1,0,1,0,0,1,0,5,2,1,5,0,0,0,4,7,1,0,1,7,0,10,0
"OTU_223",0,15,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,267,25,0,0,0,0,17,272,0,0,0,1,0,11,8,0,0,0,16,0,0,0,0,11,5,0,211,21,45,0,0,9,18,13,0,23,3,63,0,0,0
"OTU_4383",0,0,0,0,9,0,0,0,116,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_55",0,22,1183,229,230,561,0,99,252,294,0,61,0,129,0,0,182,0,142,1,116,1,143,1,87,0,0,0,0,0,3,2,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,26,0,0,0,0,2,2,0,0,4,0,0,9
"OTU_389",0,8,0,271,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3,45,1,10,2,6,0,0,4,0,0,0,0,0,5,7,3,0,0,0,12,2,0,0,0,0,6,1,0,0,0
"OTU_419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1561,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0
"OTU_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,11,0,3,0,0,0,0,0,1,0,0,0,0,25,2,0,0,2,0,0,1,0,0,0,0,0
"OTU_54",0,112,89,1874,131,418,0,0,0,1037,0,9,0,0,0,1894,173,0,22,0,1,0,300,1,84,0,0,1,82,0,21,0,0,0,4,0,0,0,9,64,3,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,64,0,0,50,0,0,0
