,,primary_guild_unique,primary_count,primary_percent,secondary_guild_unique,secondary_count,secondary_percent
stem,Organic,#N/A,457,33.8,#N/A,823,60.9
stem,Organic,soil_saprotroph,85,6.3,animal_decomposer,18,1.3
stem,Organic,animal_parasite,29,2.1,litter_saprotroph,172,12.7
stem,Organic,plant_pathogen,243,18,epiphyte,3,0.2
stem,Organic,unspecified_saprotroph,71,5.3,fungal_decomposer,18,1.3
stem,Organic,mycoparasite,28,2.1,plant_pathogen,29,2.1
stem,Organic,epiphyte,10,0.7,foliar_endophyte,159,11.8
stem,Organic,litter_saprotroph,249,18.4,wood_saprotroph,37,2.7
stem,Organic,wood_saprotroph,93,6.9,unsepcified_saprotroph,3,0.2
stem,Organic,sooty_mold,2,0.1,root-associated,55,4.1
stem,Organic,lichen_parasite,3,0.2,animal_parasite,13,1
stem,Organic,foliar_endophyte,6,0.4,soil_saprotroph,4,0.3
stem,Organic,dung_saprotroph,14,1,rock-inhabiting,6,0.4
stem,Organic,ectomycorrhizal,6,0.4,root_endophyte,2,0.1
stem,Organic,root_endophyte,2,0.1,nematophagous,1,0.1
stem,Organic,nectar/tap_saprotroph,6,0.4,dung_saprotroph,4,0.3
stem,Organic,lichenized,2,0.1,algal_parasite,1,0.1
stem,Organic,arbuscular_mycorrhizal,41,3,root_endophyte_dark_septate,2,0.1
stem,Organic,algal_parasite,2,0.1,unspecified_symbiotroph,1,0.1
stem,Organic,pollen_saprotroph,2,0.1,NA,NA,NA
