"","Sample0547","Sample0528","Sample0522","Sample0588","Sample0538","Sample0509","Sample0554","Sample0541","Sample0579","Sample0556","Sample0527","Sample0570","Sample0530","Sample0543","Sample0571","Sample0565","Sample0532","Sample0496","Sample0553","Sample0504","Sample0499","Sample0525","Sample0502","Sample0516","Sample0523","Sample0524","Sample0560","Sample0564","Sample0536","Sample0534","Sample0546","Sample0557","Sample0550","Sample0582","Sample0575","Sample0586","Sample0545","Sample0513","Sample0537","Sample0552","Sample0501","Sample0548","Sample0578","Sample0503","Sample0549","Sample0577","Sample0521","Sample0517","Sample0533","Sample0497","Sample0587","Sample0581","Sample0494","Sample0566","Sample0544","Sample0591","Sample0510","Sample0506","Sample0585","Sample0559","Sample0583","Sample0558","Sample0500","Sample0598","Sample0535","Sample0563","Sample0531","Sample0584","Sample0567","Sample0580","Sample0520","Sample0569","Sample0561","Sample0526","Sample0562","Sample0495","Sample0573","Sample0599","Sample0542","Sample0512","Sample0576","Sample0505","Sample0498","Sample0529","Sample0540","Sample0574","Sample0551","Sample0590","Sample0507","Sample0519","Sample0518","Sample0508","Sample0568","Sample0539","Sample0511","Sample0572","Sample0514","Sample0515","Sample0555","Sample0600","Sample0133","Sample0136","Sample0135","Sample0141","Sample0132","Sample0139","Sample0131","Sample0140","Sample0130","Sample0138","Sample0137","Sample0134","Sample0278","Sample0284","Sample0307","Sample0267","Sample0310","Sample0283","Sample0337","Sample0319","Sample0285","Sample0281","Sample0303","Sample0293","Sample0317","Sample0266","Sample0338","Sample0328","Sample0273","Sample0321","Sample0282","Sample0268","Sample0339","Sample0270","Sample0279","Sample0269","Sample0313","Sample0286","Sample0316","Sample0308","Sample0323","Sample0289","Sample0331","Sample0325","Sample0302","Sample0336","Sample0287","Sample0309","Sample0326","Sample0305","Sample0322","Sample0324","Sample0330","Sample0335","Sample0318","Sample0271","Sample0320","Sample0277","Sample0295","Sample0329","Sample0332","Sample0300","Sample0301","Sample0340","Sample0290","Sample0297","Sample0315","Sample0296","Sample0299","Sample0274","Sample0288","Sample0272","Sample0292","Sample0334","Sample0280","Sample0312","Sample0333","Sample0327","Sample0306","Sample0298","Sample0291","Sample0276","Sample0314","Sample0311","Sample0472","Sample0487","Sample0488","Sample0475","Sample0471","Sample0470","Sample0467","Sample0492","Sample0484","Sample0493","Sample0466","Sample0477","Sample0474","Sample0482","Sample0478","Sample0485","Sample0473","Sample0486","Sample0469","Sample0468","Sample0490","Sample0481","Sample0491","Sample0489"
"ORIGIN","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf","leaf"
"GROWTH_STAGE","R3","V2","V2","R6","R3","V2","R3","R3","R6","R3","V2","R6","R3","R3","R6","R3","R3","V2","R3","V2","V2","V2","V2","V2","V2","V2","R3","R3","R3","R3","R3","R3","R3","R6","R6","R6","R3","V2","R3","R3","V2","R3","R6","V2","R3","R6","V2","V2","R3","V2","R6","R6","V2","R6","R3","R6","V2","V2","R6","R3","R6","R3","V2","R6","R3","R3","R3","R6","R6","R6","V2","R6","R3","V2","R3","V2","R6","R6","R3","V2","R6","V2","V2","V2","R3","R6","R3","R6","V2","V2","V2","V2","R6","R3","V2","R6","V2","V2","R3","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","V2","V2","R2","V2","R2","V2","R2","R2","V2","V2","V2","V2","R2","V2","R2","R2","V2","R2","V2","V2","R2","V2","V2","V2","R2","V2","R2","R2","R2","V2","R2","R2","V2","R2","V2","R2","R2","R2","R2","R2","R2","R2","R2","V2","R2","V2","V2","R2","R2","V2","V2","R2","V2","V2","R2","V2","V2","V2","V2","V2","V2","R2","V2","R2","R2","R2","R2","V2","V2","V2","R2","R2","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6","R6"
"MANAGEMENT","No-Till","Organic","Organic","No-Till","Conventional","No-Till","Organic","Conventional","No-Till","Organic","Organic","Conventional","Conventional","No-Till","Conventional","Organic","Conventional","Conventional","No-Till","Conventional","Conventional","Organic","Conventional","No-Till","Organic","Organic","Organic","Organic","Conventional","Conventional","No-Till","Organic","No-Till","No-Till","Conventional","No-Till","No-Till","No-Till","Conventional","No-Till","Conventional","No-Till","No-Till","Conventional","No-Till","Conventional","Organic","No-Till","Conventional","Conventional","No-Till","No-Till","Conventional","Conventional","No-Till","Organic","No-Till","No-Till","No-Till","Organic","No-Till","Organic","Conventional","Organic","Conventional","Organic","Conventional","No-Till","Conventional","No-Till","Organic","Conventional","Organic","Organic","Organic","Conventional","Conventional","Organic","No-Till","No-Till","Conventional","Conventional","Conventional","Organic","Conventional","Conventional","No-Till","No-Till","No-Till","Organic","Organic","No-Till","Conventional","Conventional","No-Till","Conventional","No-Till","No-Till","Organic","Organic","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","No-Till","Conventional","No-Till","Conventional","No-Till","Organic","No-Till","No-Till","No-Till","Organic","Organic","No-Till","Conventional","Organic","No-Till","Conventional","No-Till","No-Till","Conventional","Organic","Conventional","No-Till","Conventional","Conventional","No-Till","Conventional","Conventional","No-Till","No-Till","Organic","No-Till","Organic","Organic","No-Till","Conventional","No-Till","Conventional","No-Till","No-Till","Organic","Organic","No-Till","Conventional","No-Till","Conventional","Organic","Organic","Organic","Organic","Organic","Organic","No-Till","Organic","Conventional","Organic","Organic","Conventional","No-Till","Conventional","Organic","Organic","Conventional","Conventional","Organic","No-Till","Conventional","Organic","Organic","Conventional","Conventional","Conventional","No-Till","Organic","Organic","No-Till","No-Till","No-Till","No-Till","Organic","Organic","Organic","No-Till","No-Till","No-Till","Organic","No-Till","Organic","No-Till","Organic","No-Till","No-Till","Organic","Organic","Organic","Organic"
"SAMPLE_OR_CONTROL","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"OLD_NAME","R3T2r2Cleaf","V2T4r6Bleaf","V2T4r2Bleaf","R6T2r6Bleaf","R3T1r5Cleaf","V2T2r2Aleaf","R3T4r1Aleaf","R3T1r6Cleaf","R6T2r1Bleaf","R3T4r1Cleaf","V2T4r6Aleaf","R6T1r2Bleaf","R3T1r1Aleaf","R3T2r1Bleaf","R6T1r2Cleaf","R3T4r6Cleaf","R3T1r1Cleaf","V2T1r1Cleaf","R3T2r6Cleaf","V2T1r6Bleaf","V2T1r2Cleaf","V2T4r5Bleaf","V2T1r5Cleaf","V2T2r6Bleaf","V2T4r2Cleaf","V2T4r5Aleaf","R3T4r5Aleaf","R3T4r6Bleaf","R3T1r5Aleaf","R3T1r2Bleaf","R3T2r2Bleaf","R3T4r2Aleaf","R3T2r5Cleaf","R6T2r2Bleaf","R6T1r6Aleaf","R6T2r5Cleaf","R3T2r2Aleaf","V2T2r5Bleaf","R3T1r5Bleaf","R3T2r6Bleaf","V2T1r5Bleaf","R3T2r5Aleaf","R6T2r1Aleaf","V2T1r6Aleaf","R3T2r5Bleaf","R6T1r6Cleaf","V2T4r2Aleaf","V2T2r6Cleaf","R3T1r2Aleaf","V2T1r2Aleaf","R6T2r6Aleaf","R6T2r2Aleaf","V2T1r1Aleaf","R6T1r1Aleaf","R3T2r1Cleaf","R6T4r1Aleaf","V2T2r2Bleaf","V2T2r1Aleaf","R6T2r5Bleaf","R3T4r2Cleaf","R6T2r2Cleaf","R3T4r2Bleaf","V2T1r5Aleaf","R6T4r5Bleaf","R3T1r2Cleaf","R3T4r6Aleaf","R3T1r1Bleaf","R6T2r5Aleaf","R6T1r1Bleaf","R6T2r1Cleaf","V2T4r1Cleaf","R6T1r2Aleaf","R3T4r5Bleaf","V2T4r5Cleaf","R3T4r5Cleaf","V2T1r1Bleaf","R6T1r5Bleaf","R6T4r5Cleaf","R3T2r1Aleaf","V2T2r5Aleaf","R6T1r6Bleaf","V2T1r6Cleaf","V2T1r2Bleaf","V2T4r6Cleaf","R3T1r6Bleaf","R6T1r5Cleaf","R3T2r6Aleaf","R6T2r6Cleaf","V2T2r1Bleaf","V2T4r1Bleaf","V2T4r1Aleaf","V2T2r1Cleaf","R6T1r1Cleaf","R3T1r6Aleaf","V2T2r2Cleaf","R6T1r5Aleaf","V2T2r5Cleaf","V2T2r6Aleaf","R3T4r1Bleaf","R6T4r6Aleaf","T1R2AR6L","T1R5AR6L","T1R2CR6L","T1R6CR6L","T1R1CR6L","T1R6AR6L","T1R1BR6L","T1R6BR6L","T1R1AR6L","T1R5CR6L","T1R5BR6L","T1R2BR6L","T1R6CV2L","T2R2CV2L","T1R1CR2L","T2R1BV2L","T1R2CR2L","T2R2BV2L","T4R5CR2L","T2R1CR2L","T2R5AV2L","T2R1CV2L","T4R6CV2L","T4R1CV2L","T2R1AR2L","T1R1AV2L","T4R6AR2L","T2R6CR2L","T1R5BV2L","T2R2BR2L","T2R2AV2L","T1R1CV2L","T4R6BR2L","T1R2BV2L","T2R1AV2L","T1R2AV2L","T1R5CR2L","T2R5BV2L","T1R6CR2L","T1R2AR2L","T2R5AR2L","T2R6BV2L","T4R1CR2L","T2R5CR2L","T4R6BV2L","T4R5BR2L","T2R5CV2L","T1R2BR2L","T2R6AR2L","T1R1AR2L","T2R2CR2L","T2R5BR2L","T4R1BR2L","T4R5AR2L","T2R1BR2L","T1R2CV2L","T2R2AR2L","T1R6BV2L","T4R2AV2L","T4R1AR2L","T4R2AR2L","T4R5CV2L","T4R6AV2L","T4R6CR2L","T2R6CV2L","T4R2CV2L","T1R6BR2L","T4R2BV2L","T4R5BV2L","T1R5CV2L","T2R6AV2L","T1R5AV2L","T4R1BV2L","T4R2CR2L","T1R1BV2L","T1R5BR2L","T4R2BR2L","T2R6BR2L","T1R1BR2L","T4R5AV2L","T4R1AV2L","T1R6AV2L","T1R6AR2L","T1R5AR2L","T2R5AR6L","T4R2CR6L","T4R5AR6L","T2R6AR6L","T2R2CR6L","T2R2BR6L","T2R1BR6L","T4R6BR6L","T4R1CR6L","T4R6CR6L","T2R1AR6L","T2R6BR6L","T2R5CR6L","T4R1BR6L","T2R6CR6L","T4R2AR6L","T2R5BR6L","T4R2BR6L","T2R2AR6L","T2R1CR6L","T4R5CR6L","T4R1AR6L","T4R6AR6L","T4R5BR6L"
"COLLECTION_YEAR","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"BAR_LABEL","2021 R3 No-Till","2021 V2 Organic","2021 V2 Organic","2021 R6 No-Till","2021 R3 Conventional","2021 V2 No-Till","2021 R3 Organic","2021 R3 Conventional","2021 R6 No-Till","2021 R3 Organic","2021 V2 Organic","2021 R6 Conventional","2021 R3 Conventional","2021 R3 No-Till","2021 R6 Conventional","2021 R3 Organic","2021 R3 Conventional","2021 V2 Conventional","2021 R3 No-Till","2021 V2 Conventional","2021 V2 Conventional","2021 V2 Organic","2021 V2 Conventional","2021 V2 No-Till","2021 V2 Organic","2021 V2 Organic","2021 R3 Organic","2021 R3 Organic","2021 R3 Conventional","2021 R3 Conventional","2021 R3 No-Till","2021 R3 Organic","2021 R3 No-Till","2021 R6 No-Till","2021 R6 Conventional","2021 R6 No-Till","2021 R3 No-Till","2021 V2 No-Till","2021 R3 Conventional","2021 R3 No-Till","2021 V2 Conventional","2021 R3 No-Till","2021 R6 No-Till","2021 V2 Conventional","2021 R3 No-Till","2021 R6 Conventional","2021 V2 Organic","2021 V2 No-Till","2021 R3 Conventional","2021 V2 Conventional","2021 R6 No-Till","2021 R6 No-Till","2021 V2 Conventional","2021 R6 Conventional","2021 R3 No-Till","2021 R6 Organic","2021 V2 No-Till","2021 V2 No-Till","2021 R6 No-Till","2021 R3 Organic","2021 R6 No-Till","2021 R3 Organic","2021 V2 Conventional","2021 R6 Organic","2021 R3 Conventional","2021 R3 Organic","2021 R3 Conventional","2021 R6 No-Till","2021 R6 Conventional","2021 R6 No-Till","2021 V2 Organic","2021 R6 Conventional","2021 R3 Organic","2021 V2 Organic","2021 R3 Organic","2021 V2 Conventional","2021 R6 Conventional","2021 R6 Organic","2021 R3 No-Till","2021 V2 No-Till","2021 R6 Conventional","2021 V2 Conventional","2021 V2 Conventional","2021 V2 Organic","2021 R3 Conventional","2021 R6 Conventional","2021 R3 No-Till","2021 R6 No-Till","2021 V2 No-Till","2021 V2 Organic","2021 V2 Organic","2021 V2 No-Till","2021 R6 Conventional","2021 R3 Conventional","2021 V2 No-Till","2021 R6 Conventional","2021 V2 No-Till","2021 V2 No-Till","2021 R3 Organic","2021 R6 Organic","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 R6 Conventional","2018 V2 Conventional","2018 V2 No-Till","2018 R2 Conventional","2018 V2 No-Till","2018 R2 Conventional","2018 V2 No-Till","2018 R2 Organic","2018 R2 No-Till","2018 V2 No-Till","2018 V2 No-Till","2018 V2 Organic","2018 V2 Organic","2018 R2 No-Till","2018 V2 Conventional","2018 R2 Organic","2018 R2 No-Till","2018 V2 Conventional","2018 R2 No-Till","2018 V2 No-Till","2018 V2 Conventional","2018 R2 Organic","2018 V2 Conventional","2018 V2 No-Till","2018 V2 Conventional","2018 R2 Conventional","2018 V2 No-Till","2018 R2 Conventional","2018 R2 Conventional","2018 R2 No-Till","2018 V2 No-Till","2018 R2 Organic","2018 R2 No-Till","2018 V2 Organic","2018 R2 Organic","2018 V2 No-Till","2018 R2 Conventional","2018 R2 No-Till","2018 R2 Conventional","2018 R2 No-Till","2018 R2 No-Till","2018 R2 Organic","2018 R2 Organic","2018 R2 No-Till","2018 V2 Conventional","2018 R2 No-Till","2018 V2 Conventional","2018 V2 Organic","2018 R2 Organic","2018 R2 Organic","2018 V2 Organic","2018 V2 Organic","2018 R2 Organic","2018 V2 No-Till","2018 V2 Organic","2018 R2 Conventional","2018 V2 Organic","2018 V2 Organic","2018 V2 Conventional","2018 V2 No-Till","2018 V2 Conventional","2018 V2 Organic","2018 R2 Organic","2018 V2 Conventional","2018 R2 Conventional","2018 R2 Organic","2018 R2 No-Till","2018 R2 Conventional","2018 V2 Organic","2018 V2 Organic","2018 V2 Conventional","2018 R2 Conventional","2018 R2 Conventional","2018 R6 No-Till","2018 R6 Organic","2018 R6 Organic","2018 R6 No-Till","2018 R6 No-Till","2018 R6 No-Till","2018 R6 No-Till","2018 R6 Organic","2018 R6 Organic","2018 R6 Organic","2018 R6 No-Till","2018 R6 No-Till","2018 R6 No-Till","2018 R6 Organic","2018 R6 No-Till","2018 R6 Organic","2018 R6 No-Till","2018 R6 Organic","2018 R6 No-Till","2018 R6 No-Till","2018 R6 Organic","2018 R6 Organic","2018 R6 Organic","2018 R6 Organic"
"is.neg","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"readNO"," 78133"," 33551"," 41075"," 59633"," 70203"," 77048"," 46168"," 70643"," 45540"," 57522"," 37995"," 34509"," 78171"," 60822"," 39615"," 65617"," 84898"," 19938"," 68496"," 65388"," 61869"," 54547","149624"," 71097"," 46717"," 63330"," 54967"," 41039"," 52257"," 61279"," 63338"," 53655"," 62186"," 42257"," 26295"," 48240"," 56658"," 36770"," 38538"," 55061"," 93727"," 43295"," 40663"," 45995"," 66639"," 21046"," 62700"," 71708"," 73656"," 57210"," 41637"," 36971"," 94913"," 72171"," 61625","109503"," 25581"," 41249"," 57469"," 58357"," 34866"," 28902"," 63392"," 58475"," 40184"," 33697"," 40495"," 72559"," 28516"," 34520"," 46180"," 60258"," 41105"," 79823"," 37125"," 39249"," 98982"," 80459"," 45753"," 51832"," 16976"," 49737"," 51055"," 34709"," 53987"," 37364"," 40062"," 42777"," 23970"," 49874"," 33312"," 62652"," 26685"," 36999"," 22337"," 51189"," 39913"," 16761"," 17976","   544"," 50278"," 91649"," 48154"," 71191"," 39812"," 68721"," 40216"," 66822"," 22633"," 64973"," 55494"," 38249"," 42152"," 32491"," 19268"," 65066"," 31742"," 38891"," 24983"," 24158"," 34385"," 47538"," 39041","  9112"," 28379"," 69580"," 27152"," 35925"," 21835"," 25609"," 49645"," 43579"," 29171"," 40232"," 25648"," 45730"," 24086"," 24875"," 25548"," 26093"," 28452"," 29416"," 25401"," 22410"," 15747"," 24451"," 36135"," 20612"," 31142"," 30096"," 15405"," 30794"," 27427"," 27922"," 15203"," 35975"," 27292"," 29601"," 22796"," 25823"," 22408"," 21909"," 30600"," 13832"," 31995"," 22418"," 30203"," 11489"," 13420"," 27985"," 33136"," 18654"," 13256"," 17076"," 28526"," 22238"," 16334"," 25242","  2590"," 18475"," 14770"," 29646"," 18478","     2"," 37624"," 13155","  9954"," 22041"," 31282"," 31026"," 31036","  9668","  8414","  9456"," 26237"," 31115"," 20382","  7344"," 26922","  9653"," 30262"," 15996"," 18955"," 42370","  6053"," 16310"," 11715","  3627"
"Observed","283","266","200","319","261","453","212","351","403","303","267","232","307","372","273","270","401","205","306","413","242","247","388","316","241","333","387","304","290","346","198","340","313","319","353","335","212","260","284","386","412","309","237","241","403","113","274","484","331","302","322","194","420","382","355","392","302","298","205","391","420","238","297","219","311","226","287","431","379","238","322","277","296","309","313","274","403"," 24","255","319","149","354","317","242","364","276","381","313","174","306","199","340","238","334","230","344","276","151","186"," 70","396","336","337","369","339","359","342","390","235","364","334","296","254","238","215","397","274","354","133","161","289","382","124"," 95","272","296","198","276","226","230","359","324","182","286","242","245","249","326","212","219","340","401","164","219"," 87","163","329","202","213","251","183","265","156","113","252","271","193","303","132","170","166","107","130"," 89","338","103","223"," 84"," 56","206","377","187"," 93"," 99","240","212","107","170"," 15","101","112","244","237","  2","275","182","162","237","266","294","323","169","150","148","329","278","249","120","268","175","281","213","246","343","105","135","169"," 75"
