"","Sample0696","Sample0697","Sample0636","Sample0682","Sample0653","Sample0698","Sample0660","Sample0621","Sample0614","Sample0637","Sample0673","Sample0670","Sample0647","Sample0709","Sample0623","Sample0630","Sample0632","Sample0640","Sample0622","Sample0701","Sample0678","Sample0671","Sample0612","Sample0676","Sample0710","Sample0690","Sample0654","Sample0685","Sample0659","Sample0668","Sample0619","Sample0658","Sample0674","Sample0650","Sample0613","Sample0606","Sample0692","Sample0655","Sample0663","Sample0611","Sample0620","Sample0687","Sample0681","Sample0652","Sample0677","Sample0608","Sample0641","Sample0683","Sample0669","Sample0665","Sample0695","Sample0645","Sample0643","Sample0672","Sample0661","Sample0649","Sample0615","Sample0680","Sample0642","Sample0628","Sample0684","Sample0679","Sample0639","Sample0666","Sample0616","Sample0629","Sample0638","Sample0626","Sample0617","Sample0657","Sample0633","Sample0686","Sample0607","Sample0694","Sample0693","Sample0689","Sample0635","Sample0702","Sample0675","Sample0625","Sample0627","Sample0648","Sample0656","Sample0605","Sample0644","Sample0691","Sample0624","Sample0631","Sample0651","Sample0667","Sample0610","Sample0634","Sample0664","Sample0688","Sample0699","Sample0618","Sample0609","Sample0662","Sample0646","Sample0036","Sample0087","Sample0107","Sample0038","Sample0075","Sample0123","Sample0027","Sample0023","Sample0083","Sample0014","Sample0100","Sample0052","Sample0025","Sample0050","Sample0056","Sample0120","Sample0012","Sample0046","Sample0070","Sample0018","Sample0016","Sample0022","Sample0042","Sample0063","Sample0049","Sample0026","Sample0121","Sample0007","Sample0116","Sample0091","Sample0047","Sample0045","Sample0034","Sample0033","Sample0040","Sample0086","Sample0111","Sample0060","Sample0094","Sample0015","Sample0062","Sample0113","Sample0017","Sample0053","Sample0117","Sample0024","Sample0035","Sample0059","Sample0011","Sample0057","Sample0103","Sample0097","Sample0069","Sample0037","Sample0115","Sample0073","Sample0044","Sample0019","Sample0066","Sample0088","Sample0030","Sample0099","Sample0089","Sample0068","Sample0020","Sample0067","Sample0032","Sample0114","Sample0054","Sample0098","Sample0071","Sample0090","Sample0021","Sample0102","Sample0001","Sample0013","Sample0101","Sample0093","Sample0065","Sample0104","Sample0106","Sample0055","Sample0010","Sample0041","Sample0085","Sample0061"
"ORIGIN","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root","root"
"GROWTH_STAGE","R6","R6","V2","R6","R3","R6","R3","V2","V2","V2","R3","R3","R3","R6","V2","V2","V2","V2","V2","R6","R6","R3","V2","R3","R6","R6","R3","R6","R3","R3","V2","R3","R3","R3","V2","V2","R6","R3","R3","V2","V2","R6","R6","R3","R6","V2","R3","R6","R3","R3","R6","R3","R3","R3","R3","R3","V2","R6","R3","V2","R6","R6","V2","R3","V2","V2","V2","V2","V2","R3","V2","R6","V2","R6","R6","R6","V2","R6","R3","V2","V2","R3","R3","V2","R3","R6","V2","V2","R3","R3","V2","V2","R3","R6","R6","V2","V2","R3","R3","V2","R6","R6","V2","R2","R6","V2","V2","R6","V2","R6","R2","V2","R2","R2","R6","V2","R2","R2","V2","V2","V2","R2","R2","R2","V2","R6","V2","R6","R6","R2","R2","V2","V2","R2","R6","R6","R2","R6","V2","R2","R6","V2","R2","R6","V2","V2","R2","V2","R2","R6","R6","R2","V2","R6","R2","R2","V2","R2","R6","V2","R6","R6","R2","V2","R2","V2","R6","R2","R6","R2","R6","V2","R6","V2","V2","R6","R6","R2","R6","R6","R2","V2","R2","R6","R2"
"MANAGEMENT","No-Till","No-Till","Organic","Conventional","No-Till","No-Till","No-Till","No-Till","Conventional","Organic","Organic","Organic","Conventional","Organic","No-Till","Organic","Organic","Organic","No-Till","No-Till","Conventional","Organic","Conventional","Organic","Organic","No-Till","No-Till","Conventional","No-Till","Organic","No-Till","No-Till","Organic","Conventional","Conventional","Conventional","No-Till","No-Till","No-Till","Conventional","No-Till","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Conventional","Organic","Organic","No-Till","Conventional","Conventional","Organic","No-Till","Conventional","Conventional","Conventional","Conventional","No-Till","Conventional","Conventional","Organic","Organic","Conventional","Organic","Organic","No-Till","No-Till","No-Till","Organic","Conventional","Conventional","No-Till","No-Till","No-Till","Organic","Organic","Organic","No-Till","No-Till","Conventional","No-Till","Conventional","Conventional","No-Till","No-Till","Organic","Conventional","Organic","Conventional","Organic","No-Till","Conventional","No-Till","No-Till","Conventional","No-Till","Conventional","Organic","Conventional","No-Till","Organic","Organic","Organic","Organic","No-Till","Conventional","No-Till","No-Till","No-Till","No-Till","Conventional","No-Till","Organic","Conventional","Conventional","Organic","No-Till","No-Till","No-Till","Conventional","No-Till","Conventional","Organic","Organic","Conventional","Organic","Conventional","Conventional","Conventional","Organic","Organic","Conventional","Conventional","Organic","No-Till","Conventional","No-Till","No-Till","Organic","No-Till","No-Till","Organic","No-Till","Organic","No-Till","Conventional","No-Till","No-Till","No-Till","Organic","Organic","Organic","Organic","Conventional","No-Till","Organic","Conventional","Organic","No-Till","Conventional","Organic","No-Till","Organic","Organic","Organic","No-Till","No-Till","Organic","Conventional","No-Till","No-Till","Conventional","Conventional","No-Till","Conventional","Organic","No-Till","No-Till","No-Till","Conventional","Conventional","Conventional","No-Till"
"SAMPLE_OR_CONTROL","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"OLD_NAME","R6T2r5Broot","R6T2r5Croot","V2T4r5Broot","R6T1r2Croot","R3T2r1Aroot","R6T2r6Aroot","R3T2r5Broot","V2T2r2Broot","V2T1r6Aroot","V2T4r5Croot","R3T4r5Croot","R3T4r2Croot","R3T1r5Aroot","R6T4r5Broot","V2T2r5Aroot","V2T4r1Broot","V2T4r2Aroot","V2T4r6Croot","V2T2r2Croot","R6T2r6Croot","R6T1r1Broot","R3T4r5Aroot","V2T1r5Broot","R3T4r6Croot","R6T4r5Croot","R6T2r1Broot","R3T2r1Broot","R6T1r5Croot","R3T2r5Aroot","R3T4r2Aroot","V2T2r1Croot","R3T2r2Croot","R3T4r6Aroot","R3T1r6Aroot","V2T1r5Croot","V2T1r1Broot","R6T2r2Aroot","R3T2r1Croot","R3T2r6Broot","V2T1r5Aroot","V2T2r2Aroot","R6T1r6Broot","R6T1r2Broot","R3T1r6Croot","R6T1r1Aroot","V2T1r2Aroot","R3T1r1Aroot","R6T1r5Aroot","R3T4r2Broot","R3T4r1Aroot","R6T2r5Aroot","R3T1r2Broot","R3T1r1Croot","R3T4r5Broot","R3T2r5Croot","R3T1r5Croot","V2T1r6Broot","R6T1r2Aroot","R3T1r1Broot","V2T2r6Croot","R6T1r5Broot","R6T1r1Croot","V2T4r6Broot","R3T4r1Broot","V2T1r6Croot","V2T4r1Aroot","V2T4r6Aroot","V2T2r6Aroot","V2T2r1Aroot","R3T2r2Broot","V2T4r2Broot","R6T1r6Aroot","V2T1r1Croot","R6T2r2Croot","R6T2r2Broot","R6T2r1Aroot","V2T4r5Aroot","R6T4r1Aroot","R3T4r6Broot","V2T2r5Croot","V2T2r6Broot","R3T1r5Broot","R3T2r2Aroot","V2T1r1Aroot","R3T1r2Aroot","R6T2r1Croot","V2T2r5Broot","V2T4r1Croot","R3T1r6Broot","R3T4r1Croot","V2T1r2Croot","V2T4r2Croot","R3T2r6Croot","R6T1r6Croot","R6T2r6Broot","V2T2r1Broot","V2T1r2Broot","R3T2r6Aroot","R3T1r2Croot","T4R6AV2R","T1R2BR6R","T2R6BR6R","T4R6CV2R","T4R6CR2R","T4R6CR6R","T4R1BV2R","T2R6AV2R","T1R1AR6R","T2R1AV2R","T2R2BR6R","T2R1AR2R","T2R6CV2R","T1R6BR2R","T2R2BR2R","T4R5CR6R","T1R6BV2R","T1R5AR2R","T4R5AR2R","T2R2BV2R","T2R1CV2R","T2R5CV2R","T1R1CR2R","T2R6CR2R","T1R6AR2R","T4R1AV2R","T4R6AR6R","T1R5AV2R","T4R2BR6R","T1R5CR6R","T1R5BR2R","T1R2CR2R","T4R5BV2R","T4R5AV2R","T1R1AR2R","T1R2AR6R","T4R1AR6R","T2R5CR2R","T1R6CR6R","T1R1BV2R","T2R6BR2R","NEG16R","T2R2AV2R","T2R1BR2R","T4R2CR6R","T2R6BV2R","T4R5CV2R","T2R5BR2R","T1R6AV2R","T2R2CR2R","T2R5BR6R","T2R1BR6R","T4R2CR2R","T4R6BV2R","T4R2AR6R","T4R6AR2R","T1R2BR2R","T2R2CV2R","T4R1CR2R","T1R2CR6R","T4R2AV2R","T2R2AR6R","T1R5AR6R","T4R2BR2R","T2R5AV2R","T4R2AR2R","T4R2CV2R","T4R1CR6R","T2R1CR2R","T2R1CR6R","T4R5BR2R","T1R5BR6R","T2R5BV2R","T2R5AR6R","T1R1AV2R","T1R6CV2R","T2R2CR6R","T1R6BR6R","T4R1BR2R","T2R5CR6R","T2R1AR6R","T2R2AR2R","T1R5CV2R","T1R1BR2R","T1R1CR6R","T2R6AR2R"
"COLLECTION_YEAR","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"BAR_LABEL","2021 R6 No-Till","2021 R6 No-Till","2021 V2 Organic","2021 R6 Conventional","2021 R3 No-Till","2021 R6 No-Till","2021 R3 No-Till","2021 V2 No-Till","2021 V2 Conventional","2021 V2 Organic","2021 R3 Organic","2021 R3 Organic","2021 R3 Conventional","2021 R6 Organic","2021 V2 No-Till","2021 V2 Organic","2021 V2 Organic","2021 V2 Organic","2021 V2 No-Till","2021 R6 No-Till","2021 R6 Conventional","2021 R3 Organic","2021 V2 Conventional","2021 R3 Organic","2021 R6 Organic","2021 R6 No-Till","2021 R3 No-Till","2021 R6 Conventional","2021 R3 No-Till","2021 R3 Organic","2021 V2 No-Till","2021 R3 No-Till","2021 R3 Organic","2021 R3 Conventional","2021 V2 Conventional","2021 V2 Conventional","2021 R6 No-Till","2021 R3 No-Till","2021 R3 No-Till","2021 V2 Conventional","2021 V2 No-Till","2021 R6 Conventional","2021 R6 Conventional","2021 R3 Conventional","2021 R6 Conventional","2021 V2 Conventional","2021 R3 Conventional","2021 R6 Conventional","2021 R3 Organic","2021 R3 Organic","2021 R6 No-Till","2021 R3 Conventional","2021 R3 Conventional","2021 R3 Organic","2021 R3 No-Till","2021 R3 Conventional","2021 V2 Conventional","2021 R6 Conventional","2021 R3 Conventional","2021 V2 No-Till","2021 R6 Conventional","2021 R6 Conventional","2021 V2 Organic","2021 R3 Organic","2021 V2 Conventional","2021 V2 Organic","2021 V2 Organic","2021 V2 No-Till","2021 V2 No-Till","2021 R3 No-Till","2021 V2 Organic","2021 R6 Conventional","2021 V2 Conventional","2021 R6 No-Till","2021 R6 No-Till","2021 R6 No-Till","2021 V2 Organic","2021 R6 Organic","2021 R3 Organic","2021 V2 No-Till","2021 V2 No-Till","2021 R3 Conventional","2021 R3 No-Till","2021 V2 Conventional","2021 R3 Conventional","2021 R6 No-Till","2021 V2 No-Till","2021 V2 Organic","2021 R3 Conventional","2021 R3 Organic","2021 V2 Conventional","2021 V2 Organic","2021 R3 No-Till","2021 R6 Conventional","2021 R6 No-Till","2021 V2 No-Till","2021 V2 Conventional","2021 R3 No-Till","2021 R3 Conventional","2018 V2 Organic","2018 R6 Conventional","2018 R6 No-Till","2018 V2 Organic","2018 R2 Organic","2018 R6 Organic","2018 V2 Organic","2018 V2 No-Till","2018 R6 Conventional","2018 V2 No-Till","2018 R6 No-Till","2018 R2 No-Till","2018 V2 No-Till","2018 R2 Conventional","2018 R2 No-Till","2018 R6 Organic","2018 V2 Conventional","2018 R2 Conventional","2018 R2 Organic","2018 V2 No-Till","2018 V2 No-Till","2018 V2 No-Till","2018 R2 Conventional","2018 R2 No-Till","2018 R2 Conventional","2018 V2 Organic","2018 R6 Organic","2018 V2 Conventional","2018 R6 Organic","2018 R6 Conventional","2018 R2 Conventional","2018 R2 Conventional","2018 V2 Organic","2018 V2 Organic","2018 R2 Conventional","2018 R6 Conventional","2018 R6 Organic","2018 R2 No-Till","2018 R6 Conventional","2018 V2 No-Till","2018 R2 No-Till","2018 R6 Organic","2018 V2 No-Till","2018 R2 No-Till","2018 R6 Organic","2018 V2 No-Till","2018 V2 Organic","2018 R2 No-Till","2018 V2 Conventional","2018 R2 No-Till","2018 R6 No-Till","2018 R6 No-Till","2018 R2 Organic","2018 V2 Organic","2018 R6 Organic","2018 R2 Organic","2018 R2 Conventional","2018 V2 No-Till","2018 R2 Organic","2018 R6 Conventional","2018 V2 Organic","2018 R6 No-Till","2018 R6 Conventional","2018 R2 Organic","2018 V2 No-Till","2018 R2 Organic","2018 V2 Organic","2018 R6 Organic","2018 R2 No-Till","2018 R6 No-Till","2018 R2 Organic","2018 R6 Conventional","2018 V2 No-Till","2018 R6 No-Till","2018 V2 Conventional","2018 V2 Conventional","2018 R6 No-Till","2018 R6 Conventional","2018 R2 Organic","2018 R6 No-Till","2018 R6 No-Till","2018 R2 No-Till","2018 V2 Conventional","2018 R2 Conventional","2018 R6 Conventional","2018 R2 No-Till"
"is.neg","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"readNO","121440","130513","304138"," 60360"," 42076"," 61103"," 82669"," 36140"," 85088"," 10140","149705"," 87281","100852","164632","124079"," 96980"," 76534","101577","105012","155773"," 72607","201857"," 82299","166659"," 82444"," 50334"," 29444"," 82148"," 24007"," 96812"," 99443","254193"," 74369"," 87891"," 24846","165030","188879","265946","183021","148689","143602"," 66686","155223","358405"," 36862"," 42271","131738"," 93918"," 68290","198275"," 73880"," 92654"," 61661","135775"," 30338"," 86325"," 74614"," 81629"," 71249","134464","142153"," 17833"," 52539"," 85430","156174"," 70143"," 59084"," 35369"," 25919"," 79084"," 79608"," 25116"," 33174"," 32903"," 20849","100921"," 93660"," 44898"," 39723"," 86159"," 45494"," 24651"," 67222"," 23537","129354"," 66252"," 27098"," 51700"," 73990"," 59334"," 17389"," 31639"," 11918"," 18795"," 37081"," 14479"," 19540","  9668"," 11795"," 44216"," 55547"," 31621"," 42496"," 25791"," 73644"," 13742"," 17265"," 20694"," 44388"," 10480"," 40696"," 37433"," 42952"," 65006"," 29038"," 10353"," 12695"," 31634"," 11890"," 14740"," 18422"," 35899"," 50730"," 10680"," 41454"," 21651","  9356"," 32572","  8837"," 14692"," 19817"," 20167"," 42923"," 23025"," 31245"," 33590"," 27295"," 28280"," 57326"," 28978","  4854"," 27998"," 43409","  8967"," 12090"," 45378"," 15852"," 17176"," 39794","  9742"," 18569"," 21490"," 27694"," 26319"," 41627"," 37324"," 24460"," 14719"," 25415"," 11032"," 12205"," 25386"," 28401"," 11088","  4407"," 11363"," 20054"," 10349"," 10756","  8551"," 42221"," 13909"," 12986"," 12563"," 14214"," 10971"," 11592","  8804"," 20048","  9868","  3171"," 12493","  4420"," 11167","  7019"
"Observed","192","298","228","290","155","199","363","260","295","112","401","291","243","213","330","268","173","192","189","285","113","194","440","281","335","237","183","118","314","316","354","365","277","304","211","258","399","253","212","246","357","198","293","427"," 76","261","243","166","167","302","198","245","166","184","245","470","199","140","286","275","281","150","278","244","238","208","165","203","215","339","258"," 84","164","150"," 44","319","300","192","169","175","235","206","162","137","303","154","123","190","167","294","113","183","115"," 73","152","185","234","165","116","277","188","252","275","159","322","156","156","257","404","207","120","131","124","181","294","117","121","164","112","341","161","178","159"," 38","154","350","179","315","241","249","149","289","123","178","437","268","151","348","388"," 92","257","174","145","491","150","146","138","641"," 62","115","232"," 86","136","327","222","125","139"," 89","136","164","258","285","124","228"," 67","326","197"," 42","333"," 80","271","101","456","536","349","490","394"," 94","196","263"," 41","337"," 77","346"," 97"
