"","Sample0759","Sample0735","Sample0720","Sample0760","Sample0761","Sample0751","Sample0747","Sample0800","Sample0793","Sample0743","Sample0748","Sample0766","Sample0718","Sample0737","Sample0768","Sample0758","Sample0805","Sample0807","Sample0770","Sample0810","Sample0746","Sample0736","Sample0774","Sample0753","Sample0782","Sample0796","Sample0732","Sample0750","Sample0769","Sample0727","Sample0795","Sample0764","Sample0777","Sample0717","Sample0744","Sample0778","Sample0787","Sample0767","Sample0726","Sample0752","Sample0755","Sample0754","Sample0785","Sample0783","Sample0729","Sample0803","Sample0780","Sample0792","Sample0745","Sample0749","Sample0786","Sample0721","Sample0788","Sample0757","Sample0809","Sample0779","Sample0808","Sample0728","Sample0784","Sample0742","Sample0789","Sample0791","Sample0734","Sample0806","Sample0797","Sample0741","Sample0762","Sample0804","Sample0790","Sample0756","Sample0719","Sample0763","Sample0776","Sample0794","Sample0738","Sample0723","Sample0725","Sample0765","Sample0799","Sample0798","Sample0730","Sample0781","Sample0801","Sample0731","Sample0740","Sample0722","Sample0772","Sample0802","Sample0771","Sample0739","Sample0724","Sample0823","Sample0822","Sample0815","Sample0814","Sample0264","Sample0245","Sample0229","Sample0199","Sample0203","Sample0265","Sample0262","Sample0171","Sample0212","Sample0163","Sample0253","Sample0263","Sample0204","Sample0244","Sample0260","Sample0142","Sample0148","Sample0235","Sample0261","Sample0175","Sample0157","Sample0178","Sample0205","Sample0202","Sample0241","Sample0233","Sample0231","Sample0208","Sample0143","Sample0206","Sample0240","Sample0242","Sample0250","Sample0257","Sample0239","Sample0154","Sample0243","Sample0197","Sample0247","Sample0246","Sample0158","Sample0172","Sample0149","Sample0190","Sample0146","Sample0230","Sample0209","Sample0179","Sample0152","Sample0200","Sample0166","Sample0186","Sample0159","Sample0196","Sample0161","Sample0232","Sample0193","Sample0165","Sample0207","Sample0168","Sample0192","Sample0173","Sample0181","Sample0177","Sample0153","Sample0169","Sample0216","Sample0167","Sample0182","Sample0185","Sample0249","Sample0174","Sample0195","Sample0183","Sample0147","Sample0150","Sample0198","Sample0228","Sample0160"
"ORIGIN","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil","soil"
"GROWTH_STAGE","R3","V2","V2","R3","R3","V2","V2","R6","R6","V2","V2","R3","V2","V2","R3","R3","R6","R6","R3","R6","V2","V2","R3","R3","R3","R6","V2","V2","R3","V2","R6","R3","R3","V2","V2","R3","R3","R3","V2","R3","R3","R3","R3","R3","V2","R6","R3","R6","V2","V2","R3","V2","R6","R3","R6","R3","R6","V2","R3","V2","R6","R6","V2","R6","R6","V2","R3","R6","R6","R3","V2","R3","R3","R6","V2","V2","V2","R3","R6","R6","V2","R3","R6","V2","V2","V2","R3","R6","R3","V2","V2","R6","R6","R6","R6","R6","R6","R6","R2","R2","R6","R6","V2","R2","V2","R6","R6","R2","R6","R6","V2","V2","R6","R6","V2","V2","V2","R2","R2","R6","R6","R6","R2","V2","R2","R6","R6","R6","R6","R6","V2","R6","R2","R6","R6","V2","V2","V2","R2","V2","R6","R2","V2","V2","R2","V2","R2","V2","R2","V2","R6","R2","V2","R2","V2","R2","V2","R2","V2","V2","V2","R2","V2","R2","R2","R6","V2","R2","R2","V2","V2","R2","R6","V2"
"MANAGEMENT","Conventional","No-Till","Conventional","Conventional","Conventional","Organic","Organic","No-Till","Conventional","Organic","Organic","No-Till","Conventional","No-Till","No-Till","Conventional","No-Till","No-Till","No-Till","No-Till","Organic","No-Till","No-Till","Conventional","Organic","Conventional","No-Till","Organic","No-Till","Conventional","Conventional","No-Till","Organic","Conventional","Organic","Organic","Organic","No-Till","Conventional","Conventional","Conventional","Conventional","Organic","Organic","No-Till","No-Till","Organic","Conventional","Organic","Organic","Organic","Conventional","Conventional","Conventional","No-Till","Organic","No-Till","No-Till","Organic","Organic","Conventional","Conventional","No-Till","No-Till","Conventional","Organic","Conventional","No-Till","Conventional","Conventional","Conventional","Conventional","Organic","Conventional","No-Till","Conventional","Conventional","No-Till","Conventional","Conventional","No-Till","Organic","No-Till","No-Till","Organic","Conventional","No-Till","No-Till","No-Till","No-Till","Conventional","Organic","Organic","Organic","No-Till","Organic","No-Till","Conventional","No-Till","No-Till","Organic","Organic","Organic","Organic","No-Till","Organic","Organic","No-Till","No-Till","Organic","Conventional","Conventional","Conventional","Organic","Organic","No-Till","Organic","Organic","No-Till","No-Till","Conventional","Conventional","Organic","No-Till","Organic","No-Till","No-Till","No-Till","Organic","No-Till","Conventional","No-Till","No-Till","No-Till","No-Till","No-Till","Organic","Conventional","Conventional","Conventional","Conventional","Organic","Organic","Conventional","No-Till","No-Till","Conventional","No-Till","No-Till","No-Till","Conventional","No-Till","No-Till","Organic","Organic","Conventional","Organic","Conventional","Organic","Conventional","Organic","Organic","Organic","Conventional","Conventional","No-Till","Organic","No-Till","Conventional","Conventional","Conventional","No-Till","Conventional","No-Till"
"SAMPLE_OR_CONTROL","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"OLD_NAME","R3T1r5Bsoil","V2T2r5Bsoil","V2T1r2Bsoil","R3T1r5Csoil","R3T1r6Asoil","V2T4r6Csoil","V2T4r5Bsoil","R6T2r1Asoil","R6T1r2Csoil","V2T4r2Asoil","V2T4r5Csoil","R3T2r1Csoil","V2T1r1Csoil","V2T2r6Asoil","R3T2r2Bsoil","R3T1r5Asoil","R6T2r2Csoil","R6T2r5Bsoil","R3T2r5Asoil","R6T2r6Bsoil","V2T4r5Asoil","V2T2r5Csoil","R3T2r6Bsoil","R3T1r1Bsoil","R3T4r5Asoil","R6T1r5Csoil","V2T2r2Bsoil","V2T4r6Bsoil","R3T2r2Csoil","V2T1r6Csoil","R6T1r5Bsoil","R3T2r1Asoil","R3T4r1Bsoil","V2T1r1Bsoil","V2T4r2Bsoil","R3T4r1Csoil","R3T4r6Csoil","R3T2r2Asoil","V2T1r6Bsoil","R3T1r1Asoil","R3T1r2Asoil","R3T1r1Csoil","R3T4r6Asoil","R3T4r5Bsoil","V2T2r1Bsoil","R6T2r2Asoil","R3T4r2Bsoil","R6T1r2Bsoil","V2T4r2Csoil","V2T4r6Asoil","R3T4r6Bsoil","V2T1r2Csoil","R6T1r1Asoil","R3T1r2Csoil","R6T2r6Asoil","R3T4r2Asoil","R6T2r5Csoil","V2T2r1Asoil","R3T4r5Csoil","V2T4r1Csoil","R6T1r1Bsoil","R6T1r2Asoil","V2T2r5Asoil","R6T2r5Asoil","R6T1r6Asoil","V2T4r1Bsoil","R3T1r6Bsoil","R6T2r2Bsoil","R6T1r1Csoil","R3T1r2Bsoil","V2T1r2Asoil","R3T1r6Csoil","R3T4r1Asoil","R6T1r5Asoil","V2T2r6Bsoil","V2T1r5Bsoil","V2T1r6Asoil","R3T2r1Bsoil","R6T1r6Csoil","R6T1r6Bsoil","V2T2r1Csoil","R3T4r2Csoil","R6T2r1Bsoil","V2T2r2Asoil","V2T4r1Asoil","V2T1r5Asoil","R3T2r5Csoil","R6T2r1Csoil","R3T2r5Bsoil","V2T2r6Csoil","V2T1r5Csoil","R6T4r5Csoil","R6T4r5Bsoil","R6T4r1Asoil","R6T2r6Csoil","T4R6BR6S","T2R5BR6S","T1R2BR6S","T2R5AR2S","T2R6BR2S","T4R6CR6S","T4R5CR6S","T4R2AV2S","T4R5BR2S","T2R5CV2S","T4R1AR6S","T4R6AR6S","T2R6CR2S","T2R5AR6S","T4R5AR6S","T1R1AV2S","T1R5AV2S","T1R6BR6S","T4R5BR6S","T4R5BV2S","T2R1CV2S","T4R6BV2S","T4R1AR2S","T2R6AR2S","T2R2AR6S","T1R5CR6S","T1R5AR6S","T4R2AR2S","T2R1BV2S","T4R1BR2S","T2R1CR6S","T2R2BR6S","T2R6CR6S","T4R2AR6S","T2R1BR6S","T1R6CV2S","T2R2CR6S","T2R2BR2S","T2R6AR6S","T2R5CR6S","T2R2AV2S","T4R2BV2S","T1R5BV2S","T1R6AR2S","T1R2BV2S","T1R2CR6S","T4R2BR2S","T4R6CV2S","T1R6AV2S","T2R5BR2S","T2R6CV2S","T1R2CR2S","T2R2BV2S","T2R2AR2S","T2R5AV2S","T1R5BR6S","T2R1AR2S","T2R6BV2S","T4R1CR2S","T4R1BV2S","T1R6CR2S","T4R2CV2S","T1R1AR2S","T4R6AV2S","T1R6BV2S","T4R1CV2S","T4R6CR2S","T4R1AV2S","T1R1BR2S","T1R2BR2S","T2R6BR6S","T4R5AV2S","T2R1CR2S","T1R1CR2S","T1R2CV2S","T1R5CV2S","T2R2CR2S","T1R2AR6S","T2R2CV2S"
"COLLECTION_YEAR","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"BAR_LABEL","2021 R3 Conventional","2021 V2 No-Till","2021 V2 Conventional","2021 R3 Conventional","2021 R3 Conventional","2021 V2 Organic","2021 V2 Organic","2021 R6 No-Till","2021 R6 Conventional","2021 V2 Organic","2021 V2 Organic","2021 R3 No-Till","2021 V2 Conventional","2021 V2 No-Till","2021 R3 No-Till","2021 R3 Conventional","2021 R6 No-Till","2021 R6 No-Till","2021 R3 No-Till","2021 R6 No-Till","2021 V2 Organic","2021 V2 No-Till","2021 R3 No-Till","2021 R3 Conventional","2021 R3 Organic","2021 R6 Conventional","2021 V2 No-Till","2021 V2 Organic","2021 R3 No-Till","2021 V2 Conventional","2021 R6 Conventional","2021 R3 No-Till","2021 R3 Organic","2021 V2 Conventional","2021 V2 Organic","2021 R3 Organic","2021 R3 Organic","2021 R3 No-Till","2021 V2 Conventional","2021 R3 Conventional","2021 R3 Conventional","2021 R3 Conventional","2021 R3 Organic","2021 R3 Organic","2021 V2 No-Till","2021 R6 No-Till","2021 R3 Organic","2021 R6 Conventional","2021 V2 Organic","2021 V2 Organic","2021 R3 Organic","2021 V2 Conventional","2021 R6 Conventional","2021 R3 Conventional","2021 R6 No-Till","2021 R3 Organic","2021 R6 No-Till","2021 V2 No-Till","2021 R3 Organic","2021 V2 Organic","2021 R6 Conventional","2021 R6 Conventional","2021 V2 No-Till","2021 R6 No-Till","2021 R6 Conventional","2021 V2 Organic","2021 R3 Conventional","2021 R6 No-Till","2021 R6 Conventional","2021 R3 Conventional","2021 V2 Conventional","2021 R3 Conventional","2021 R3 Organic","2021 R6 Conventional","2021 V2 No-Till","2021 V2 Conventional","2021 V2 Conventional","2021 R3 No-Till","2021 R6 Conventional","2021 R6 Conventional","2021 V2 No-Till","2021 R3 Organic","2021 R6 No-Till","2021 V2 No-Till","2021 V2 Organic","2021 V2 Conventional","2021 R3 No-Till","2021 R6 No-Till","2021 R3 No-Till","2021 V2 No-Till","2021 V2 Conventional","2021 R6 Organic","2021 R6 Organic","2021 R6 Organic","2021 R6 No-Till","2018 R6 Organic","2018 R6 No-Till","2018 R6 Conventional","2018 R2 No-Till","2018 R2 No-Till","2018 R6 Organic","2018 R6 Organic","2018 V2 Organic","2018 R2 Organic","2018 V2 No-Till","2018 R6 Organic","2018 R6 Organic","2018 R2 No-Till","2018 R6 No-Till","2018 R6 Organic","2018 V2 Conventional","2018 V2 Conventional","2018 R6 Conventional","2018 R6 Organic","2018 V2 Organic","2018 V2 No-Till","2018 V2 Organic","2018 R2 Organic","2018 R2 No-Till","2018 R6 No-Till","2018 R6 Conventional","2018 R6 Conventional","2018 R2 Organic","2018 V2 No-Till","2018 R2 Organic","2018 R6 No-Till","2018 R6 No-Till","2018 R6 No-Till","2018 R6 Organic","2018 R6 No-Till","2018 V2 Conventional","2018 R6 No-Till","2018 R2 No-Till","2018 R6 No-Till","2018 R6 No-Till","2018 V2 No-Till","2018 V2 Organic","2018 V2 Conventional","2018 R2 Conventional","2018 V2 Conventional","2018 R6 Conventional","2018 R2 Organic","2018 V2 Organic","2018 V2 Conventional","2018 R2 No-Till","2018 V2 No-Till","2018 R2 Conventional","2018 V2 No-Till","2018 R2 No-Till","2018 V2 No-Till","2018 R6 Conventional","2018 R2 No-Till","2018 V2 No-Till","2018 R2 Organic","2018 V2 Organic","2018 R2 Conventional","2018 V2 Organic","2018 R2 Conventional","2018 V2 Organic","2018 V2 Conventional","2018 V2 Organic","2018 R2 Organic","2018 V2 Organic","2018 R2 Conventional","2018 R2 Conventional","2018 R6 No-Till","2018 V2 Organic","2018 R2 No-Till","2018 R2 Conventional","2018 V2 Conventional","2018 V2 Conventional","2018 R2 No-Till","2018 R6 Conventional","2018 V2 No-Till"
"is.neg","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"readNO"," 49437"," 19554"," 36937"," 61223"," 74110"," 56245"," 35687"," 60430"," 63513"," 32649"," 25207","135099"," 64028"," 42238"," 28603"," 65026"," 51776"," 39131"," 17316"," 43920"," 17697"," 13286"," 42069"," 40612"," 43255"," 32216"," 21927"," 56241"," 61107"," 45874"," 62467"," 27634"," 57513"," 32036"," 30560"," 41707"," 45122","  5826"," 47482"," 50193"," 36232"," 36801"," 45188"," 40206"," 25320"," 12163"," 28307","  7680"," 41608"," 44214"," 42751"," 48278"," 14861"," 26746"," 33902"," 33056"," 46469"," 10301"," 33375"," 62526"," 23609"," 43693"," 42493"," 52513"," 14620"," 33626"," 27027"," 30380"," 24829"," 28788"," 29182"," 31007"," 36472"," 20913"," 31078"," 18161"," 18299"," 21499"," 18568"," 51708"," 19364"," 16528"," 37472"," 33136"," 10889"," 24738"," 19999"," 11929"," 16566"," 12644","  6588"," 31082"," 31022"," 24752"," 11005"," 26198"," 32465"," 21077"," 41230"," 44707"," 30788"," 28302"," 18834"," 27260"," 16037"," 19947"," 26730"," 28519"," 35520"," 53355"," 10610"," 21767"," 32771"," 54416"," 24025"," 14517"," 19178"," 55676"," 18350"," 42777","  5852"," 25688"," 19823"," 16927"," 43929"," 30644"," 64757"," 24914"," 45876"," 23072"," 22280"," 50752"," 16759"," 21333"," 25299","  9725"," 26965"," 16906"," 13807"," 16612"," 15412"," 39497"," 21135"," 14077"," 28660"," 11997"," 11421","  9701","  8864","  7419"," 24351"," 11439"," 13658"," 44450"," 15454"," 15507"," 20352"," 14474"," 11661"," 19891"," 17745"," 32754"," 11493"," 15375"," 15513"," 30415"," 14625"," 12419"," 13620"," 18769"," 16518"," 23313"," 11423","  7323"
"Observed","284","189","142","181","282","208","199","139","379","150","233","231","289","194","271","215","215","206","214","150","214"," 70","231","339","236","306","262","145","333","371","281","163","154","201","285","197","245","164","324","290","311","332","199","124","121","204","214"," 56","476","407","344","175","163","212","249","148","222"," 77","150","169","211","105","190","256","201","248","246","174","163","311","160","204","224","124","290","222","174","260","243","205","173","229","172","216","171","152","182","142","119","230","212","252","319","227","205","589","604","371","496"," 30","558","553","405","478","417","206","562","419","463","639","343","428","195","620","500","401","503","431","133","530"," 13","279","129","449","468","561","568","533","650","587","510","651","387","483","515","368","438","449","429","479","153","457","535","426","725","352","342","341","382","388","369","261","400","537","473","469","481","429","494","429","462","513","304","370","409","553","482","459","318","448","507","407"," 19","361"
