,Sample0547,Sample0528,Sample0522,Sample0588,Sample0538,Sample0509,Sample0554,Sample0541,Sample0579,Sample0556,Sample0527,Sample0570,Sample0530,Sample0543,Sample0571,Sample0565,Sample0532,Sample0496,Sample0553,Sample0504,Sample0499,Sample0525,Sample0502,Sample0516,Sample0523,Sample0524,Sample0560,Sample0564,Sample0536,Sample0534,Sample0546,Sample0557,Sample0550,Sample0582,Sample0575,Sample0586,Sample0545,Sample0513,Sample0537,Sample0552,Sample0501,Sample0548,Sample0578,Sample0503,Sample0549,Sample0577,Sample0521,Sample0517,Sample0533,Sample0497,Sample0587,Sample0581,Sample0494,Sample0566,Sample0544,Sample0591,Sample0510,Sample0506,Sample0585,Sample0559,Sample0583,Sample0558,Sample0500,Sample0598,Sample0535,Sample0563,Sample0531,Sample0584,Sample0567,Sample0580,Sample0520,Sample0569,Sample0561,Sample0526,Sample0562,Sample0495,Sample0573,Sample0599,Sample0542,Sample0512,Sample0576,Sample0505,Sample0498,Sample0529,Sample0540,Sample0574,Sample0551,Sample0590,Sample0507,Sample0519,Sample0518,Sample0508,Sample0568,Sample0539,Sample0511,Sample0572,Sample0514,Sample0515,Sample0555,Sample0600,Sample0133,Sample0136,Sample0135,Sample0141,Sample0132,Sample0139,Sample0131,Sample0140,Sample0130,Sample0138,Sample0137,Sample0134,Sample0278,Sample0284,Sample0307,Sample0267,Sample0310,Sample0283,Sample0337,Sample0319,Sample0285,Sample0281,Sample0303,Sample0293,Sample0317,Sample0266,Sample0338,Sample0328,Sample0273,Sample0321,Sample0282,Sample0268,Sample0339,Sample0270,Sample0279,Sample0269,Sample0313,Sample0286,Sample0316,Sample0308,Sample0323,Sample0289,Sample0331,Sample0325,Sample0302,Sample0336,Sample0287,Sample0309,Sample0326,Sample0305,Sample0322,Sample0324,Sample0330,Sample0335,Sample0318,Sample0271,Sample0320,Sample0277,Sample0295,Sample0329,Sample0332,Sample0300,Sample0301,Sample0340,Sample0290,Sample0297,Sample0315,Sample0296,Sample0299,Sample0274,Sample0288,Sample0272,Sample0292,Sample0334,Sample0280,Sample0312,Sample0333,Sample0327,Sample0306,Sample0298,Sample0291,Sample0276,Sample0314,Sample0311,Sample0472,Sample0487,Sample0488,Sample0475,Sample0471,Sample0470,Sample0467,Sample0492,Sample0484,Sample0493,Sample0466,Sample0477,Sample0474,Sample0482,Sample0478,Sample0485,Sample0473,Sample0486,Sample0469,Sample0468,Sample0490,Sample0481,Sample0491,Sample0489,#OFREADS?
OTU_9,999,1009,737,284,1268,276,1360,254,936,100,7596,631,1094,12434,563,116,324,1168,968,1342,345,86,59659,115,365,152,1346,204,1744,8977,786,246,6610,6403,3233,2067,459,607,842,1563,305,128,1128,3166,307,201,820,269,278,1421,478,112,8945,12225,977,335,2506,762,1309,11090,6058,3004,248,170,5311,589,1026,442,4065,192,1849,689,716,6241,931,5237,576,2,5007,2017,495,648,966,606,215,3784,8371,405,387,6031,3711,272,417,590,2645,683,675,720,360,3,259,499,113,118,134,173,218,196,63,239,91,154,1818,761,267,3252,524,857,492,592,831,979,679,598,529,915,465,438,1000,416,974,932,781,1110,843,866,452,663,506,869,423,1017,486,643,707,1062,851,377,306,791,178,253,278,615,483,1448,399,2056,855,585,960,289,613,242,1079,567,338,138,328,643,1335,819,480,525,859,374,390,531,0,440,477,1635,205,0,60,20,14,8,52,46,39,10,10,15,33,41,14,4,12,53,22,11,7,50,2,0,18,0,59659
OTU_72,23,37,788,8,189,303,509,173,35,7,35,235,1059,80,25,1108,17,137,14,37,0,52,97,18,0,44,51,71,16,41,98,68,58,66,376,821,135,100,113,7,285,13,68,66,186,0,95,297,10,243,34,35,389,179,0,132,39,436,198,352,246,62,26,132,176,13,18,4,109,0,28,477,14,42,123,160,721,0,65,62,22,30,809,251,10,167,246,535,14,53,186,42,0,17,103,1,1877,0,0,1,29,192,136,77,0,103,0,15,0,103,9,66,45,0,12,925,0,134,11,22,0,700,0,0,668,53,0,31,0,155,204,0,9,113,66,580,0,59,155,43,320,354,0,16,0,173,20,9,25,182,0,46,843,0,0,151,69,168,0,88,3,20,0,0,553,0,3289,0,0,0,479,72,41,0,982,0,11,0,0,85,0,17,10,0,6,0,24,4,231,4,40,0,0,2,32,4,31,0,72,6,0,6,11,56,9,16,19,0,3289
OTU_13,9177,14,54,1217,6738,4901,67,420,0,1943,0,205,326,0,6,2482,684,1,0,4,16,15300,0,2739,18435,224,0,1514,18,94,0,3194,0,1,0,73,66,0,388,0,761,4492,1,1,800,17,53,577,589,27,63,1348,0,0,0,89,0,644,0,0,1,0,7850,1297,0,52,2081,1,0,196,28,907,230,0,1384,0,3759,0,0,0,0,0,514,28,853,0,1,447,0,1,1,2522,0,1860,1,830,381,142,216,1,3990,6706,1084,2979,228,1382,907,173,576,193,5134,786,0,0,30,42,1554,0,86,271,0,21,213,0,616,0,235,304,0,34,25,0,201,0,10,26,223,0,1352,91,14,41,486,0,0,91,0,99,42,0,0,379,85,29,101,0,16,16,0,107,147,0,0,0,0,0,57,0,0,0,18,0,0,0,71,29,231,341,0,0,0,0,265,0,2278,381,226,10867,1530,125,482,94,112,42,538,750,255,132,424,110,205,32,281,639,402,1781,42,1042,18435
OTU_4,6447,5440,8384,2381,10799,2707,5560,1900,5686,2262,10079,6036,13086,5548,3879,1220,4195,4572,4826,3764,4625,1962,7086,2539,3429,2957,4594,2024,9225,10940,5537,1845,5204,4534,3857,8813,10114,3835,5828,4260,2077,2042,4998,18946,1675,2468,8687,3181,1351,4601,2829,926,6125,13717,5615,4814,2251,5033,7582,9801,5704,1732,3587,1584,12105,1839,6015,3145,3296,2647,7409,5322,3871,20758,4621,9633,3483,1,9425,6993,2514,5174,8371,3355,4989,2737,8813,2125,2568,14028,5888,5742,3232,4451,4652,4611,4726,2504,2127,19,4718,19649,5800,4737,4740,5776,4671,6503,2370,18611,20624,2805,923,1573,1485,4171,3053,1890,4853,2268,3518,3075,4272,1425,1892,2887,4976,3966,788,1339,3430,1710,5016,1380,2159,2608,923,1325,1676,1650,3147,2534,2726,1670,2239,4813,2866,1424,3088,1890,1679,2101,3799,3451,1904,3123,1729,832,2510,3139,3985,2970,6575,2437,2172,2727,1961,2491,953,1663,2658,1280,1776,2890,2726,1664,3706,1149,0,7703,1883,948,2421,0,2835,994,613,689,1519,7788,1853,605,659,619,3762,1209,1380,782,1764,1002,1862,1183,1707,2803,341,643,774,178,20758
OTU_12,2950,97,1916,5792,2045,14145,2470,13571,1849,5211,4,1879,2411,10,1639,17740,8525,46,1403,26,2057,10215,6,9825,1410,7145,42,4297,109,2,1841,11844,0,17,2,1698,511,596,1346,53,14827,7908,1559,0,11985,380,1536,13059,12163,1317,2411,7380,15,1,33,15440,4,1212,966,1,1,1,7303,15230,1,1268,6010,31,0,7266,185,1468,1596,0,1029,2,21150,1,1,64,45,771,1793,1758,4144,0,0,6644,786,1,0,12057,33,4143,2,6722,1652,1117,96,25,3554,6427,5475,9224,3131,4813,1623,8254,991,1741,4123,4124,203,52,426,248,1043,224,378,484,85,263,288,83,988,144,1211,653,139,958,185,238,938,86,114,68,929,84,1310,443,635,189,1385,902,61,792,88,397,547,1027,430,1195,914,429,940,114,875,145,393,841,784,357,324,289,153,452,403,39,0,113,207,155,61,354,157,540,260,710,0,89,66,282,315,0,6760,3687,1222,2980,5102,4296,4805,2992,928,2534,5282,5327,4609,977,4448,1467,4779,3152,2169,9319,674,2366,3925,572,21150
OTU_6544,0,0,43,17,0,3,453,10,0,0,5,19,20,0,0,782,488,0,0,0,0,0,0,8,23,41,0,4,0,0,0,0,0,10,0,0,143,31,75,0,41,17,184,0,119,0,98,315,9,3,0,40,0,2,0,89,0,0,0,3,0,13,0,0,0,0,0,0,12,0,2,404,1,0,31,0,1,0,0,0,0,19,173,47,56,0,2,17,0,7,0,3,0,0,0,11,32,23,0,0,77,36,355,17,20,3071,38,115,0,1,5,156,0,67,39,0,30,0,0,0,0,222,0,0,144,0,0,92,0,1,0,13,36,312,19,0,19,27,0,24,0,187,0,0,0,0,46,100,24,0,0,144,0,0,0,0,0,260,0,53,14,0,0,0,139,0,168,0,0,14,171,0,0,0,2,0,60,57,0,0,0,24,71,0,19,0,0,0,156,92,11,7,0,10,4,603,5,0,14,3,0,4,6,26,0,0,52,0,3071
OTU_1060,0,0,0,0,0,0,0,22,0,0,0,0,48,4,0,15,5,0,0,0,0,0,0,26,0,0,0,18,0,0,116,5,0,0,0,0,0,0,0,0,15,21,0,3,0,0,0,24,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,8,0,0,19,0,11,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,22,5,0,0,0,0,0,0,0,0,0,4,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,40,11,0,0,64,0,0,1,15,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,42,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,8,0,1,0,0,0,0,22,0,0,0,0,215
OTU_5,24109,8881,854,1778,719,18,771,147,12165,1239,945,225,3332,2301,14300,92,2555,4109,11953,22696,24404,191,10738,2996,2010,2820,25213,161,6506,6360,523,135,3701,4556,1277,689,12225,13119,2029,23263,497,471,329,545,191,3827,9621,561,256,14458,18463,199,33949,8106,18221,3462,8604,316,7412,1160,762,3929,2124,1795,3073,16679,3040,25934,777,412,6690,19006,4410,4029,391,836,402,3,2642,17757,7610,12557,321,6160,1309,6026,1982,67,7136,1519,4859,1472,9006,4595,623,368,501,3109,6742,108,79,513,357,696,728,659,251,231,418,502,124,19,1351,39,342,143,128,164,725,251,34,38,246,523,612,2005,511,84,406,0,523,1773,227,587,0,362,268,162,141,386,68,289,132,0,760,822,79,620,824,275,137,133,29,753,138,766,80,300,2375,476,114,594,980,376,1,2,453,55,0,759,14,222,1118,25,0,139,241,47,0,82,704,2102,608,0,25,25,28,55,109,16,266,68,36,85,72,12,142,74,98,220,269,34,47,36,0,21,13,0,33949
OTU_21,676,190,706,770,48,1629,430,1287,178,595,28,605,686,113,619,5815,1367,7,222,21,379,2148,55,752,618,1188,36,710,74,207,201,1602,7,178,7,688,395,104,349,20,2572,471,301,63,2050,82,709,1240,310,210,370,309,45,85,39,7614,17,648,245,40,16,9,1926,2929,25,221,333,24,33,225,94,642,86,236,157,59,2456,0,57,41,0,31,735,350,727,14,62,593,156,55,115,1917,17,349,34,408,310,400,142,6,814,5100,1241,4855,1832,2039,1125,710,221,4149,2709,516,250,295,174,638,399,155,1115,357,76,1298,370,239,860,254,4042,556,178,610,334,155,3097,1062,87,80,431,166,493,1069,344,300,1350,180,251,1660,67,403,309,368,211,393,2254,5218,383,230,338,954,654,1489,1093,396,2791,471,1303,323,447,60,37,210,664,1489,42,372,272,481,319,258,0,475,98,192,472,0,1889,260,423,82,667,438,1111,336,429,311,477,850,784,112,1315,823,637,1067,895,1621,294,479,534,70,7614
OTU_291,0,10,0,0,0,52,0,0,0,18,60,0,45,39,0,123,9,4,0,5,0,31,176,11,0,0,0,0,0,13,0,28,60,19,16,35,0,5,0,0,45,0,116,27,9,0,40,39,0,0,9,17,65,149,0,6,118,0,0,8,21,12,28,0,20,0,23,4,16,0,0,0,4,41,0,86,28,0,17,12,0,40,100,29,3,33,4,0,32,38,0,4,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,52,0,0,0,0,0,0,0,11,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,29,0,0,0,0,0,0,0,0,0,17,28,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,176
