,Sample0918,Sample0921,Sample0872,Sample0916,Sample0849,Sample0832,Sample0868,Sample0903,Sample0934,Sample0835,Sample0891,Sample0864,Sample0926,Sample0904,Sample0875,Sample0915,Sample0923,Sample0874,Sample0836,Sample0865,Sample0843,Sample0910,Sample0900,Sample0908,Sample0893,Sample0897,Sample0906,Sample0831,Sample0860,Sample0857,Sample0884,Sample0895,Sample0862,Sample0907,Sample0919,Sample0882,Sample0852,Sample0892,Sample0889,Sample0867,Sample0920,Sample0883,Sample0878,Sample0851,Sample0894,Sample0844,Sample0896,Sample0873,Sample0879,Sample0888,Sample0912,Sample0840,Sample0887,Sample0833,Sample0841,Sample0901,Sample0902,Sample0885,Sample0854,Sample0877,Sample0899,Sample0876,Sample0917,Sample0881,Sample0829,Sample0848,Sample0869,Sample0909,Sample0905,Sample0866,Sample0898,Sample0850,Sample0859,Sample0913,Sample0925,Sample0933,Sample0871,Sample0861,Sample0858,Sample0830,Sample0886,Sample0863,Sample0890,Sample0880,Sample0870,Sample0839,Sample0847,Sample0853,Sample0834,Sample0846,Sample0856,Sample0914,Sample0855,Sample0922,Sample0845,Sample0842,Sample0911,Sample0837,Sample0838,Sample0935,Sample0416,Sample0405,Sample0389,Sample0386,Sample0394,Sample0446,Sample0429,Sample0444,Sample0391,Sample0409,Sample0435,Sample0433,Sample0456,Sample0401,Sample0438,Sample0399,Sample0461,Sample0357,Sample0414,Sample0400,Sample0436,Sample0411,Sample0360,Sample0349,Sample0398,Sample0439,Sample0384,Sample0402,Sample0427,Sample0382,Sample0449,Sample0351,Sample0462,Sample0440,Sample0428,Sample0364,Sample0441,Sample0355,Sample0392,Sample0415,Sample0369,Sample0413,Sample0426,Sample0406,Sample0437,Sample0434,Sample0463,Sample0445,Sample0464,Sample0432,Sample0354,Sample0387,Sample0397,Sample0395,Sample0374,Sample0344,Sample0453,Sample0359,Sample0388,Sample0358,Sample0408,Sample0376,Sample0447,Sample0356,Sample0350,Sample0450,Sample0373,Sample0442,Sample0362,Sample0379,Sample0353,Sample0352,Sample0443,Sample0430,Sample0460,Sample0431,Sample0407,Sample0383,Sample0459,Sample0361,Sample0458,Sample0377,Sample0412,Sample0380,Sample0396,Sample0363,Sample0404,Sample0465,Sample0348,Sample0345,Sample0346,Sample0372,Sample0393,Sample0455,Sample0365,Sample0390,Sample0410,Sample0367,Sample0368,Sample0378,Sample0366,Sample0347,Sample0375,Sample0385,Sample0370,Sample0417,Sample0403
OTU_9,1359,794,89,193,653,666,21,17,0,51,168,176,43,0,119,534,16,426,16,0,183,1893,541,220,1418,310,234,1500,25,426,82,879,1,0,1007,159,153,152,32,223,783,121,1956,51,1243,226,237,392,739,86,0,0,25,785,0,29,101,117,1335,630,486,41,1237,35,51,41,953,205,1028,25,318,0,95,531,120,178,30,766,54,52,443,0,0,0,2124,264,185,82,180,821,0,0,206,115,5,82,1,28,11,0,183,138,15,23,125,0,50,7,65,76,26,47,3,40,1,13,1,36,52,3,55,153,26,89,7,4,99,7,46,37,19,42,38,9,73,42,3,117,17,228,10,58,4,25,35,38,4,38,24,68,19,92,16,21,36,52,1,84,38,55,14,38,9,14,42,22,153,23,17,54,25,43,8,18,77,30,74,17,22,3,55,2,13,34,13,30,13,8,45,47,230,12,0,1,4,12,32,19,39,79,6,11,5,5,20,0,5
OTU_72,960,1331,0,205,386,347,32,0,0,7,30,0,516,0,26,10,10,54,127,89,7,267,314,1417,0,0,0,990,6,1997,155,288,0,0,0,0,201,36,0,4,230,29,449,13,9,408,0,431,101,0,0,0,0,66,26,0,0,0,0,0,19,148,0,0,0,0,63,1,0,0,0,0,28,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,13,1,12,5,1,3,1,15,0,0,3,0,23,0,2,2,2,1,17,15,3,1,0,0,0,14,7,0,34,0,0,4,5,3,0,0,3,7,17,0,1,0,0,8,0,2,4,4,4,0,6,2,0,1,0,0,4,3,7,0,9,2,6,0,12,0,1,0,0,3,6,3,1,1,2,10,9,1,3,2,0,0,0,1,2,1,3,2,0,17,7,0,0,4,5,2,3,0,0,1,0,0,0,0,0,0
OTU_13,2,0,0,788,1540,2,753,0,1,6572,10859,1,758,0,387,180,103,48612,49,1,34,1,6234,36,0,24973,0,66,10776,1,463,1,1,52,198,3671,54,1368,0,142,1,6317,0,534,73,1111,5828,266,145,0,1,1,329,196,3195,1,0,1,0,1,320,72,0,0,2,1,0,0,1,1172,0,37,286,1,0,0,0,0,1604,0,2,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,0,0,1,1,0,6,0,13,3,34,28,78,1,0,14,54,34,18,18,4,16,0,0,1,21,202,0,0,0,190,6,89,3,1,9,0,11,43,3,0,4,0,2,3,3,0,2,0,5,19,32,20,8,304,0,4,28,15,2,0,22,0,1,1,0,0,308,0,0,15,2,10,0,0,0,0,5,5,6,8,0,1,6,0,19,0,0,0,0,0,0,13,3,0,0,0,4,31,2,5,0,0,0,2,1,0,0,0,1,0,0
OTU_4,9,4115,0,2095,2570,2814,293,921,0,423,5146,263,1763,71,1065,2803,257,648,522,237,323,1026,912,252,3175,178,959,272,271,2463,276,1550,33,805,440,11,764,1205,79,1084,5460,1666,78,247,1088,1046,26,273,1697,181,73,0,963,1169,29,0,0,64,254,917,1172,170,324,658,28,28,1302,138,982,0,0,91,636,96,669,46,44,863,265,54,315,925,0,426,2391,565,100,414,183,254,0,18,51,1,23,78,1,9,31,1,249,1780,36,152,495,55,119,113,133,4087,84,127,135,1669,139,49,48,106,313,38,233,278,48,33,3,152,856,1293,141,95,80,43,516,130,157,101,74,6,96,585,74,148,54,45,231,95,287,255,175,223,7,161,249,459,22,22,21,90,61,139,140,128,402,21,7,122,151,268,127,39,18,14,36,8,203,21,279,101,154,4,334,15,32,9,29,217,104,66,40,7,90,70,7,233,8,22,43,43,138,64,21,6,19,9,4,0,22
OTU_12,0,182,170,160,0,20,88,0,0,354,387,0,91,0,295,283,16,540,169,91,3,0,40,51,0,79,18,0,632,0,154,0,0,56,0,0,70,173,23,10,68,222,0,41,0,194,0,0,0,9,0,0,0,30,0,0,0,0,0,0,73,161,0,0,0,0,1,0,121,239,0,0,19,46,19,399,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,177,6,7,9,7,33,92,14,19,60,63,62,29,15,30,1,20,1,42,1,34,38,0,2,0,13,48,8,55,22,10,0,51,29,37,1,18,1,5,169,37,25,18,6,15,17,8,7,74,22,0,25,9,18,12,1,7,4,4,4,19,15,22,0,7,47,79,25,3,7,1,4,6,8,18,16,87,32,93,0,72,1,20,1,2,1,2,29,0,2,2,17,1,20,0,40,11,0,1,77,5,0,1,1,2,0,1
OTU_6544,0,0,0,2,349,1,0,0,0,0,12,0,39,0,13,0,38,0,0,0,79,0,119,188,134,1,159,0,0,986,9,0,0,0,0,1,60,0,0,25,2,0,260,8,343,2,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,13,0,56,14,0,5,9,6,0,12,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0,32,16,1,0,9,0,0,3,2,1,0,0,2,0,0,0,0,3,1,1,4,11,0,1,3,0,49,4,0,1,0,6,0,6,0,0,0,0,0,12,0,13,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,8,6,7,0,0,0,1,0,0,0,2,0,0,0
OTU_1060,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_5,194,8544,265,133,163,11997,213,15117,1,4067,5321,2526,16188,35,516,4382,5236,617,8,20,8862,43,648,2334,2734,136,21031,36114,10,592,199,9000,0,555,4817,684,665,59,2,3646,11987,2486,370,7045,1577,760,1001,0,16693,119,893,142,4433,613,1,4,24,224,3,472,3874,234,247,0,125,1403,203,1296,0,0,99,144,3705,0,423,1207,156,329,1,1,0,539,341,309,29,1199,2085,142,418,1,581,865,230,505,193,65,51,126,3,6,74,27,40,37,6,17,71,4,221,837,415,99,25,53,5,10,17,0,13,1,177,966,3,12,4,20,139,1,261,146,3,11,129,19,105,8,9,1,22,122,152,31,32,131,194,49,39,13,104,105,2,45,41,2,1,7,4,4,70,2,5,3,69,0,11,18,4,12,11,41,14,9,4,52,239,49,22,106,41,0,193,11,0,2,0,9,3,22,22,11,85,90,6,40,0,20,105,21,25,149,2,2,1,2,19,6,2
OTU_21,1,331,207,360,4613,506,20,0,0,27,137,795,767,73,18,46,0,428,56,0,15,390,119,18,747,0,82,627,192,1627,122,0,0,0,0,0,76,84,30,40,286,6,1723,56,255,87,0,0,613,0,0,0,0,399,144,34,0,0,0,31,66,17,322,0,24,0,56,0,1,59,0,74,138,30,0,0,0,152,0,0,269,0,0,0,1190,0,510,0,893,0,0,436,0,0,0,17,0,0,0,0,50,27,3,6,25,26,12,21,61,126,17,15,29,65,17,2,26,0,10,4,47,116,0,15,3,8,23,4,46,109,18,25,34,14,28,5,16,19,6,255,11,14,14,13,18,17,24,10,39,29,19,33,4,3,13,0,24,12,16,4,20,11,8,4,14,41,19,20,3,26,5,6,14,6,7,2,65,26,35,0,67,2,12,15,6,1,6,33,8,4,21,12,0,20,11,11,4,15,1,23,10,1,0,3,2,0,0
OTU_291,0,165,0,35,0,154,0,0,0,1,8,0,11,0,0,5,0,0,0,0,0,0,6,15,293,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,744,10,432,8,146,0,0,0,0,0,262,0,0,309,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,12,0,86,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,1,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
